gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Aikang58_tgt_chr	Aikang58_tgt_start	Aikang58_tgt_end	Aikang58_tgt_strand	Aikang58_tgt_midpoint	Aikang58_coverage	Aikang58_identity	segment
gene:TraesCS7B02G184500	Chr7B	297376283	297404335	-	297390309	Chr7B	308810993	308838732	-	308824862	1.0	0.999	rearrangement:Chr7B_block1
gene:TraesCS7B02G184600	Chr7B	297411699	297413102	-	297412400	Chr7B	308846080	308847483	-	308846781	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B02G184700	Chr7B	298614159	298614389	-	298614274	Chr7B	310095194	310095424	-	310095309	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B02G184800	Chr7B	299246343	299249780	-	299248061	Chr7B	310745093	310748528	-	310746810	0.999	0.999	rearrangement:Chr7B_block1
gene:TraesCS7B02G184900	Chr7B	299404157	299405698	-	299404927	Chr7B	310902760	310904301	-	310903530	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B02G185000	Chr7B	300042538	300043970	+	300043254	Chr7B	311589321	311590753	+	311590037	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B02G185100	Chr7B	300079923	300092280	+	300086101	Chr7B	311626331	311638361	+	311632346	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B02G185200	Chr7B	300327995	300330378	+	300329186	Chr7B	311867422	311869805	+	311868613	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B02G185300	Chr7B	301589418	301606821	-	301598119	Chr7B	313132457	313150356	-	313141406	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B02G185400	Chr7B	302414234	302423835	+	302419034	Chr7B	313946245	313956147	+	313951196	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B02G185500	Chr7B	303152770	303165483	-	303159126	Chr7B	314669401	314681916	-	314675658	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B02G185600	Chr7B	303710616	303723049	-	303716832	Chr7B	315223080	315235734	-	315229407	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B02G185700	Chr7B	304102323	304125691	+	304114007	Chr7B	315619712	315642686	+	315631199	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B02G185800	Chr7B	304523727	304525503	+	304524615	Chr7B	316048988	316050764	+	316049876	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B02G185900	Chr7B	304959393	304989051	-	304974222	Chr7B	316473579	316503237	-	316488408	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B02G186000	Chr7B	304992013	304993146	-	304992579	Chr7B	316506199	316507332	-	316506765	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B02G186100	Chr7B	305000954	305001376	+	305001165	Chr7B	316515140	316515562	+	316515351	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B02G186200	Chr7B	306619011	306626570	+	306622790	Chr7B	318134419	318141989	+	318138204	1.0	0.998	rearrangement:Chr7B_block1
gene:TraesCS7B02G186300	Chr7B	307362887	307366726	-	307364806	Chr7B	318872159	318875998	-	318874078	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B02G186500	Chr7B	310411517	310416058	-	310413787	Chr7B	305694553	305698834	-	305696693	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B02G186600	Chr7B	311509261	311511707	-	311510484	Chr7B	306918307	306920753	-	306919530	1.0	0.999	rearrangement:Chr7B_block1
gene:TraesCS7B02G186700	Chr7B	312023602	312026125	+	312024863	Chr7B	307468077	307470600	+	307469338	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B02G186800	Chr7B	312346208	312346501	+	312346354	Chr7B	307785074	307785367	+	307785220	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B02G186900	Chr7B	312441078	312443860	-	312442469	Chr7B	307890195	307892977	-	307891586	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B02G195300	Chr7B	335923310	335926243	-	335924776	Chr7B	158474863	158477796	-	158476329	1.0	0.999	rearrangement:Chr7B_block2
gene:TraesCS7B02G195400	Chr7B	336256851	336260908	+	336258879	Chr7B	158812339	158816399	+	158814369	1.0	0.997	rearrangement:Chr7B_block2
gene:TraesCS7B02G195500	Chr7B	336645673	336648291	-	336646982	Chr7B	159181719	159184337	-	159183028	1.0	0.999	rearrangement:Chr7B_block2
gene:TraesCS7B02G195600	Chr7B	336655217	336660619	-	336657918	Chr7B	159191263	159196666	-	159193964	1.0	1.0	rearrangement:Chr7B_block2
gene:TraesCS7B02G195700	Chr7B	336702560	336719274	-	336710917	Chr7B	159238645	159255341	-	159246993	1.0	0.999	rearrangement:Chr7B_block2
gene:TraesCS7B02G195800	Chr7B	336810475	336811878	-	336811176	Chr7B	159318450	159319853	-	159319151	1.0	1.0	rearrangement:Chr7B_block2
gene:TraesCS7B02G195900	Chr7B	337023486	337024897	-	337024191	Chr7B	159530498	159531910	-	159531204	1.0	0.998	rearrangement:Chr7B_block2
gene:TraesCS7B02G196000	Chr7B	337114970	337116929	-	337115949	Chr7B	159621300	159623259	-	159622279	1.0	0.997	rearrangement:Chr7B_block2
gene:TraesCS7B02G196100	Chr7B	337125651	337158885	-	337142268	Chr7B	159633065	159637734	-	159635399	1.0	0.995	rearrangement:Chr7B_block2
gene:TraesCS7B02G196200	Chr7B	337160619	337160937	-	337160778	Chr7B	159639470	159639788	-	159639629	1.0	1.0	rearrangement:Chr7B_block2
gene:TraesCS7B02G196300	Chr7B	337368063	337372502	-	337370282	Chr7B	159906532	159910971	-	159908751	1.0	0.997	rearrangement:Chr7B_block2
gene:TraesCS7B02G197500	Chr7B	344309533	344316136	+	344312834	Chr7B	365396629	365402949	+	365399789	1.0	1.0	rearrangement:Chr7B_block4
gene:TraesCS7B02G197600	Chr7B	344644613	344645495	+	344645054	Chr7B	365733411	365734292	+	365733851	0.998	0.998	rearrangement:Chr7B_block4
gene:TraesCS7B02G197700	Chr7B	344727607	344739561	-	344733584	Chr7B	365830330	365842297	-	365836313	0.999	0.997	rearrangement:Chr7B_block4
gene:TraesCS7B02G197800	Chr7B	345985865	345993641	+	345989753	Chr7B	367114474	367122250	+	367118362	1.0	1.0	rearrangement:Chr7B_block4
gene:TraesCS7B02G197900	Chr7B	346674034	346678353	-	346676193	Chr7B	367847507	367851826	-	367849666	1.0	1.0	rearrangement:Chr7B_block4
gene:TraesCS7B02G196900	Chr7B	339605849	339611728	+	339608788	Chr7B	353811312	353817191	+	353814251	1.0	1.0	rearrangement:Chr7B_block3
gene:TraesCS7B02G197000	Chr7B	339613762	339617788	-	339615775	Chr7B	353819225	353823251	-	353821238	1.0	1.0	rearrangement:Chr7B_block3
gene:TraesCS7B02G197100	Chr7B	339644633	339645710	-	339645171	Chr7B	353859270	353860347	-	353859808	1.0	1.0	rearrangement:Chr7B_block3
gene:TraesCS7B02G197200	Chr7B	339666199	339667014	-	339666606	Chr7B	353880853	353881659	-	353881256	0.988	0.988	rearrangement:Chr7B_block3
gene:TraesCS7B02G197300	Chr7B	340624126	340657131	-	340640628	Chr7B	354877363	354910251	-	354893807	1.0	1.0	rearrangement:Chr7B_block3
gene:TraesCS7B02G198000	Chr7B	347979724	347980127	+	347979925	Chr7B	344206854	344207257	+	344207055	1.0	1.0	rearrangement:Chr7B_block3
gene:TraesCS7B02G198100	Chr7B	348975871	348980803	-	348978337	Chr7B	345202663	345207595	-	345205129	1.0	0.999	rearrangement:Chr7B_block3
gene:TraesCS7B02G198200	Chr7B	350449960	350456129	+	350453044	Chr7B	346681446	346687615	+	346684530	1.0	1.0	rearrangement:Chr7B_block3
gene:TraesCS7B02G198300	Chr7B	350882281	350887390	+	350884835	Chr7B	347110521	347116151	+	347113336	1.0	1.0	rearrangement:Chr7B_block3
gene:TraesCS7B02G198400	Chr7B	352716645	352718945	+	352717795	Chr7B	348932703	348935003	+	348933853	1.0	1.0	rearrangement:Chr7B_block3
gene:TraesCS7B02G198500	Chr7B	353629643	353631535	+	353630589	Chr7B	349867038	349868930	+	349867984	1.0	1.0	rearrangement:Chr7B_block3
gene:TraesCS7B02G198600	Chr7B	354241311	354289258	+	354265284	Chr7B	350511859	350558373	+	350535116	1.0	1.0	rearrangement:Chr7B_block3
gene:TraesCS7B02G198700	Chr7B	355802816	355804074	+	355803445	Chr7B	352080202	352081460	+	352080831	1.0	1.0	rearrangement:Chr7B_block3
gene:TraesCS7B02G198800	Chr7B	355871802	355887515	+	355879658	Chr7B	352148420	352164133	+	352156276	1.0	1.0	rearrangement:Chr7B_block3
gene:TraesCS7B02G199000	Chr7B	356698756	356702504	+	356700630	Chr7B	352987898	352991646	+	352989772	1.0	1.0	rearrangement:Chr7B_block3
gene:TraesCS7B02G000100	Chr7B	32906	36770	-	34838	Chr7B	43230	47096	-	45163	1.0	0.999	collinear
gene:TraesCS7B02G000200	Chr7B	43388	51239	-	47313	Chr7B	54794	62589	-	58691	0.989	0.984	collinear
gene:TraesCS7B02G000300	Chr7B	113161	115194	+	114177	Chr7B	125007	127000	+	126003	0.964	0.964	collinear
gene:TraesCS7B02G000400	Chr7B	115309	119981	-	117645	Chr7B	127115	131788	-	129451	0.998	0.997	collinear
gene:TraesCS7B02G000500	Chr7B	120989	122254	+	121621	Chr7B	132777	134042	+	133409	1.0	0.996	collinear
gene:TraesCS7B02G000600	Chr7B	222384	224848	+	223616	Chr7B	241982	244128	+	243055	1.0	0.998	collinear
gene:TraesCS7B02G000700	Chr7B	229098	230197	+	229647	Chr7B	248372	249471	+	248921	1.0	0.998	collinear
gene:TraesCS7B02G000800	Chr7B	230612	231250	+	230931	Chr7B	249965	250618	+	250291	1.0	0.972	collinear
gene:TraesCS7B02G000900	Chr7B	257266	259314	+	258290	Chr7B	276369	278261	+	277315	0.922	0.91	collinear
gene:TraesCS7B02G001000	Chr7B	261171	262954	+	262062	Chr7B	280159	281938	+	281048	1.0	0.997	collinear
gene:TraesCS7B02G001100	Chr7B	263907	265477	+	264692	Chr7B	282909	284479	+	283694	1.0	0.999	collinear
