cs_chr	cs_start	cs_end	Spelt_tgt_chr	Spelt_tgt_start	Spelt_tgt_end	n_anchors	mean_identity
Chr2A	294194784	298305444	Chr2A	326864276	330973660	6	0.9993333333333334
Chr2A	301588230	309677437	Chr2A	315569101	323569508	9	0.9997777777777779
Chr2A	341776760	342646626	Chr2A	332493667	333352801	6	0.9990000000000001
Chr2A	315420835	319393694	Chr2A	304994444	309849627	5	0.9966000000000002
Chr2A	322290657	328918706	Chr2A	295482732	302105306	12	0.9996666666666667
Chr2A	254644	245450318	Chr2A	255445	245740697	1926	0.9920384215991692
Chr2A	253743190	256655987	Chr2A	254043017	256943408	6	0.9996666666666667
Chr2A	260439994	262863052	Chr2A	260740825	263200164	8	0.9998750000000001
Chr2A	265047681	267066623	Chr2A	265366294	267392940	7	0.9998571428571429
Chr2A	269745498	277781081	Chr2A	270071485	278141153	16	0.9993750000000001
Chr2A	279829079	286214975	Chr2A	280180623	286525864	23	0.9996956521739131
Chr2A	288400047	290885926	Chr2A	288694657	291178875	5	0.9996
Chr2A	335357629	339973117	Chr2A	335176248	339779873	27	0.9953703703703703
Chr2A	344692562	366697851	Chr2A	345277051	367597680	34	0.9997058823529412
Chr2A	368718225	399870506	Chr2A	369481466	400482451	100	0.9979299999999999
Chr2A	404353227	404860525	Chr2A	405147001	405641593	4	1.0
Chr2A	409607272	490304153	Chr2A	410116809	490552245	276	0.9985905797101449
Chr2A	492634434	551591979	Chr2A	492878921	551379341	306	0.9960228758169936
Chr2A	553651491	785462575	Chr2A	553380294	781602435	2404	0.9938282029950082
