gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Chuanmai104_tgt_chr	Chuanmai104_tgt_start	Chuanmai104_tgt_end	Chuanmai104_tgt_strand	Chuanmai104_tgt_midpoint	Chuanmai104_coverage	Chuanmai104_identity	segment
gene:TraesCS1A03G0007900	Chr1A	1963897	1965450	+	1964673	Chr1A	3280525	3282075	+	3281300	0.994	0.956	collinear
gene:TraesCS1A03G0009200	Chr1A	2579251	2580660	+	2579955	Chr1A	4713688	4715093	+	4714390	0.995	0.919	collinear
gene:TraesCS1A03G0013100	Chr1A	3442853	3443320	-	3443086	Chr1A	7417875	7418342	-	7418108	1.0	0.997	collinear
gene:TraesCS1A03G0013400	Chr1A	3543536	3549092	-	3546314	Chr1A	7540054	7545621	-	7542837	1.0	0.99	collinear
gene:TraesCS1A03G0013600	Chr1A	3563033	3568128	-	3565580	Chr1A	7560162	7565820	-	7562991	1.0	0.993	collinear
gene:TraesCS1A03G0013800	Chr1A	3736743	3743503	-	3740123	Chr1A	7787942	7794680	-	7791311	1.0	0.986	collinear
gene:TraesCS1A03G0013900	Chr1A	3747551	3750600	+	3749075	Chr1A	7798696	7801745	+	7800220	1.0	0.985	collinear
gene:TraesCS1A03G0014300	Chr1A	3927688	3931188	+	3929438	Chr1A	7857871	7861368	+	7859619	0.998	0.994	collinear
gene:TraesCS1A03G0014400	Chr1A	3927688	3931514	+	3929601	Chr1A	7857871	7861694	+	7859782	0.999	0.993	collinear
gene:TraesCS1A03G0014500	Chr1A	3935056	3938039	+	3936547	Chr1A	7865251	7867757	+	7866504	1.0	0.993	collinear
gene:TraesCS1A03G0015600	Chr1A	4110192	4111500	+	4110846	Chr1A	7945549	7946874	+	7946211	0.985	0.913	collinear
gene:TraesCS1A03G0016000	Chr1A	4248617	4255576	-	4252096	Chr1A	8016785	8023265	-	8020025	0.941	0.925	collinear
gene:TraesCS1A03G0016200	Chr1A	4370836	4376697	+	4373766	Chr1A	8078794	8084865	+	8081829	0.985	0.953	collinear
gene:TraesCS1A03G0016300	Chr1A	4379285	4384806	-	4382045	Chr1A	8088641	8094119	-	8091380	1.0	0.989	collinear
gene:TraesCS1A03G0016400	Chr1A	4439929	4443198	+	4441563	Chr1A	8130102	8133379	+	8131740	0.987	0.954	collinear
gene:TraesCS1A03G0016500	Chr1A	4444852	4447770	-	4446311	Chr1A	8146077	8148982	-	8147529	0.995	0.987	collinear
gene:TraesCS1A03G0017400	Chr1A	4524156	4525613	-	4524884	Chr1A	7872823	7874283	+	7873553	1.0	0.916	collinear
gene:TraesCS1A03G0017500	Chr1A	4570594	4574086	-	4572340	Chr1A	8412066	8415498	-	8413782	0.981	0.94	collinear
gene:TraesCS1A03G0018800	Chr1A	4668102	4669750	-	4668926	Chr1A	8427249	8428897	-	8428073	1.0	0.993	collinear
gene:TraesCS1A03G0018900	Chr1A	4688180	4690620	-	4689400	Chr1A	8434943	8437383	-	8436163	1.0	0.988	collinear
