gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	CS_CAU_tgt_chr	CS_CAU_tgt_start	CS_CAU_tgt_end	CS_CAU_tgt_strand	CS_CAU_tgt_midpoint	CS_CAU_coverage	CS_CAU_identity	segment
gene:TraesCS1D03G0000100	Chr1D	20638	21773	+	21205	Chr1D	142161	143296	+	142728	1.0	1.0	collinear
gene:TraesCS1D03G0000300	Chr1D	29025	30863	+	29944	Chr1D	150548	152386	+	151467	1.0	1.0	collinear
gene:TraesCS1D03G0000400	Chr1D	31231	35151	-	33191	Chr1D	152754	156674	-	154714	1.0	1.0	collinear
gene:TraesCS1D03G0000500	Chr1D	35595	39094	-	37344	Chr1D	157118	160617	-	158867	1.0	1.0	collinear
gene:TraesCS1D03G0000600	Chr1D	42073	49239	+	45656	Chr1D	163596	170762	+	167179	1.0	1.0	collinear
gene:TraesCS1D03G0000800	Chr1D	55880	57669	+	56774	Chr1D	177403	179192	+	178297	1.0	1.0	collinear
gene:TraesCS1D03G0001000	Chr1D	62405	66535	+	64470	Chr1D	183928	188058	+	185993	1.0	1.0	collinear
gene:TraesCS1D03G0001100	Chr1D	66949	69971	-	68460	Chr1D	188472	191494	-	189983	1.0	1.0	collinear
gene:TraesCS1D03G0001300	Chr1D	73080	76040	-	74560	Chr1D	194603	197563	-	196083	1.0	1.0	collinear
gene:TraesCS1D03G0001400	Chr1D	78627	81289	-	79958	Chr1D	200150	202812	-	201481	1.0	1.0	collinear
gene:TraesCS1D03G0001500	Chr1D	92853	98829	-	95841	Chr1D	214378	220354	-	217366	1.0	1.0	collinear
gene:TraesCS1D03G0001600	Chr1D	117511	120788	+	119149	Chr1D	239034	242311	+	240672	1.0	1.0	collinear
gene:TraesCS1D03G0001800	Chr1D	171475	183229	-	177352	Chr1D	293037	304809	-	298923	1.0	1.0	collinear
gene:TraesCS1D03G0002300	Chr1D	387049	399494	-	393271	Chr1D	508013	520458	-	514235	1.0	1.0	collinear
gene:TraesCS1D03G0002400	Chr1D	409650	411707	-	410678	Chr1D	530614	532671	-	531642	1.0	1.0	collinear
gene:TraesCS1D03G0002600	Chr1D	418798	422767	-	420782	Chr1D	539762	543731	-	541746	1.0	1.0	collinear
gene:TraesCS1D03G0002800	Chr1D	432621	439371	+	435996	Chr1D	553586	560336	+	556961	1.0	1.0	collinear
gene:TraesCS1D03G0002900	Chr1D	444052	448470	-	446261	Chr1D	565017	569435	-	567226	1.0	1.0	collinear
gene:TraesCS1D03G0003000	Chr1D	454345	457932	+	456138	Chr1D	575310	578896	+	577103	1.0	1.0	collinear
gene:TraesCS1D03G0003200	Chr1D	465036	466154	-	465595	Chr1D	586000	587118	-	586559	1.0	1.0	collinear
gene:TraesCS1D03G0003300	Chr1D	588197	590502	-	589349	Chr1D	708859	711164	-	710011	1.0	1.0	collinear
gene:TraesCS1D03G0003500	Chr1D	670994	672152	+	671573	Chr1D	791770	792928	+	792349	1.0	1.0	collinear
gene:TraesCS1D03G0003600	Chr1D	683590	686755	+	685172	Chr1D	804366	807531	+	805948	1.0	1.0	collinear
gene:TraesCS1D03G0003900	Chr1D	715245	719435	+	717340	Chr1D	836021	840211	+	838116	1.0	1.0	collinear
gene:TraesCS1D03G0004300	Chr1D	770686	771560	+	771123	Chr1D	891460	892334	+	891897	1.0	1.0	collinear
gene:TraesCS1D03G0004700	Chr1D	885654	889258	-	887456	Chr1D	1006444	1010048	-	1008246	1.0	1.0	collinear
gene:TraesCS1D03G0005400	Chr1D	1296235	1296570	+	1296402	Chr1D	1763431	1763766	+	1763598	1.0	1.0	collinear
gene:TraesCS1D03G0006000	Chr1D	1869733	1878337	-	1874035	Chr1D	2335187	2343791	-	2339489	1.0	1.0	collinear
gene:TraesCS1D03G0006600	Chr1D	2097562	2098525	-	2098043	Chr1D	2562193	2563156	-	2562674	1.0	1.0	collinear
gene:TraesCS1D03G0006800	Chr1D	2215187	2215661	-	2215424	Chr1D	2679819	2680284	-	2680051	1.0	0.984	collinear
gene:TraesCS1D03G0006900	Chr1D	2225968	2228621	+	2227294	Chr1D	2690391	2693044	+	2691717	1.0	1.0	collinear
gene:TraesCS1D03G0007000	Chr1D	2291123	2291984	-	2291553	Chr1D	2755546	2756407	-	2755976	1.0	1.0	collinear
gene:TraesCS1D03G0007600	Chr1D	2536433	2539112	+	2537772	Chr1D	2998775	3001454	+	3000114	1.0	1.0	collinear
gene:TraesCS1D03G0007700	Chr1D	2582400	2586245	-	2584322	Chr1D	3044743	3048588	-	3046665	1.0	1.0	collinear
gene:TraesCS1D03G0007900	Chr1D	2605425	2608487	+	2606956	Chr1D	3067362	3070424	+	3068893	1.0	1.0	collinear
gene:TraesCS1D03G0008000	Chr1D	2612463	2616304	+	2614383	Chr1D	3074346	3078187	+	3076266	1.0	1.0	collinear
gene:TraesCS1D03G0008100	Chr1D	2617136	2620159	-	2618647	Chr1D	3079019	3082042	-	3080530	1.0	1.0	collinear
gene:TraesCS1D03G0008200	Chr1D	2648853	2656401	+	2652627	Chr1D	3110736	3118284	+	3114510	1.0	1.0	collinear
gene:TraesCS1D03G0008400	Chr1D	2658914	2664872	-	2661893	Chr1D	3120797	3126755	-	3123776	1.0	1.0	collinear
gene:TraesCS1D03G0008500	Chr1D	2679004	2685472	+	2682238	Chr1D	3140137	3146605	+	3143371	1.0	1.0	collinear
gene:TraesCS1D03G0008600	Chr1D	2718545	2721537	+	2720041	Chr1D	3179457	3182449	+	3180953	1.0	1.0	collinear
gene:TraesCS1D03G0008800	Chr1D	2722891	2723820	-	2723355	Chr1D	3183803	3184732	-	3184267	1.0	1.0	collinear
gene:TraesCS1D03G0009100	Chr1D	2796340	2799441	-	2797890	Chr1D	3257321	3260422	-	3258871	1.0	1.0	collinear
gene:TraesCS1D03G0009200	Chr1D	2803813	2805476	+	2804644	Chr1D	3264413	3266076	+	3265244	1.0	1.0	collinear
gene:TraesCS1D03G0009300	Chr1D	2808366	2809991	-	2809178	Chr1D	3268966	3270591	-	3269778	1.0	1.0	collinear
gene:TraesCS1D03G0009400	Chr1D	2818068	2821589	-	2819828	Chr1D	3278668	3282189	-	3280428	1.0	1.0	collinear
gene:TraesCS1D03G0009500	Chr1D	2850565	2852033	-	2851299	Chr1D	3311020	3312488	-	3311754	1.0	1.0	collinear
gene:TraesCS1D03G0009700	Chr1D	2872931	2876359	-	2874645	Chr1D	3332688	3336116	-	3334402	1.0	1.0	collinear
gene:TraesCS1D03G0009900	Chr1D	2927907	2928881	+	2928394	Chr1D	3387172	3388146	+	3387659	1.0	1.0	collinear
gene:TraesCS1D03G0010000	Chr1D	2945825	2946808	+	2946316	Chr1D	3404843	3405826	+	3405334	1.0	1.0	collinear
gene:TraesCS1D03G0010400	Chr1D	3008174	3009061	+	3008617	Chr1D	3466764	3467651	+	3467207	1.0	1.0	collinear
gene:TraesCS1D03G0010500	Chr1D	3017359	3018255	+	3017807	Chr1D	3475554	3476450	+	3476002	1.0	1.0	collinear
gene:TraesCS1D03G0010600	Chr1D	3035516	3036070	+	3035793	Chr1D	3489778	3490332	+	3490055	1.0	1.0	collinear
gene:TraesCS1D03G0010900	Chr1D	3049234	3052252	+	3050743	Chr1D	3503496	3506514	+	3505005	1.0	1.0	collinear
gene:TraesCS1D03G0011000	Chr1D	3051473	3051794	-	3051633	Chr1D	3505735	3506056	-	3505895	1.0	1.0	collinear
gene:TraesCS1D03G0011200	Chr1D	3058505	3059110	+	3058807	Chr1D	3512494	3513099	+	3512796	1.0	1.0	collinear
gene:TraesCS1D03G0011300	Chr1D	3060050	3060268	+	3060159	Chr1D	3514039	3514257	+	3514148	1.0	1.0	collinear
gene:TraesCS1D03G0011800	Chr1D	3134519	3134782	-	3134650	Chr1D	3588400	3588663	-	3588531	1.0	1.0	collinear
gene:TraesCS1D03G0011900	Chr1D	3146520	3146738	+	3146629	Chr1D	3599956	3600174	+	3600065	1.0	1.0	collinear
gene:TraesCS1D03G0012000	Chr1D	3156660	3157255	+	3156957	Chr1D	3610096	3610691	+	3610393	1.0	1.0	collinear
gene:TraesCS1D03G0012300	Chr1D	3168296	3169363	-	3168829	Chr1D	3621732	3622799	-	3622265	1.0	1.0	collinear
gene:TraesCS1D03G0012400	Chr1D	3168296	3169363	-	3168829	Chr1D	3621732	3622799	-	3622265	1.0	1.0	collinear
gene:TraesCS1D03G0012500	Chr1D	3190753	3196211	+	3193482	Chr1D	3644189	3649647	+	3646918	1.0	1.0	collinear
gene:TraesCS1D03G0012700	Chr1D	3317114	3318407	+	3317760	Chr1D	3767770	3769063	+	3768416	1.0	1.0	collinear
gene:TraesCS1D03G0012800	Chr1D	3350322	3352192	+	3351257	Chr1D	3800608	3802478	+	3801543	1.0	1.0	collinear
gene:TraesCS1D03G0013000	Chr1D	3377746	3382876	+	3380311	Chr1D	3829697	3834827	+	3832262	1.0	1.0	collinear
gene:TraesCS1D03G0013100	Chr1D	3429890	3431151	+	3430520	Chr1D	3879328	3880589	+	3879958	1.0	1.0	collinear
gene:TraesCS1D03G0013800	Chr1D	3627105	3631812	-	3629458	Chr1D	4072722	4077429	-	4075075	1.0	1.0	collinear
gene:TraesCS1D03G0014100	Chr1D	3654017	3654448	+	3654232	Chr1D	4099528	4099959	+	4099743	1.0	1.0	collinear
gene:TraesCS1D03G0014200	Chr1D	3667788	3668400	+	3668094	Chr1D	4113045	4113657	+	4113351	1.0	1.0	collinear
gene:TraesCS1D03G0014300	Chr1D	3673182	3675464	-	3674323	Chr1D	4118157	4120439	-	4119298	1.0	1.0	collinear
gene:TraesCS1D03G0014700	Chr1D	3726798	3728037	+	3727417	Chr1D	4171603	4172842	+	4172222	1.0	1.0	collinear
gene:TraesCS1D03G0014900	Chr1D	3787854	3789079	-	3788466	Chr1D	4231822	4233047	-	4232434	1.0	1.0	collinear
gene:TraesCS1D03G0015100	Chr1D	3821069	3822598	+	3821833	Chr1D	4264339	4265868	+	4265103	1.0	1.0	collinear
gene:TraesCS1D03G0015200	Chr1D	3916114	3917013	-	3916563	Chr1D	4358883	4359782	-	4359332	1.0	1.0	collinear
gene:TraesCS1D03G0015300	Chr1D	3943302	3944607	-	3943954	Chr1D	4385486	4386791	-	4386138	1.0	1.0	collinear
gene:TraesCS1D03G0015500	Chr1D	4008439	4008696	+	4008567	Chr1D	4449600	4449857	+	4449728	1.0	1.0	collinear
gene:TraesCS1D03G0015600	Chr1D	4031888	4032790	-	4032339	Chr1D	4473049	4473951	-	4473500	1.0	1.0	collinear
gene:TraesCS1D03G0015900	Chr1D	4161332	4165555	+	4163443	Chr1D	4601713	4605936	+	4603824	1.0	0.998	collinear
gene:TraesCS1D03G0016000	Chr1D	4168175	4172160	+	4170167	Chr1D	4608556	4612541	+	4610548	1.0	1.0	collinear
gene:TraesCS1D03G0016100	Chr1D	4172892	4176565	+	4174728	Chr1D	4613273	4616946	+	4615109	1.0	1.0	collinear
gene:TraesCS1D03G0016200	Chr1D	4177197	4182517	-	4179857	Chr1D	4617578	4622898	-	4620238	1.0	1.0	collinear
gene:TraesCS1D03G0016600	Chr1D	4286412	4287695	-	4287053	Chr1D	4726798	4728081	-	4727439	1.0	1.0	collinear
gene:TraesCS1D03G0016700	Chr1D	4386351	4395126	-	4390738	Chr1D	4826750	4835531	-	4831140	1.0	1.0	collinear
gene:TraesCS1D03G0016800	Chr1D	4395798	4401534	+	4398666	Chr1D	4836203	4841939	+	4839071	1.0	1.0	collinear
gene:TraesCS1D03G0017100	Chr1D	4441316	4442197	-	4441756	Chr1D	4881603	4882484	-	4882043	1.0	1.0	collinear
gene:TraesCS1D03G0017400	Chr1D	4485187	4486277	-	4485732	Chr1D	4925511	4926601	-	4926056	1.0	1.0	collinear
gene:TraesCS1D03G0017500	Chr1D	4511639	4512641	-	4512140	Chr1D	4951962	4952964	-	4952463	1.0	1.0	collinear
gene:TraesCS1D03G0017600	Chr1D	4546440	4547558	+	4546999	Chr1D	4986763	4987878	+	4987320	0.997	0.997	collinear
gene:TraesCS1D03G0018300	Chr1D	4940040	4941015	-	4940527	Chr1D	5380913	5381888	-	5381400	1.0	1.0	collinear
gene:TraesCS1D03G0018400	Chr1D	4950479	4952240	+	4951359	Chr1D	5391349	5393110	+	5392229	1.0	1.0	collinear
gene:TraesCS1D03G0018500	Chr1D	5055567	5056764	-	5056165	Chr1D	5496432	5497629	-	5497030	1.0	1.0	collinear
gene:TraesCS1D03G0018700	Chr1D	5085791	5087899	+	5086845	Chr1D	5544736	5546844	+	5545790	1.0	1.0	collinear
gene:TraesCS1D03G0018900	Chr1D	5217817	5223338	+	5220577	Chr1D	5676778	5682299	+	5679538	1.0	1.0	collinear
gene:TraesCS1D03G0019300	Chr1D	5269306	5276316	+	5272811	Chr1D	5728365	5735375	+	5731870	1.0	0.998	collinear
gene:TraesCS1D03G0019400	Chr1D	5314169	5316891	-	5315530	Chr1D	5773228	5775950	-	5774589	1.0	1.0	collinear
gene:TraesCS1D03G0019700	Chr1D	5321435	5327699	-	5324567	Chr1D	5780494	5786758	-	5783626	1.0	1.0	collinear
gene:TraesCS1D03G0020000	Chr1D	5416602	5418218	-	5417410	Chr1D	5874760	5876376	-	5875568	1.0	1.0	collinear
gene:TraesCS1D03G0020600	Chr1D	5575968	5580858	-	5578413	Chr1D	6034137	6039027	-	6036582	1.0	1.0	collinear
gene:TraesCS1D03G0020700	Chr1D	5584625	5585680	+	5585152	Chr1D	6042794	6043849	+	6043321	1.0	1.0	collinear
gene:TraesCS1D03G0020900	Chr1D	5619330	5620109	-	5619719	Chr1D	6077498	6078277	-	6077887	1.0	1.0	collinear
gene:TraesCS1D03G0021000	Chr1D	5687938	5689538	+	5688738	Chr1D	6146111	6147711	+	6146911	1.0	1.0	collinear
gene:TraesCS1D03G0021100	Chr1D	5695036	5696676	+	5695856	Chr1D	6153209	6154849	+	6154029	1.0	1.0	collinear
gene:TraesCS1D03G0021200	Chr1D	5734745	5736216	+	5735480	Chr1D	6192917	6194388	+	6193652	1.0	1.0	collinear
gene:TraesCS1D03G0021300	Chr1D	5787123	5792364	-	5789743	Chr1D	6245300	6250541	-	6247920	1.0	1.0	collinear
gene:TraesCS1D03G0021400	Chr1D	5800416	5801330	+	5800873	Chr1D	6258593	6259507	+	6259050	1.0	1.0	collinear
gene:TraesCS1D03G0021500	Chr1D	5850271	5855556	-	5852913	Chr1D	6308455	6313741	-	6311098	1.0	1.0	collinear
gene:TraesCS1D03G0021700	Chr1D	5866018	5869520	+	5867769	Chr1D	6324203	6327705	+	6325954	1.0	1.0	collinear
gene:TraesCS1D03G0021800	Chr1D	5870381	5874515	-	5872448	Chr1D	6328566	6332700	-	6330633	1.0	1.0	collinear
gene:TraesCS1D03G0021900	Chr1D	5887607	5888518	+	5888062	Chr1D	6345789	6346700	+	6346244	1.0	1.0	collinear
gene:TraesCS1D03G0022000	Chr1D	5889906	5894463	+	5892184	Chr1D	6348088	6352645	+	6350366	1.0	1.0	collinear
gene:TraesCS1D03G0022100	Chr1D	5895435	5897468	+	5896451	Chr1D	6353617	6355650	+	6354633	1.0	1.0	collinear
gene:TraesCS1D03G0022200	Chr1D	5899194	5901390	+	5900292	Chr1D	6357376	6359572	+	6358474	1.0	1.0	collinear
gene:TraesCS1D03G0022700	Chr1D	5955107	5961830	+	5958468	Chr1D	6413291	6420014	+	6416652	1.0	1.0	collinear
gene:TraesCS1D03G0022800	Chr1D	5962133	5963519	+	5962826	Chr1D	6420317	6421703	+	6421010	1.0	1.0	collinear
gene:TraesCS1D03G0022900	Chr1D	5965029	5967804	-	5966416	Chr1D	6423213	6425988	-	6424600	1.0	1.0	collinear
gene:TraesCS1D03G0023500	Chr1D	6574304	6577432	+	6575868	Chr1D	7031748	7034876	+	7033312	1.0	1.0	collinear
gene:TraesCS1D03G0023700	Chr1D	6607032	6641306	+	6624169	Chr1D	7064542	7098818	+	7081680	1.0	1.0	collinear
gene:TraesCS1D03G0023900	Chr1D	6664438	6678885	+	6671661	Chr1D	7121944	7136390	+	7129167	1.0	1.0	collinear
gene:TraesCS1D03G0024100	Chr1D	6702026	6705310	-	6703668	Chr1D	7159529	7162813	-	7161171	1.0	1.0	collinear
gene:TraesCS1D03G0024300	Chr1D	6717424	6717978	-	6717701	Chr1D	7174927	7175481	-	7175204	1.0	1.0	collinear
gene:TraesCS1D03G0024400	Chr1D	6734472	6735112	-	6734792	Chr1D	7191979	7192619	-	7192299	1.0	1.0	collinear
gene:TraesCS1D03G0024500	Chr1D	6762398	6765377	-	6763887	Chr1D	7219905	7222884	-	7221394	1.0	1.0	collinear
gene:TraesCS1D03G0024600	Chr1D	6768889	6782560	-	6775724	Chr1D	7226396	7240067	-	7233231	1.0	1.0	collinear
gene:TraesCS1D03G0024700	Chr1D	6788386	6789994	-	6789190	Chr1D	7245893	7247501	-	7246697	1.0	1.0	collinear
gene:TraesCS1D03G0024800	Chr1D	6803517	6804251	-	6803884	Chr1D	7261024	7261758	-	7261391	1.0	1.0	collinear
gene:TraesCS1D03G0025100	Chr1D	6836115	6836863	-	6836489	Chr1D	7293622	7294370	-	7293996	1.0	1.0	collinear
gene:TraesCS1D03G0025200	Chr1D	6847588	6847915	-	6847751	Chr1D	7305096	7305423	-	7305259	1.0	1.0	collinear
gene:TraesCS1D03G0025400	Chr1D	6896537	6898345	-	6897441	Chr1D	7354036	7355844	-	7354940	1.0	1.0	collinear
gene:TraesCS1D03G0025500	Chr1D	6910143	6911975	+	6911059	Chr1D	7367642	7369474	+	7368558	1.0	1.0	collinear
gene:TraesCS1D03G0026000	Chr1D	6974090	6976661	-	6975375	Chr1D	7431579	7434150	-	7432864	1.0	1.0	collinear
gene:TraesCS1D03G0026200	Chr1D	6981796	6982558	-	6982177	Chr1D	7439286	7440048	-	7439667	1.0	1.0	collinear
gene:TraesCS1D03G0026400	Chr1D	7025015	7028044	-	7026529	Chr1D	7482001	7485030	-	7483515	1.0	1.0	collinear
gene:TraesCS1D03G0026800	Chr1D	7142988	7145861	-	7144424	Chr1D	7598997	7601870	-	7600433	1.0	1.0	collinear
gene:TraesCS1D03G0026900	Chr1D	7150081	7152861	-	7151471	Chr1D	7606090	7608870	-	7607480	1.0	1.0	collinear
gene:TraesCS1D03G0027100	Chr1D	7162457	7164005	-	7163231	Chr1D	7618467	7620015	-	7619241	1.0	1.0	collinear
gene:TraesCS1D03G0027500	Chr1D	7198014	7203075	-	7200544	Chr1D	7653974	7659035	-	7656504	1.0	1.0	collinear
gene:TraesCS1D03G0027600	Chr1D	7205594	7209460	+	7207527	Chr1D	7661554	7665420	+	7663487	1.0	1.0	collinear
gene:TraesCS1D03G0027700	Chr1D	7209703	7211493	-	7210598	Chr1D	7665663	7667453	-	7666558	1.0	1.0	collinear
gene:TraesCS1D03G0027800	Chr1D	7217568	7219054	-	7218311	Chr1D	7673266	7674752	-	7674009	1.0	1.0	collinear
gene:TraesCS1D03G0027900	Chr1D	7220638	7226063	+	7223350	Chr1D	7676336	7681761	+	7679048	1.0	1.0	collinear
gene:TraesCS1D03G0028000	Chr1D	7248635	7250357	+	7249496	Chr1D	7715135	7716857	+	7715996	1.0	1.0	collinear
gene:TraesCS1D03G0028400	Chr1D	7295347	7297250	+	7296298	Chr1D	7761847	7763750	+	7762798	1.0	1.0	collinear
gene:TraesCS1D03G0028500	Chr1D	7329510	7332180	+	7330845	Chr1D	7795701	7798371	+	7797036	1.0	1.0	collinear
gene:TraesCS1D03G0028600	Chr1D	7344236	7345795	+	7345015	Chr1D	7811579	7813138	+	7812358	1.0	1.0	collinear
gene:TraesCS1D03G0028700	Chr1D	7346429	7346764	+	7346596	Chr1D	7813772	7814107	+	7813939	1.0	1.0	collinear
gene:TraesCS1D03G0029000	Chr1D	7444347	7445118	-	7444732	Chr1D	7911611	7912382	-	7911996	1.0	1.0	collinear
gene:TraesCS1D03G0029100	Chr1D	7448772	7453083	+	7450927	Chr1D	7916036	7920349	+	7918192	1.0	1.0	collinear
gene:TraesCS1D03G0029300	Chr1D	7458483	7460471	+	7459477	Chr1D	7925749	7927737	+	7926743	1.0	1.0	collinear
gene:TraesCS1D03G0029400	Chr1D	7461845	7465604	-	7463724	Chr1D	7929111	7932870	-	7930990	1.0	1.0	collinear
gene:TraesCS1D03G0029500	Chr1D	7469380	7470382	-	7469881	Chr1D	7936636	7937638	-	7937137	1.0	1.0	collinear
gene:TraesCS1D03G0029700	Chr1D	7485862	7490452	-	7488157	Chr1D	7953118	7957708	-	7955413	1.0	1.0	collinear
gene:TraesCS1D03G0029900	Chr1D	7495928	7498713	-	7497320	Chr1D	7963184	7965969	-	7964576	1.0	1.0	collinear
gene:TraesCS1D03G0030000	Chr1D	7504293	7508717	+	7506505	Chr1D	7971551	7975973	+	7973762	1.0	1.0	collinear
