cs_chr	cs_start	cs_end	MOV_tgt_chr	MOV_tgt_start	MOV_tgt_end	n_anchors	mean_identity
Chr5B	18796	10061736	Chr5B	52901	15357416	89	0.9932471910112359
Chr5B	13921083	26951595	Chr5B	15527532	31000580	106	0.9897358490566038
Chr5B	30865768	59927118	Chr5B	31610466	58360148	214	0.9929439252336449
Chr5B	62024927	102163177	Chr5B	59110596	100750681	229	0.9962008733624454
Chr5B	105776459	149237938	Chr5B	100859397	143991341	234	0.9980641025641027
Chr5B	153486189	153898308	Chr5B	144061674	144477390	3	0.9983333333333334
Chr5B	157030866	167292122	Chr5B	145681447	156098894	18	0.9971666666666668
Chr5B	181473222	182471380	Chr5B	158455075	159740349	3	0.9983333333333334
Chr5B	185182860	188797874	Chr5B	160157751	163733307	8	0.9875
Chr5B	202891999	216846297	Chr5B	165551700	178671115	48	0.9979583333333334
Chr5B	219089253	236283952	Chr5B	180683267	198151237	69	0.9965652173913042
Chr5B	249073050	257532817	Chr5B	200830026	209254565	41	0.9994634146341463
Chr5B	259539413	266010928	Chr5B	211228888	217627453	33	0.9999090909090909
Chr5B	279100219	316152508	Chr5B	218062571	256162863	194	0.9966752577319589
Chr5B	327600094	339540080	Chr5B	256328963	268154716	80	0.9981874999999999
Chr5B	343826709	383208800	Chr5B	284605359	323817591	214	0.9975140186915888
Chr5B	386333053	430751781	Chr5B	324105547	369488914	341	0.9972873900293254
Chr5B	437801697	441811582	Chr5B	369892662	374364719	46	0.9998913043478261
Chr5B	447278364	457395380	Chr5B	374531725	385150376	92	0.9969021739130435
Chr5B	465054323	494662885	Chr5B	385504578	416460626	316	0.9940443037974683
Chr5B	529687967	539024304	Chr5B	418617192	428318768	78	0.9812435897435898
Chr5B	547402942	591650714	Chr5B	428871750	471045761	422	0.995170616113744
Chr5B	604856931	629078528	Chr5B	472441164	494140223	229	0.9942052401746725
Chr5B	634982312	642307279	Chr5B	494689399	501783377	94	0.9963936170212765
Chr5B	644612479	681779122	Chr5B	502220021	535713142	411	0.9937518248175183
Chr5B	688977718	697379394	Chr5B	535745660	551820429	108	0.9908981481481481
Chr5B	704074687	713118452	Chr5B	552099312	566289080	172	0.9957209302325581
