cs_chr	cs_start	cs_end	Cadenza_v2_tgt_chr	Cadenza_v2_tgt_start	Cadenza_v2_tgt_end	n_anchors	mean_identity
Chr5B	2561439	2884239	Chr5B	3418957	3740079	6	0.9998333333333335
Chr5B	3449499	4061276	Chr5B	2201837	2825759	7	1.0
Chr5B	4549237	5072165	Chr5B	5156864	5852855	9	0.9998888888888889
Chr5B	196237920	198419112	Chr5B	232728338	235038038	6	0.9944999999999999
Chr5B	211146582	218215007	Chr5B	212024152	219518006	28	0.9988214285714284
Chr5B	18796	1579566	Chr5B	9493412	10677208	11	0.999909090909091
Chr5B	6219225	149330732	Chr5B	11984547	165188542	963	0.9957777777777778
Chr5B	152509380	167292122	Chr5B	167553593	184785247	26	0.9981538461538461
Chr5B	177191485	192381573	Chr5B	187599383	211379895	24	0.9945416666666667
Chr5B	202891999	210734983	Chr5B	219936887	227696458	25	0.99712
Chr5B	219089253	236283952	Chr5B	242675813	260158039	69	0.9941449275362317
Chr5B	238316269	257532817	Chr5B	261966720	280660871	78	0.99925641025641
Chr5B	259539413	341562322	Chr5B	282635173	365331687	497	0.9976800804828974
Chr5B	343826709	383208800	Chr5B	367554134	406758742	214	0.9975140186915888
Chr5B	386333053	412688052	Chr5B	407046700	435379017	199	0.9970603015075377
Chr5B	414828778	700236718	Chr5B	436672260	728107595	2842	0.9941157635467981
Chr5B	704074687	713118452	Chr5B	728383998	738040843	178	0.9960730337078652
Chr5B	700333219	701547412	Chr5B	715831928	717407308	18	0.9744999999999998
Chr5B	702478796	703858476	Chr5B	719563554	720838524	29	0.9863448275862068
