cs_chr	Aikang58_tgt_chr	n_anchors	Aikang58_mean_anchor_gap_Mb	Aikang58_interp_type	n_segments	Aikang58_mean_anchor_fraction
Chr1A	Chr1A	3639	0.163	linear	1	0.909
Chr1B	Chr1B	3305	0.208	linear	1	0.684
Chr1D	Chr1D	4351	0.114	linear	1	0.979
Chr2A	Chr2A+Chr2A+Chr2A+Chr2A+Chr2A+Chr2A+Chr2A+Chr2A	5109	1.134	linear+linear+pchip+linear+linear+linear+linear+linear	8	0.938
Chr2B	Chr2B+Chr2B+Chr2B+Chr2B+Chr2B+Chr2B	5426	0.147	linear+linear+pchip+linear+linear+linear	6	0.921
Chr2D	Chr2D+Chr2D+Chr2D+Chr2D	5695	0.063	linear+pchip_inverted+linear+linear	4	0.979
Chr3A	Chr3A+Chr3A+Chr3A+Chr3A	4856	0.114	linear+pchip+linear+pchip_inverted	4	0.949
Chr3B	Chr3B	5354	0.155	linear	1	0.926
Chr3D	Chr3D+Chr3D	5185	0.101	linear+linear	2	0.981
Chr4A	Chr4A+Chr4A+Chr4A+Chr4A	4334	0.093	linear+linear+linear+linear	4	0.918
Chr4B	Chr4B+Chr4B	3673	0.859	linear+linear	2	0.92
Chr4D	Chr4D+Chr4D	3503	0.102	linear+linear	2	0.977
Chr5A	Chr5A+Chr5A+Chr5A+Chr5A+Chr5A+Chr5A+Chr5A+Chr5A	5167	0.104	linear+linear+linear+linear+linear+linear+linear+linear	8	0.958
Chr5B	Chr5B+Chr5B	4950	0.117	linear+linear	2	0.896
Chr5D	Chr5D+Chr5D	5328	0.071	linear+pchip	2	0.963
Chr6A	Chr6A	3713	0.166	linear	1	0.952
Chr6B	Chr6B+Chr6B+Chr6B+Chr6B+Chr6B+Chr6B	4116	0.283	linear+linear+linear+linear+linear+linear	6	0.912
Chr6D	Chr6D+Chr6D+Chr6D	3863	0.101	linear+linear+pchip	3	0.979
Chr7A	Chr7A+Chr7A+Chr7A+Chr7A+Chr7A+Chr7A+Chr7A+Chr7A	4959	0.115	linear+pchip_inverted+linear+pchip_inverted+linear+pchip+linear+linear	8	0.937
Chr7B	Chr7B+Chr7B+Chr7B+Chr7B+Chr7B+Chr7B+Chr7B+Chr7B	4340	0.394	linear+linear+linear+linear+linear+linear+linear+linear	8	0.93
Chr7D	Chr7D+Chr7D	5182	0.08	linear+linear	2	0.972
