cs_chr	cs_start	cs_end	tgt_chr	tgt_start	tgt_end	n_anchors	mean_identity
Chr7B	34602	183070778	Chr5B	288458797	467841648	1330	0.9958082706766919
Chr7B	185568431	273738848	Chr5B	198815266	286003295	382	0.9980837696335078
Chr7B	277209396	281424341	Chr5B	192011541	196226304	8	1.0
Chr7B	285314080	289688654	Chr5B	183877605	188158840	8	0.9966250000000001
Chr7B	295582888	298332385	Chr5B	175572359	178319676	5	0.9996
Chr7B	303041226	321770729	Chr5B	148743946	170200015	31	0.999741935483871
Chr7B	325898281	326779654	Chr5B	159417007	160301666	4	0.9995
Chr7B	327149605	342648507	Chr7B	547486664	563005570	33	0.9998181818181818
Chr7B	362128535	393308791	Chr7B	577417710	611807871	134	0.9987537313432836
Chr7B	396179589	410599513	Chr7B	614702684	628584161	51	0.9997647058823529
Chr7B	413179671	423778078	Chr7B	631163214	641651916	45	0.9991777777777776
Chr7B	425791676	545780843	Chr7B	643662423	763229245	783	0.9990140485312899
Chr7B	547795684	747816722	Chr7B	765280514	953092120	1462	0.9928645690834473
Chr7B	753767617	756980467	Chr7B	959459645	964519813	68	0.9879411764705881
Chr7B	759199056	760305873	Chr7B	958092900	959156785	6	0.976
