cs_chr	cs_start	cs_end	Fielder_tgt_chr	Fielder_tgt_start	Fielder_tgt_end	n_anchors	mean_identity
Chr4D	734322	141272747	Chr4D	74014	143200423	1410	0.9992382978723404
Chr4D	143939177	159173700	Chr4D	145858649	161077329	18	0.9995555555555556
Chr4D	163710731	183649096	Chr4D	165634529	185669327	27	0.9997777777777778
Chr4D	188969484	192971731	Chr4D	192598467	196592702	6	0.9996666666666666
Chr4D	195239705	198785582	Chr4D	198861403	202398580	7	0.9994285714285714
Chr4D	201663396	205088496	Chr4D	205710434	211720722	6	0.9998333333333335
Chr4D	207160289	212424003	Chr4D	212885587	218036401	20	0.9995500000000002
Chr4D	214566503	228344802	Chr4D	220166945	233919195	23	0.9984782608695654
Chr4D	230503918	238850566	Chr4D	236114431	244408915	11	0.9995454545454546
Chr4D	241150325	249170093	Chr4D	246698985	255541998	18	0.9992777777777777
Chr4D	251744642	256746015	Chr4D	258112502	263106506	7	0.999
Chr4D	259082246	261473317	Chr4D	265425311	267824802	6	1.0
Chr4D	264155329	268258812	Chr4D	270503213	274579365	7	0.9969999999999999
Chr4D	270831155	284417863	Chr4D	277155661	290701941	19	0.9975789473684211
Chr4D	286726699	329466878	Chr4D	292983754	335836944	223	0.999286995515695
Chr4D	331779306	375686787	Chr4D	338142341	382218155	303	0.9994125412541254
Chr4D	377775997	410310201	Chr4D	384340448	420076461	237	0.9994894514767932
Chr4D	412602740	514856841	Chr4D	422843694	529790982	1190	0.999246218487395
