gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Landmark_tgt_chr	Landmark_tgt_start	Landmark_tgt_end	Landmark_tgt_strand	Landmark_tgt_midpoint	Landmark_coverage	Landmark_identity	segment
gene:TraesCS1A03G0000200	Chr1A	40098	70338	-	55218	Chr1A	38937	65938	-	52437	1.0	0.998	collinear
gene:TraesCS1A03G0000400	Chr1A	70239	89245	+	79742	Chr1A	65839	84706	+	75272	1.0	0.997	collinear
gene:TraesCS1A03G0000600	Chr1A	95906	104903	+	100404	Chr1A	272288	281243	-	276765	1.0	0.969	collinear
gene:TraesCS1A03G0000800	Chr1A	102794	122504	+	112649	Chr1A	271342	282635	-	276988	0.999	0.934	collinear
gene:TraesCS1A03G0001000	Chr1A	149490	154559	-	152024	Chr1A	145616	150685	-	148150	1.0	0.997	collinear
gene:TraesCS1A03G0001200	Chr1A	162313	162609	+	162461	Chr1A	158439	158735	+	158587	1.0	1.0	collinear
gene:TraesCS1A03G0001300	Chr1A	169592	169969	-	169780	Chr1A	165391	165768	-	165579	1.0	1.0	collinear
gene:TraesCS1A03G0001400	Chr1A	180175	180552	-	180363	Chr1A	175694	176071	-	175882	1.0	0.997	collinear
gene:TraesCS1A03G0001500	Chr1A	233818	245051	+	239434	Chr1A	21414	24257	+	22835	0.952	0.94	collinear
gene:TraesCS1A03G0001800	Chr1A	270605	272936	-	271770	Chr1A	263836	266147	-	264991	0.991	0.99	collinear
gene:TraesCS1A03G0002100	Chr1A	287697	287957	+	287827	Chr1A	281046	281306	+	281176	1.0	1.0	collinear
gene:TraesCS1A03G0002400	Chr1A	297266	297652	+	297459	Chr1A	289929	290315	+	290122	1.0	1.0	collinear
gene:TraesCS1A03G0002200	Chr1A	294611	305428	-	300019	Chr1A	237232	256112	+	246672	0.992	0.961	collinear
gene:TraesCS1A03G0002800	Chr1A	326099	326518	+	326308	Chr1A	317166	317585	+	317375	1.0	1.0	collinear
gene:TraesCS1A03G0002900	Chr1A	337960	338256	+	338108	Chr1A	329233	329529	+	329381	1.0	1.0	collinear
gene:TraesCS1A03G0003200	Chr1A	403455	403751	+	403603	Chr1A	401076	401372	+	401224	1.0	1.0	collinear
gene:TraesCS1A03G0004000	Chr1A	1142826	1144427	+	1143626	Chr1A	1153513	1155114	+	1154313	1.0	1.0	collinear
gene:TraesCS1A03G0004200	Chr1A	1157430	1161066	-	1159248	Chr1A	1168467	1172103	-	1170285	1.0	1.0	collinear
gene:TraesCS1A03G0004300	Chr1A	1161721	1166114	-	1163917	Chr1A	1172758	1177151	-	1174954	1.0	0.999	collinear
gene:TraesCS1A03G0004400	Chr1A	1168201	1175228	+	1171714	Chr1A	1179237	1186264	+	1182750	1.0	1.0	collinear
gene:TraesCS1A03G0004500	Chr1A	1186689	1188709	+	1187699	Chr1A	1197449	1199469	+	1198459	1.0	1.0	collinear
gene:TraesCS1A03G0004900	Chr1A	1207566	1210657	-	1209111	Chr1A	1217986	1221077	-	1219531	1.0	1.0	collinear
gene:TraesCS1A03G0005000	Chr1A	1226759	1227184	-	1226971	Chr1A	1245174	1245599	-	1245386	1.0	1.0	collinear
gene:TraesCS1A03G0005200	Chr1A	1230199	1236314	-	1233256	Chr1A	1248614	1254760	-	1251687	0.999	0.991	collinear
gene:TraesCS1A03G0005600	Chr1A	1334686	1346171	-	1340428	Chr1A	1354595	1366451	-	1360523	1.0	1.0	collinear
gene:TraesCS1A03G0006700	Chr1A	1570115	1571372	-	1570743	Chr1A	1586087	1587344	-	1586715	1.0	0.997	collinear
gene:TraesCS1A03G0007600	Chr1A	1938410	1941394	+	1939902	Chr1A	1889977	1892961	+	1891469	1.0	1.0	collinear
gene:TraesCS1A03G0007700	Chr1A	1946022	1947181	+	1946601	Chr1A	1897589	1898776	+	1898182	1.0	0.969	collinear
gene:TraesCS1A03G0007800	Chr1A	1946792	1947917	+	1947354	Chr1A	1898387	1899512	+	1898949	1.0	1.0	collinear
gene:TraesCS1A03G0007900	Chr1A	1963897	1965450	+	1964673	Chr1A	1915486	1917039	+	1916262	1.0	1.0	collinear
gene:TraesCS1A03G0008100	Chr1A	2058764	2060237	-	2059500	Chr1A	2010798	2012271	-	2011534	1.0	1.0	collinear
gene:TraesCS1A03G0008200	Chr1A	2058764	2060237	-	2059500	Chr1A	2010798	2012271	-	2011534	1.0	1.0	collinear
gene:TraesCS1A03G0008400	Chr1A	2058909	2060171	-	2059540	Chr1A	2010943	2012205	-	2011574	1.0	1.0	collinear
gene:TraesCS1A03G0008600	Chr1A	2058909	2060171	-	2059540	Chr1A	2010943	2012205	-	2011574	1.0	1.0	collinear
gene:TraesCS1A03G0008500	Chr1A	2058909	2060171	-	2059540	Chr1A	2010943	2012205	-	2011574	1.0	1.0	collinear
gene:TraesCS1A03G0008300	Chr1A	2058909	2060171	-	2059540	Chr1A	2010943	2012205	-	2011574	1.0	1.0	collinear
gene:TraesCS1A03G0009000	Chr1A	2567417	2577225	+	2572321	Chr1A	2364501	2374309	+	2369405	1.0	1.0	collinear
gene:TraesCS1A03G0009200	Chr1A	2579251	2580660	+	2579955	Chr1A	2376335	2377744	+	2377039	1.0	0.999	collinear
gene:TraesCS1A03G0009700	Chr1A	2599654	2609145	-	2604399	Chr1A	2396736	2406226	-	2401481	1.0	1.0	collinear
