cs_chr	cs_start	cs_end	CS_CAU_tgt_chr	CS_CAU_tgt_start	CS_CAU_tgt_end	n_anchors	mean_identity
Chr1B	170123	3470152	Chr1B	2776168	6066469	52	0.9999230769230768
Chr1B	5965088	38402288	Chr1B	6493198	39716844	429	0.99983682983683
Chr1B	40611674	81974218	Chr1B	41738215	85584613	321	0.9994859813084114
Chr1B	86500196	91210816	Chr1B	90541225	95255102	18	0.9998888888888888
Chr1B	93460686	224268457	Chr1B	97510835	230245522	591	0.9997394247038918
Chr1B	240313663	243418522	Chr1B	244425582	248018977	7	1.0
Chr1B	254248268	272283175	Chr1B	262349311	281204137	45	0.9994666666666666
Chr1B	274419536	296088628	Chr1B	283335582	305041592	79	0.9998227848101264
Chr1B	298738700	298817103	Chr1B	307700575	307778986	5	1.0
Chr1B	301350787	700379038	Chr1B	310301674	716547300	3058	0.9996710268149116
