gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Kariega_tgt_chr	Kariega_tgt_start	Kariega_tgt_end	Kariega_tgt_strand	Kariega_tgt_midpoint	Kariega_coverage	Kariega_identity	segment
gene:TraesCS5B02G004200	Chr5B	6217631	6220820	-	6219225	Chr5B	1362115	1365304	+	1363709	1.0	1.0	rearrangement:Chr5B_block1
gene:TraesCS5B02G004300	Chr5B	6364821	6368699	-	6366760	Chr5B	1215485	1219363	+	1217424	1.0	1.0	rearrangement:Chr5B_block1
gene:TraesCS5B02G004400	Chr5B	6393220	6407926	+	6400573	Chr5B	1176220	1190926	-	1183573	0.999	0.999	rearrangement:Chr5B_block1
gene:TraesCS5B02G004500	Chr5B	6418315	6422013	-	6420164	Chr5B	1162310	1166008	+	1164159	1.0	1.0	rearrangement:Chr5B_block1
gene:TraesCS5B02G004600	Chr5B	6467080	6476016	+	6471548	Chr5B	1109200	1117515	-	1113357	1.0	1.0	rearrangement:Chr5B_block1
gene:TraesCS5B02G004700	Chr5B	6501236	6502261	+	6501748	Chr5B	1082676	1083701	-	1083188	1.0	1.0	rearrangement:Chr5B_block1
gene:TraesCS5B02G004800	Chr5B	6570469	6587252	+	6578860	Chr5B	996908	1013688	-	1005298	1.0	1.0	rearrangement:Chr5B_block1
gene:TraesCS5B02G004900	Chr5B	6622837	6626116	+	6624476	Chr5B	958466	961745	-	960105	1.0	1.0	rearrangement:Chr5B_block1
gene:TraesCS5B02G005000	Chr5B	6645267	6648830	+	6647048	Chr5B	935899	939462	-	937680	1.0	0.999	rearrangement:Chr5B_block1
gene:TraesCS5B02G005100	Chr5B	6650056	6654556	+	6652306	Chr5B	930471	934971	-	932721	1.0	1.0	rearrangement:Chr5B_block1
gene:TraesCS5B02G005200	Chr5B	6659370	6677496	+	6668433	Chr5B	907531	925657	-	916594	1.0	1.0	rearrangement:Chr5B_block1
gene:TraesCS5B02G005300	Chr5B	6834483	6837707	-	6836095	Chr5B	735149	738373	+	736761	1.0	1.0	rearrangement:Chr5B_block1
gene:TraesCS5B02G005400	Chr5B	6918180	6927740	-	6922960	Chr5B	645837	655398	+	650617	1.0	1.0	rearrangement:Chr5B_block1
gene:TraesCS5B02G005500	Chr5B	6968208	6970169	+	6969188	Chr5B	603973	605934	-	604953	1.0	0.999	rearrangement:Chr5B_block1
gene:TraesCS5B02G119600	Chr5B	211739093	211739284	-	211739188	Chr5B	214799167	214799358	+	214799262	1.0	1.0	rearrangement:Chr5B_block3
gene:TraesCS5B02G119700	Chr5B	212189442	212193483	+	212191462	Chr5B	214354310	214358350	-	214356330	1.0	1.0	rearrangement:Chr5B_block3
gene:TraesCS5B02G119800	Chr5B	212389487	212406943	+	212398215	Chr5B	214123322	214140517	-	214131919	1.0	0.998	rearrangement:Chr5B_block3
gene:TraesCS5B02G119900	Chr5B	212629864	212634220	+	212632042	Chr5B	213865297	213869655	-	213867476	0.999	0.999	rearrangement:Chr5B_block3
gene:TraesCS5B02G120000	Chr5B	212634917	212636332	-	212635624	Chr5B	213863185	213864600	+	213863892	1.0	0.999	rearrangement:Chr5B_block3
gene:TraesCS5B02G120100	Chr5B	212784069	212797800	+	212790934	Chr5B	213708430	213721911	-	213715170	1.0	1.0	rearrangement:Chr5B_block3
gene:TraesCS5B02G120200	Chr5B	212790249	212801266	-	212795757	Chr5B	213705269	213715754	+	213710511	1.0	0.999	rearrangement:Chr5B_block3
gene:TraesCS5B02G120300	Chr5B	213248360	213252780	+	213250570	Chr5B	213256676	213261093	-	213258884	0.999	0.999	rearrangement:Chr5B_block3
gene:TraesCS5B02G120400	Chr5B	213252280	213258565	-	213255422	Chr5B	213250892	213257176	+	213254034	1.0	0.999	rearrangement:Chr5B_block3
gene:TraesCS5B02G120500	Chr5B	213471491	213478696	-	213475093	Chr5B	213044265	213051470	+	213047867	1.0	0.999	rearrangement:Chr5B_block3
gene:TraesCS5B02G120600	Chr5B	214107518	214127026	+	214117272	Chr5B	212392424	212411545	-	212401984	1.0	1.0	rearrangement:Chr5B_block3
gene:TraesCS5B02G120700	Chr5B	214127461	214131059	+	214129260	Chr5B	212388391	212391989	-	212390190	1.0	0.999	rearrangement:Chr5B_block3
gene:TraesCS5B02G120800	Chr5B	214261197	214263646	-	214262421	Chr5B	212259149	212261599	+	212260374	1.0	0.999	rearrangement:Chr5B_block3
gene:TraesCS5B02G121000	Chr5B	215872825	215890731	+	215881778	Chr5B	210524708	210542131	-	210533419	0.998	0.998	rearrangement:Chr5B_block2
gene:TraesCS5B02G121100	Chr5B	216392658	216393155	+	216392906	Chr5B	210014264	210014761	-	210014512	1.0	1.0	rearrangement:Chr5B_block2
gene:TraesCS5B02G121200	Chr5B	216394244	216399179	-	216396711	Chr5B	210008240	210013175	+	210010707	1.0	0.998	rearrangement:Chr5B_block2
gene:TraesCS5B02G121300	Chr5B	216399368	216404020	+	216401694	Chr5B	210003404	210008051	-	210005727	0.997	0.997	rearrangement:Chr5B_block2
gene:TraesCS5B02G121400	Chr5B	216649842	216653719	+	216651780	Chr5B	209747948	209751826	-	209749887	1.0	0.999	rearrangement:Chr5B_block2
gene:TraesCS5B02G121500	Chr5B	216653222	216659535	-	216656378	Chr5B	209742132	209748445	+	209745288	1.0	0.999	rearrangement:Chr5B_block2
gene:TraesCS5B02G121600	Chr5B	216829243	216863351	-	216846297	Chr5B	209538102	209572216	+	209555159	0.999	0.997	rearrangement:Chr5B_block2
gene:TraesCS5B02G000100	Chr5B	16235	21357	+	18796	Chr5B	3094818	3099944	+	3097381	1.0	1.0	collinear
gene:TraesCS5B02G000300	Chr5B	86983	88497	-	87740	Chr5B	3229031	3230545	-	3229788	1.0	1.0	collinear
gene:TraesCS5B02G000400	Chr5B	210112	215729	+	212920	Chr5B	3351725	3357342	+	3354533	1.0	1.0	collinear
gene:TraesCS5B02G000500	Chr5B	216278	219412	-	217845	Chr5B	3357891	3361028	-	3359459	1.0	0.999	collinear
gene:TraesCS5B02G000600	Chr5B	229215	233600	+	231407	Chr5B	3370831	3374973	+	3372902	1.0	1.0	collinear
gene:TraesCS5B02G000700	Chr5B	461918	462852	-	462385	Chr5B	3081564	3082498	+	3082031	1.0	1.0	collinear
gene:TraesCS5B02G000800	Chr5B	655778	658708	-	657243	Chr5B	2861654	2864584	+	2863119	1.0	1.0	collinear
gene:TraesCS5B02G000900	Chr5B	756821	758672	+	757746	Chr5B	2762618	2764471	-	2763544	1.0	1.0	collinear
gene:TraesCS5B02G001000	Chr5B	762630	764982	-	763806	Chr5B	2756308	2758660	+	2757484	1.0	1.0	collinear
gene:TraesCS5B02G001100	Chr5B	860861	865647	-	863254	Chr5B	2657303	2661826	+	2659564	1.0	1.0	collinear
gene:TraesCS5B02G001600	Chr5B	2558977	2563902	-	2561439	Chr5B	7362134	7366888	-	7364511	1.0	0.999	collinear
gene:TraesCS5B02G001700	Chr5B	2570828	2574624	-	2572726	Chr5B	7373814	7377610	-	7375712	1.0	1.0	collinear
gene:TraesCS5B02G001800	Chr5B	2581312	2585281	+	2583296	Chr5B	7384300	7388269	+	7386284	1.0	1.0	collinear
gene:TraesCS5B02G001900	Chr5B	2612913	2614391	-	2613652	Chr5B	7415575	7417053	-	7416314	1.0	1.0	collinear
gene:TraesCS5B02G002000	Chr5B	2805491	2806938	+	2806214	Chr5B	7607745	7609193	+	7608469	1.0	0.999	collinear
gene:TraesCS5B02G002100	Chr5B	2883487	2884992	+	2884239	Chr5B	7684896	7686401	+	7685648	1.0	1.0	collinear
gene:TraesCS5B02G002200	Chr5B	3449225	3449773	-	3449499	Chr5B	8278604	8279152	-	8278878	1.0	1.0	collinear
gene:TraesCS5B02G002300	Chr5B	3474782	3475968	+	3475375	Chr5B	8304176	8305362	+	8304769	1.0	1.0	collinear
gene:TraesCS5B02G002400	Chr5B	3849532	3862578	-	3856055	Chr5B	8677711	8689866	-	8683788	1.0	1.0	collinear
gene:TraesCS5B02G002500	Chr5B	3867064	3867802	-	3867433	Chr5B	8694352	8695090	-	8694721	1.0	1.0	collinear
gene:TraesCS5B02G002600	Chr5B	3917424	3923351	-	3920387	Chr5B	8759260	8765187	-	8762223	1.0	1.0	collinear
gene:TraesCS5B02G002700	Chr5B	4059784	4060323	-	4060053	Chr5B	8901322	8901861	-	8901591	1.0	1.0	collinear
gene:TraesCS5B02G002800	Chr5B	4061095	4061457	+	4061276	Chr5B	8902633	8902995	+	8902814	1.0	1.0	collinear
gene:TraesCS5B02G002900	Chr5B	4546069	4552406	-	4549237	Chr5B	6215539	6221679	+	6218609	1.0	1.0	collinear
gene:TraesCS5B02G003000	Chr5B	4594584	4597569	-	4596076	Chr5B	6170424	6173409	+	6171916	1.0	1.0	collinear
gene:TraesCS5B02G005600	Chr5B	6965525	6975517	+	6970521	Chr5B	9491655	9500712	+	9496183	1.0	0.997	collinear
gene:TraesCS5B02G005700	Chr5B	7021141	7026614	-	7023877	Chr5B	9553647	9559120	-	9556383	1.0	1.0	collinear
gene:TraesCS5B02G005755	Chr5B	7068359	7071536	-	7069947	Chr5B	9866122	9868466	-	9867294	0.983	0.976	collinear
gene:TraesCS5B02G005800	Chr5B	7119761	7120042	-	7119901	Chr5B	9918444	9918725	-	9918584	1.0	1.0	collinear
gene:TraesCS5B02G005900	Chr5B	7148738	7149225	-	7148981	Chr5B	9947450	9947937	-	9947693	1.0	1.0	collinear
gene:TraesCS5B02G006000	Chr5B	7184206	7184957	-	7184581	Chr5B	9982922	9983673	-	9983297	1.0	1.0	collinear
gene:TraesCS5B02G006100	Chr5B	7304012	7304699	-	7304355	Chr5B	10102121	10102808	-	10102464	1.0	1.0	collinear
gene:TraesCS5B02G006200	Chr5B	7354948	7355435	-	7355191	Chr5B	10152629	10153116	-	10152872	1.0	1.0	collinear
gene:TraesCS5B02G006300	Chr5B	7382778	7383265	-	7383021	Chr5B	10179795	10180282	-	10180038	1.0	1.0	collinear
gene:TraesCS5B02G006400	Chr5B	7541069	7545930	-	7543499	Chr5B	10335351	10339850	-	10337600	0.97	0.97	collinear
gene:TraesCS5B02G006500	Chr5B	7706077	7709832	-	7707954	Chr5B	10498228	10501983	-	10500105	1.0	1.0	collinear
gene:TraesCS5B02G006600	Chr5B	7936224	7944965	-	7940594	Chr5B	10727985	10736728	-	10732356	1.0	1.0	collinear
gene:TraesCS5B02G006700	Chr5B	7995392	8007460	-	8001426	Chr5B	10786804	10798872	-	10792838	1.0	1.0	collinear
gene:TraesCS5B02G006800	Chr5B	8086615	8096868	+	8091741	Chr5B	10877177	10887431	+	10882304	1.0	1.0	collinear
gene:TraesCS5B02G006900	Chr5B	8171350	8176122	+	8173736	Chr5B	10975395	10980167	+	10977781	1.0	1.0	collinear
gene:TraesCS5B02G007000	Chr5B	8185879	8188188	-	8187033	Chr5B	10989481	10991790	-	10990635	1.0	1.0	collinear
gene:TraesCS5B02G007100	Chr5B	8342582	8344606	+	8343594	Chr5B	11144226	11146250	+	11145238	1.0	1.0	collinear
gene:TraesCS5B02G007200	Chr5B	8351751	8353860	+	8352805	Chr5B	11153395	11155504	+	11154449	1.0	0.999	collinear
gene:TraesCS5B02G007300	Chr5B	8374524	8379358	-	8376941	Chr5B	11176167	11181001	-	11178584	1.0	1.0	collinear
gene:TraesCS5B02G007400	Chr5B	8523932	8537816	+	8530874	Chr5B	11318150	11332034	+	11325092	1.0	1.0	collinear
gene:TraesCS5B02G007500	Chr5B	8538379	8545008	-	8541693	Chr5B	11332597	11339226	-	11335911	1.0	1.0	collinear
gene:TraesCS5B02G007600	Chr5B	8875269	8877667	-	8876468	Chr5B	11722351	11724749	-	11723550	1.0	1.0	collinear
gene:TraesCS5B02G007800	Chr5B	8905295	8919306	-	8912300	Chr5B	11752377	11766387	-	11759382	1.0	1.0	collinear
gene:TraesCS5B02G007900	Chr5B	8933272	8935785	-	8934528	Chr5B	11780358	11782871	-	11781614	1.0	1.0	collinear
gene:TraesCS5B02G008000	Chr5B	8936244	8937011	-	8936627	Chr5B	11783330	11784097	-	11783713	1.0	1.0	collinear
gene:TraesCS5B02G008100	Chr5B	8945172	8946074	-	8945623	Chr5B	11792258	11793160	-	11792709	1.0	1.0	collinear
gene:TraesCS5B02G008200	Chr5B	9009416	9010239	+	9009827	Chr5B	11856339	11857162	+	11856750	1.0	0.998	collinear
gene:TraesCS5B02G008300	Chr5B	9040754	9040975	+	9040864	Chr5B	11887677	11887898	+	11887787	1.0	1.0	collinear
gene:TraesCS5B02G008400	Chr5B	9044522	9047785	+	9046153	Chr5B	11891445	11894707	+	11893076	1.0	1.0	collinear
gene:TraesCS5B02G008500	Chr5B	9075440	9079212	+	9077326	Chr5B	11922073	11925691	+	11923882	1.0	1.0	collinear
gene:TraesCS5B02G008600	Chr5B	9222282	9225823	-	9224052	Chr5B	12063690	12067273	-	12065481	1.0	0.999	collinear
gene:TraesCS5B02G008700	Chr5B	9243595	9244008	+	9243801	Chr5B	12085109	12085522	+	12085315	1.0	1.0	collinear
gene:TraesCS5B02G008800	Chr5B	9261235	9263380	+	9262307	Chr5B	12102402	12104547	+	12103474	1.0	1.0	collinear
gene:TraesCS5B02G008900	Chr5B	9263459	9267479	-	9265469	Chr5B	12104626	12108646	-	12106636	1.0	1.0	collinear
gene:TraesCS5B02G009000	Chr5B	9284415	9286096	+	9285255	Chr5B	12194627	12196308	+	12195467	1.0	1.0	collinear
gene:TraesCS5B02G009100	Chr5B	9289491	9289916	+	9289703	Chr5B	12199703	12200128	+	12199915	1.0	1.0	collinear
gene:TraesCS5B02G009200	Chr5B	9298645	9299536	+	9299090	Chr5B	12210793	12211684	+	12211238	1.0	1.0	collinear
gene:TraesCS5B02G009300	Chr5B	9302014	9303513	+	9302763	Chr5B	12214162	12215661	+	12214911	1.0	1.0	collinear
