cs_chr	Norin61_tgt_chr	n_anchors	Norin61_mean_anchor_gap_Mb	Norin61_interp_type	n_segments	Norin61_mean_anchor_fraction
Chr1A	Chr1A	4017	0.148	linear	1	0.953
Chr1B	Chr1B	4231	0.163	linear	1	0.89
Chr1D	Chr1D	4356	0.114	linear	1	0.981
Chr2A	Chr2A	5081	0.154	linear	1	0.893
Chr2B	Chr2B	5452	0.147	linear	1	0.815
Chr2D	Chr2D	5572	0.116	linear	1	0.975
Chr3A	Chr3A	4963	0.151	linear	1	0.959
Chr3B	Chr3B	5199	0.158	linear	1	0.868
Chr3D	Chr3D	5116	0.12	linear	1	0.954
Chr4A	Chr4A	4020	0.185	linear	1	0.816
Chr4B	Chr4B	3704	0.182	linear	1	0.961
Chr4D	Chr4D	3463	0.147	linear	1	0.984
Chr5A	Chr5A	5282	0.134	linear	1	0.976
Chr5B	Chr5B	5132	0.139	linear	1	0.932
Chr5D	Chr5D	5301	0.105	linear	1	0.961
Chr6A	Chr6A	3933	0.157	linear	1	0.969
Chr6B	Chr6B	3970	0.182	linear	1	0.836
Chr6D	Chr6D	3770	0.126	linear	1	0.957
Chr7A	Chr7A	5138	0.143	linear	1	0.962
Chr7B	Chr7B	3658	0.205	linear	1	0.675
Chr7D	Chr7D	5265	0.121	linear	1	0.983
