cs_chr	cs_start	cs_end	Lancer_tgt_chr	Lancer_tgt_start	Lancer_tgt_end	n_anchors	mean_identity
Chr4B	234405	83143343	Chr4B	249252	82377442	783	0.9961047254150703
Chr4B	85363222	152088859	Chr4B	84603919	150805074	386	0.9995155440414507
Chr4B	154112314	161625531	Chr4B	152812784	160203216	12	0.9998333333333335
Chr4B	163837175	192791026	Chr4B	162793491	191482205	170	0.9998117647058823
Chr4B	195462962	199191287	Chr4B	194453448	198155072	3	1.0
Chr4B	206794132	223387060	Chr4B	205456133	221915368	44	0.9996136363636364
Chr4B	226512235	230010047	Chr4B	225018171	228482079	4	0.9995
Chr4B	291844033	291890141	Chr4B	291589191	291634119	4	1.0
Chr4B	295046802	296948857	Chr4B	290126765	294748622	3	1.0
Chr4B	357909130	429353205	Chr4B	352105491	422921912	337	0.9992700296735906
Chr4B	431793129	450924864	Chr4B	425355468	444400189	107	0.998
Chr4B	453080800	457800370	Chr4B	447036390	451711680	34	0.9983529411764707
Chr4B	460335403	673534850	Chr4B	453595188	665061554	1666	0.9961998799519807
Chr4B	451471809	452733348	Chr4B	452049081	453342938	9	0.9935555555555555
Chr4B	458125517	460161782	Chr4B	444678138	446688043	11	0.999909090909091
