gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	CS_v1_tgt_chr	CS_v1_tgt_start	CS_v1_tgt_end	CS_v1_tgt_strand	CS_v1_tgt_midpoint	CS_v1_coverage	CS_v1_identity	segment
gene:TraesCS1D03G0000100	Chr1D	20638	21773	+	21205	Chr1D	2066324	2067459	+	2066891	1.0	1.0	collinear
gene:TraesCS1D03G0000300	Chr1D	29025	30863	+	29944	Chr1D	2074711	2076549	+	2075630	1.0	1.0	collinear
gene:TraesCS1D03G0000400	Chr1D	31231	35151	-	33191	Chr1D	2076917	2080837	-	2078877	1.0	1.0	collinear
gene:TraesCS1D03G0000500	Chr1D	35595	39094	-	37344	Chr1D	2081281	2084780	-	2083030	1.0	1.0	collinear
gene:TraesCS1D03G0000600	Chr1D	42073	49239	+	45656	Chr1D	2087759	2094728	+	2091243	1.0	1.0	collinear
gene:TraesCS1D03G0000800	Chr1D	55880	57669	+	56774	Chr1D	2101598	2103387	+	2102492	1.0	1.0	collinear
gene:TraesCS1D03G0001000	Chr1D	62405	66535	+	64470	Chr1D	2108471	2112601	+	2110536	1.0	1.0	collinear
gene:TraesCS1D03G0001100	Chr1D	66949	69971	-	68460	Chr1D	2113015	2116037	-	2114526	1.0	1.0	collinear
gene:TraesCS1D03G0001300	Chr1D	73080	76040	-	74560	Chr1D	2119146	2122106	-	2120626	1.0	1.0	collinear
gene:TraesCS1D03G0001400	Chr1D	78627	81289	-	79958	Chr1D	2124693	2127355	-	2126024	1.0	1.0	collinear
gene:TraesCS1D03G0001500	Chr1D	92853	98829	-	95841	Chr1D	2139321	2145297	-	2142309	1.0	1.0	collinear
gene:TraesCS1D03G0001600	Chr1D	117511	120788	+	119149	Chr1D	2164355	2167632	+	2165993	1.0	1.0	collinear
gene:TraesCS1D03G0001800	Chr1D	171475	183229	-	177352	Chr1D	2218698	2230622	-	2224660	1.0	1.0	collinear
gene:TraesCS1D03G0002300	Chr1D	387049	399494	-	393271	Chr1D	2436388	2448831	-	2442609	1.0	1.0	collinear
gene:TraesCS1D03G0002400	Chr1D	409650	411707	-	410678	Chr1D	2458987	2461044	-	2460015	1.0	1.0	collinear
gene:TraesCS1D03G0002600	Chr1D	418798	422767	-	420782	Chr1D	2468451	2472420	-	2470435	1.0	1.0	collinear
gene:TraesCS1D03G0002800	Chr1D	432621	439371	+	435996	Chr1D	2482275	2489362	+	2485818	1.0	1.0	collinear
gene:TraesCS1D03G0002900	Chr1D	444052	448470	-	446261	Chr1D	2495367	2499785	-	2497576	1.0	1.0	collinear
gene:TraesCS1D03G0003000	Chr1D	454345	457932	+	456138	Chr1D	2505660	2509566	+	2507613	1.0	1.0	collinear
gene:TraesCS1D03G0003200	Chr1D	465036	466154	-	465595	Chr1D	2516670	2517788	-	2517229	1.0	1.0	collinear
gene:TraesCS1D03G0003300	Chr1D	588197	590502	-	589349	Chr1D	2586760	2589065	-	2587912	1.0	1.0	collinear
