gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	JIN50_tgt_chr	JIN50_tgt_start	JIN50_tgt_end	JIN50_tgt_strand	JIN50_tgt_midpoint	JIN50_coverage	JIN50_identity
gene:TraesCS2D03G0000100	Chr2D	80423	88053	+	84238	Chr2D	1916077	1923714	+	1919895	1.0	0.999
gene:TraesCS2D03G0000200	Chr2D	89594	93032	-	91313	Chr2D	2005813	2009251	-	2007532	1.0	1.0
gene:TraesCS2D03G0000300	Chr2D	103714	104259	-	103986	Chr2D	2019942	2020487	-	2020214	1.0	1.0
gene:TraesCS2D03G0000400	Chr2D	302821	307159	+	304990	Chr2D	2218402	2222743	+	2220572	0.999	0.996
gene:TraesCS2D03G0000700	Chr2D	324320	325720	+	325020	Chr2D	2239906	2241306	+	2240606	1.0	0.999
gene:TraesCS2D03G0000800	Chr2D	328026	333944	-	330985	Chr2D	2243391	2249309	-	2246350	1.0	1.0
gene:TraesCS2D03G0000900	Chr2D	378562	379694	-	379128	Chr2D	2293929	2295061	-	2294495	1.0	1.0
gene:TraesCS2D03G0001000	Chr2D	392241	395710	+	393975	Chr2D	2307657	2311126	+	2309391	1.0	1.0
gene:TraesCS2D03G0001300	Chr2D	402281	404837	+	403559	Chr2D	2317697	2320253	+	2318975	1.0	1.0
gene:TraesCS2D03G0001400	Chr2D	465877	484345	+	475111	Chr2D	2381245	2399714	+	2390479	1.0	1.0
gene:TraesCS2D03G0001500	Chr2D	512185	513105	+	512645	Chr2D	2427537	2428457	+	2427997	1.0	1.0
gene:TraesCS2D03G0001600	Chr2D	517999	519840	+	518919	Chr2D	2433409	2435250	+	2434329	1.0	1.0
gene:TraesCS2D03G0001800	Chr2D	675239	678446	+	676842	Chr2D	2590968	2594175	+	2592571	1.0	1.0
gene:TraesCS2D03G0001900	Chr2D	679143	683010	-	681076	Chr2D	2594872	2598739	-	2596805	1.0	1.0
gene:TraesCS2D03G0002000	Chr2D	685135	687301	+	686218	Chr2D	2600865	2603031	+	2601948	1.0	1.0
gene:TraesCS2D03G0002400	Chr2D	1649503	1653274	-	1651388	Chr2D	3602585	3606356	-	3604470	1.0	1.0
gene:TraesCS2D03G0002600	Chr2D	1713950	1716334	+	1715142	Chr2D	3662456	3664840	+	3663648	1.0	1.0
gene:TraesCS2D03G0002700	Chr2D	1727399	1735511	+	1731455	Chr2D	3675905	3684021	+	3679963	1.0	0.999
gene:TraesCS2D03G0002800	Chr2D	1746682	1747581	+	1747131	Chr2D	3695193	3696092	+	3695642	1.0	1.0
gene:TraesCS2D03G0003100	Chr2D	1762395	1762988	+	1762691	Chr2D	3710887	3711480	+	3711183	1.0	1.0
gene:TraesCS2D03G0003300	Chr2D	1783898	1784497	+	1784197	Chr2D	3732391	3732990	+	3732690	1.0	1.0
gene:TraesCS2D03G0004000	Chr2D	2035288	2045623	-	2040455	Chr2D	3994928	4005264	-	4000096	1.0	1.0
gene:TraesCS2D03G0004200	Chr2D	2080191	2084496	-	2082343	Chr2D	4039843	4044148	-	4041995	1.0	1.0
gene:TraesCS2D03G0004400	Chr2D	2112411	2114551	+	2113481	Chr2D	4072069	4074209	+	4073139	1.0	0.994
gene:TraesCS2D03G0004700	Chr2D	2134921	2136477	+	2135699	Chr2D	4094580	4096136	+	4095358	1.0	1.0
gene:TraesCS2D03G0004900	Chr2D	2166064	2169473	+	2167768	Chr2D	4125709	4129118	+	4127413	1.0	1.0
gene:TraesCS2D03G0005500	Chr2D	2236212	2236508	+	2236360	Chr2D	4194941	4195237	+	4195089	1.0	1.0
gene:TraesCS2D03G0005600	Chr2D	2258249	2265583	-	2261916	Chr2D	4216978	4224312	-	4220645	1.0	1.0
gene:TraesCS2D03G0005900	Chr2D	2317970	2318269	+	2318119	Chr2D	4276815	4277114	+	4276964	1.0	1.0
gene:TraesCS2D03G0006000	Chr2D	2342608	2342999	+	2342803	Chr2D	4301446	4301837	+	4301641	1.0	1.0
gene:TraesCS2D03G0006100	Chr2D	2357178	2357867	+	2357522	Chr2D	4316020	4316709	+	4316364	1.0	1.0
gene:TraesCS2D03G0006300	Chr2D	2377158	2383178	+	2380168	Chr2D	4336001	4342021	+	4339011	1.0	1.0
gene:TraesCS2D03G0006700	Chr2D	2441659	2447889	-	2444774	Chr2D	4400510	4406741	-	4403625	1.0	1.0
gene:TraesCS2D03G0006900	Chr2D	2460550	2464534	+	2462542	Chr2D	4419403	4423387	+	4421395	1.0	1.0
gene:TraesCS2D03G0007000	Chr2D	2476849	2478615	+	2477732	Chr2D	4434624	4436390	+	4435507	1.0	1.0
gene:TraesCS2D03G0007200	Chr2D	2481500	2482253	+	2481876	Chr2D	4439275	4440028	+	4439651	1.0	1.0
gene:TraesCS2D03G0007300	Chr2D	2551630	2555070	-	2553350	Chr2D	4509446	4512886	-	4511166	1.0	1.0
gene:TraesCS2D03G0007400	Chr2D	2560214	2564364	-	2562289	Chr2D	4518030	4522180	-	4520105	1.0	1.0
gene:TraesCS2D03G0007600	Chr2D	2581561	2586301	-	2583931	Chr2D	4539383	4544123	-	4541753	1.0	1.0
gene:TraesCS2D03G0007700	Chr2D	2586427	2592087	+	2589257	Chr2D	4544249	4549909	+	4547079	1.0	1.0
gene:TraesCS2D03G0007800	Chr2D	2603284	2607140	+	2605212	Chr2D	4561115	4564971	+	4563043	1.0	1.0
gene:TraesCS2D03G0007900	Chr2D	2621863	2623404	-	2622633	Chr2D	4579692	4581233	-	4580462	1.0	1.0
gene:TraesCS2D03G0008000	Chr2D	2626556	2626956	-	2626756	Chr2D	4584385	4584785	-	4584585	1.0	1.0
gene:TraesCS2D03G0008100	Chr2D	2648905	2654771	-	2651838	Chr2D	4606737	4612603	-	4609670	1.0	1.0
gene:TraesCS2D03G0008200	Chr2D	2658256	2661803	+	2660029	Chr2D	4616088	4619635	+	4617861	1.0	1.0
gene:TraesCS2D03G0008300	Chr2D	2724182	2725042	+	2724612	Chr2D	4682008	4682868	+	4682438	1.0	1.0
gene:TraesCS2D03G0008700	Chr2D	2752006	2762262	+	2757134	Chr2D	4709829	4720084	+	4714956	1.0	0.999
gene:TraesCS2D03G0008800	Chr2D	2786355	2790275	-	2788315	Chr2D	4744177	4748097	-	4746137	1.0	0.994
gene:TraesCS2D03G0008900	Chr2D	2802388	2806733	-	2804560	Chr2D	4760193	4764538	-	4762365	1.0	1.0
gene:TraesCS2D03G0009200	Chr2D	2859610	2869289	+	2864449	Chr2D	4817464	4827142	+	4822303	1.0	1.0
gene:TraesCS2D03G0009500	Chr2D	2918144	2920257	+	2919200	Chr2D	4875994	4878107	+	4877050	1.0	1.0
gene:TraesCS2D03G0009600	Chr2D	2923559	2927123	+	2925341	Chr2D	4881410	4884974	+	4883192	1.0	1.0
gene:TraesCS2D03G0009900	Chr2D	2982196	2984259	-	2983227	Chr2D	4940065	4942128	-	4941096	1.0	0.999
gene:TraesCS2D03G0010300	Chr2D	2997998	3002398	+	3000198	Chr2D	4955835	4960235	+	4958035	1.0	0.999
gene:TraesCS2D03G0010400	Chr2D	3010267	3011838	-	3011052	Chr2D	4968103	4969674	-	4968888	1.0	1.0
gene:TraesCS2D03G0010500	Chr2D	3016111	3017798	+	3016954	Chr2D	4973947	4975634	+	4974790	1.0	1.0
gene:TraesCS2D03G0010700	Chr2D	3037721	3039448	+	3038584	Chr2D	4995557	4997284	+	4996420	1.0	1.0
gene:TraesCS2D03G0010800	Chr2D	3041119	3041313	+	3041216	Chr2D	4998954	4999148	+	4999051	1.0	1.0
gene:TraesCS2D03G0011000	Chr2D	3054024	3055544	-	3054784	Chr2D	5011859	5013379	-	5012619	1.0	1.0
gene:TraesCS2D03G0011100	Chr2D	3074555	3074998	-	3074776	Chr2D	5025272	5025715	-	5025493	1.0	1.0
gene:TraesCS2D03G0011300	Chr2D	3118810	3119517	+	3119163	Chr2D	5069544	5070251	+	5069897	1.0	1.0
gene:TraesCS2D03G0011400	Chr2D	3126359	3126751	+	3126555	Chr2D	5077089	5077481	+	5077285	1.0	1.0
gene:TraesCS2D03G0011500	Chr2D	3130021	3133870	-	3131945	Chr2D	5080751	5084600	-	5082675	1.0	1.0
gene:TraesCS2D03G0011600	Chr2D	3147424	3149486	-	3148455	Chr2D	5098156	5100218	-	5099187	1.0	1.0
gene:TraesCS2D03G0011700	Chr2D	3193684	3196985	+	3195334	Chr2D	5141947	5145248	+	5143597	1.0	1.0
gene:TraesCS2D03G0011800	Chr2D	3197099	3201360	-	3199229	Chr2D	5145362	5149623	-	5147492	1.0	1.0
gene:TraesCS2D03G0011900	Chr2D	3232730	3235889	+	3234309	Chr2D	5180992	5184151	+	5182571	1.0	1.0
gene:TraesCS2D03G0012200	Chr2D	3369355	3371216	-	3370285	Chr2D	5317603	5319464	-	5318533	1.0	1.0
gene:TraesCS2D03G0012800	Chr2D	3895658	3906170	+	3900914	Chr2D	5852626	5863138	+	5857882	1.0	1.0
gene:TraesCS2D03G0013300	Chr2D	4109808	4114155	-	4111981	Chr2D	6061558	6065905	-	6063731	1.0	0.999
gene:TraesCS2D03G0013800	Chr2D	4166648	4170990	-	4168819	Chr2D	6118399	6122742	-	6120570	1.0	1.0
gene:TraesCS2D03G0013900	Chr2D	4172256	4174273	+	4173264	Chr2D	6124008	6126025	+	6125016	1.0	1.0
gene:TraesCS2D03G0014000	Chr2D	4179944	4184680	+	4182312	Chr2D	6131696	6136431	+	6134063	1.0	1.0
gene:TraesCS2D03G0014100	Chr2D	4243317	4245051	-	4244184	Chr2D	6195085	6196819	-	6195952	1.0	0.999
gene:TraesCS2D03G0014200	Chr2D	4250619	4254195	-	4252407	Chr2D	6202387	6205963	-	6204175	1.0	1.0
gene:TraesCS2D03G0014300	Chr2D	4328200	4329737	+	4328968	Chr2D	6279995	6281532	+	6280763	1.0	1.0
gene:TraesCS2D03G0014700	Chr2D	4492798	4494856	+	4493827	Chr2D	6449916	6451974	+	6450945	1.0	0.999
gene:TraesCS2D03G0015000	Chr2D	4524318	4526340	+	4525329	Chr2D	6480449	6482471	+	6481460	1.0	1.0
gene:TraesCS2D03G0015200	Chr2D	4596216	4598522	-	4597369	Chr2D	6550833	6553139	-	6551986	1.0	1.0
