gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Cadenza_v2_tgt_chr	Cadenza_v2_tgt_start	Cadenza_v2_tgt_end	Cadenza_v2_tgt_strand	Cadenza_v2_tgt_midpoint	Cadenza_v2_coverage	Cadenza_v2_identity	segment
gene:TraesCS4D02G000100	Chr4D	410004	411353	-	410678	Chr4D	229087	230436	-	229761	1.0	1.0	collinear
gene:TraesCS4D02G000200	Chr4D	459757	463413	+	461585	Chr4D	278858	282514	+	280686	1.0	1.0	collinear
gene:TraesCS4D02G000300	Chr4D	463593	465530	-	464561	Chr4D	282694	284631	-	283662	1.0	1.0	collinear
gene:TraesCS4D02G000400	Chr4D	465934	467579	-	466756	Chr4D	285035	286683	-	285859	1.0	1.0	collinear
gene:TraesCS4D02G000500	Chr4D	475405	480227	+	477816	Chr4D	294499	298961	+	296730	1.0	1.0	collinear
gene:TraesCS4D02G000600	Chr4D	536521	548551	+	542536	Chr4D	354598	366628	+	360613	1.0	1.0	collinear
gene:TraesCS4D02G000700	Chr4D	606454	610258	-	608356	Chr4D	421807	425611	-	423709	1.0	1.0	collinear
gene:TraesCS4D02G000800	Chr4D	610570	611973	+	611271	Chr4D	425923	427326	+	426624	1.0	1.0	collinear
gene:TraesCS4D02G000900	Chr4D	613247	618294	-	615770	Chr4D	428600	433646	-	431123	0.999	0.999	collinear
gene:TraesCS4D02G001000	Chr4D	628287	631577	+	629932	Chr4D	442684	445974	+	444329	1.0	1.0	collinear
gene:TraesCS4D02G001100	Chr4D	663250	664073	+	663661	Chr4D	476696	477519	+	477107	1.0	1.0	collinear
gene:TraesCS4D02G001200	Chr4D	738967	739353	+	739160	Chr4D	551164	551550	+	551357	1.0	1.0	collinear
gene:TraesCS4D02G001300	Chr4D	762065	764320	-	763192	Chr4D	573287	575542	-	574414	1.0	1.0	collinear
gene:TraesCS4D02G001400	Chr4D	1184737	1188140	+	1186438	Chr4D	984741	988144	+	986442	1.0	0.999	collinear
gene:TraesCS4D02G001500	Chr4D	1197681	1199853	+	1198767	Chr4D	997373	999545	+	998459	1.0	1.0	collinear
gene:TraesCS4D02G001600	Chr4D	1202412	1204113	-	1203262	Chr4D	1002104	1003807	-	1002955	1.0	1.0	collinear
gene:TraesCS4D02G001700	Chr4D	1205779	1206821	+	1206300	Chr4D	1005473	1006515	+	1005994	1.0	1.0	collinear
gene:TraesCS4D02G001800	Chr4D	1230245	1231918	+	1231081	Chr4D	1029844	1031517	+	1030680	1.0	1.0	collinear
gene:TraesCS4D02G001900	Chr4D	1239483	1240526	+	1240004	Chr4D	1038535	1039578	+	1039056	1.0	1.0	collinear
gene:TraesCS4D02G002000	Chr4D	1241676	1243905	+	1242790	Chr4D	1040728	1042957	+	1041842	1.0	1.0	collinear
gene:TraesCS4D02G002100	Chr4D	1245719	1248662	+	1247190	Chr4D	1044771	1047714	+	1046242	1.0	1.0	collinear
gene:TraesCS4D02G002200	Chr4D	1251438	1251851	-	1251644	Chr4D	1050288	1050701	-	1050494	1.0	1.0	collinear
gene:TraesCS4D02G002300	Chr4D	1286302	1287883	+	1287092	Chr4D	1084683	1086264	+	1085473	1.0	1.0	collinear
gene:TraesCS4D02G002400	Chr4D	1288444	1290808	+	1289626	Chr4D	1086825	1089189	+	1088007	1.0	1.0	collinear
gene:TraesCS4D02G002500	Chr4D	1297963	1301125	+	1299544	Chr4D	1096344	1099506	+	1097925	1.0	1.0	collinear
gene:TraesCS4D02G002600	Chr4D	1310863	1311597	-	1311230	Chr4D	1109305	1110039	-	1109672	1.0	0.998	collinear
gene:TraesCS4D02G002700	Chr4D	1326107	1330167	+	1328137	Chr4D	1123881	1127941	+	1125911	1.0	1.0	collinear
gene:TraesCS4D02G002800	Chr4D	1348408	1352693	-	1350550	Chr4D	1145910	1150199	-	1148054	1.0	1.0	collinear
gene:TraesCS4D02G002900	Chr4D	1364798	1368651	-	1366724	Chr4D	1162033	1165886	-	1163959	1.0	1.0	collinear
gene:TraesCS4D02G003000	Chr4D	1369971	1374666	-	1372318	Chr4D	1167206	1171901	-	1169553	1.0	1.0	collinear
gene:TraesCS4D02G003100	Chr4D	1376523	1381207	-	1378865	Chr4D	1173755	1178439	-	1176097	1.0	1.0	collinear
gene:TraesCS4D02G003200	Chr4D	1382332	1386959	-	1384645	Chr4D	1179564	1183899	-	1181731	1.0	1.0	collinear
gene:TraesCS4D02G003300	Chr4D	1397792	1401504	+	1399648	Chr4D	1194577	1198289	+	1196433	1.0	1.0	collinear
gene:TraesCS4D02G003400	Chr4D	1405006	1407207	-	1406106	Chr4D	1201791	1203992	-	1202891	1.0	1.0	collinear
