gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Norin61_tgt_chr	Norin61_tgt_start	Norin61_tgt_end	Norin61_tgt_strand	Norin61_tgt_midpoint	Norin61_coverage	Norin61_identity	segment
gene:TraesCS6D02G081500	Chr6D	46902130	46903584	+	46902857	Chr6D	61344051	61345505	-	61344778	1.0	1.0	rearrangement:Chr6D_block1
gene:TraesCS6D02G081600	Chr6D	47032289	47042235	+	47037262	Chr6D	61207551	61217169	-	61212360	1.0	1.0	rearrangement:Chr6D_block1
gene:TraesCS6D02G081700	Chr6D	47256719	47261472	+	47259095	Chr6D	60987428	60992181	-	60989804	1.0	1.0	rearrangement:Chr6D_block1
gene:TraesCS6D02G081800	Chr6D	47266110	47267162	-	47266636	Chr6D	60981738	60982790	+	60982264	1.0	1.0	rearrangement:Chr6D_block1
gene:TraesCS6D02G081900	Chr6D	47342801	47347753	-	47345277	Chr6D	60902023	60905537	+	60903780	0.927	0.925	rearrangement:Chr6D_block1
gene:TraesCS6D02G082000	Chr6D	47617604	47618227	+	47617915	Chr6D	60633054	60633677	-	60633365	1.0	1.0	rearrangement:Chr6D_block1
gene:TraesCS6D02G082100	Chr6D	47620247	47632324	-	47626285	Chr6D	60618957	60631034	+	60624995	1.0	1.0	rearrangement:Chr6D_block1
gene:TraesCS6D02G082200	Chr6D	47652439	47659273	-	47655856	Chr6D	60591962	60598796	+	60595379	1.0	1.0	rearrangement:Chr6D_block1
gene:TraesCS6D02G082300	Chr6D	47660442	47668166	-	47664304	Chr6D	60583469	60590793	+	60587131	1.0	0.999	rearrangement:Chr6D_block1
gene:TraesCS6D02G082400	Chr6D	47788610	47792608	+	47790609	Chr6D	60465779	60469777	-	60467778	1.0	0.999	rearrangement:Chr6D_block1
gene:TraesCS6D02G082600	Chr6D	47803181	47806244	-	47804712	Chr6D	60452232	60455295	+	60453763	1.0	1.0	rearrangement:Chr6D_block1
gene:TraesCS6D02G082700	Chr6D	47810554	47811000	-	47810777	Chr6D	60447476	60447922	+	60447699	1.0	1.0	rearrangement:Chr6D_block1
gene:TraesCS6D02G082800	Chr6D	47812318	47812994	+	47812656	Chr6D	60445482	60446158	-	60445820	1.0	1.0	rearrangement:Chr6D_block1
gene:TraesCS6D02G082900	Chr6D	47937604	47944111	+	47940857	Chr6D	60317467	60323974	-	60320720	1.0	1.0	rearrangement:Chr6D_block1
gene:TraesCS6D02G083000	Chr6D	47997865	48001601	+	47999733	Chr6D	60260306	60263855	-	60262080	1.0	0.999	rearrangement:Chr6D_block1
gene:TraesCS6D02G083100	Chr6D	48081623	48084646	+	48083134	Chr6D	60177263	60180286	-	60178774	1.0	1.0	rearrangement:Chr6D_block1
gene:TraesCS6D02G083112	Chr6D	48089421	48090266	+	48089843	Chr6D	60171643	60172488	-	60172065	1.0	1.0	rearrangement:Chr6D_block1
gene:TraesCS6D02G083130	Chr6D	48156333	48157763	+	48157048	Chr6D	60120273	60121703	-	60120988	1.0	1.0	rearrangement:Chr6D_block1
gene:TraesCS6D02G083200	Chr6D	48450446	48454856	+	48452651	Chr6D	59825289	59829699	-	59827494	1.0	1.0	rearrangement:Chr6D_block1
