cs_chr	cs_start	cs_end	Kariega_tgt_chr	Kariega_tgt_start	Kariega_tgt_end	n_anchors	mean_identity
Chr4B	233162	86155240	Chr4B	265197	85837579	812	0.9969261083743842
Chr4B	88370406	155154630	Chr4B	88045239	159301389	391	0.9992736572890024
Chr4B	161318293	164642854	Chr4B	160883443	164416965	6	1.0
Chr4B	167236891	207224234	Chr4B	166987475	207879903	181	0.9991878453038676
Chr4B	212453315	226695727	Chr4B	213038902	227192739	37	0.9993513513513512
Chr4B	236068374	255905796	Chr4B	239565704	260735428	21	0.9998571428571428
Chr4B	258340474	259633738	Chr4B	263171545	264467105	4	1.0
Chr4B	264840064	273673527	Chr4B	269639269	279063399	14	0.9995714285714286
Chr4B	275687277	282555008	Chr4B	281563671	288582569	10	0.9998
Chr4B	285233326	286424153	Chr4B	291254379	292439598	5	0.9994
Chr4B	291502685	291547670	Chr4B	299623138	299667731	4	1.0
Chr4B	294688008	296591676	Chr4B	302768823	304644773	4	1.0
Chr4B	299196258	302476126	Chr4B	307245075	310796430	5	1.0
Chr4B	305087497	316560905	Chr4B	312813338	324253278	32	0.9995
Chr4B	322209821	324516341	Chr4B	330347793	332653903	6	0.9998333333333336
Chr4B	326650034	330229225	Chr4B	334777246	338348297	8	0.99975
Chr4B	332805993	335355652	Chr4B	340820102	343393268	5	0.9998
Chr4B	337825898	351612341	Chr4B	345847941	359527259	21	0.999952380952381
Chr4B	357330117	428374125	Chr4B	376697521	449573703	342	0.9994795321637427
Chr4B	430804721	673727606	Chr4B	451958840	701659528	1850	0.9966670270270268
