cs_chr	cs_start	cs_end	Norin61_tgt_chr	Norin61_tgt_start	Norin61_tgt_end	n_anchors	mean_identity
Chr6B	1357622	109698670	Chr6B	13330	102917427	986	0.994366125760649
Chr6B	112200748	114854793	Chr6B	105418024	108088720	7	0.9998571428571428
Chr6B	118675045	246426312	Chr6B	111442873	238463685	776	0.9968994845360826
Chr6B	249274084	259111612	Chr6B	241233652	250839305	30	0.9998666666666668
Chr6B	261263057	268713242	Chr6B	252981702	260443739	32	0.999875
Chr6B	271066163	271204143	Chr6B	262783573	262921826	6	1.0
Chr6B	275888096	289129738	Chr6B	267593676	280741204	45	0.9998
Chr6B	292829101	299893030	Chr6B	284445724	291605638	25	0.99836
Chr6B	301908638	308701890	Chr6B	293393836	300204081	27	0.9978148148148148
Chr6B	310986731	327439454	Chr6B	302479455	318449273	30	0.9998666666666666
Chr6B	340390557	346252642	Chr6B	332408633	338258280	11	0.998
Chr6B	348550830	349949438	Chr6B	340556372	341941135	5	0.9988
Chr6B	378204009	382218678	Chr6B	367666477	371666768	6	0.9998333333333332
Chr6B	410641112	435164669	Chr6B	399993592	424191867	60	0.9984833333333332
Chr6B	437584110	449326149	Chr6B	426586556	438350002	51	0.9993921568627452
Chr6B	452819490	486984757	Chr6B	441805289	475815090	181	0.9992541436464089
Chr6B	503691318	508155265	Chr6B	491795950	496238790	22	0.999909090909091
Chr6B	524252260	629148387	Chr6B	512880809	616238485	647	0.9988964451313757
Chr6B	631165633	635284956	Chr6B	618362151	622549550	35	0.9990571428571428
Chr6B	638657051	731065543	Chr6B	626106022	714828871	952	0.9931155462184872
