gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Paragon_v3_tgt_chr	Paragon_v3_tgt_start	Paragon_v3_tgt_end	Paragon_v3_tgt_strand	Paragon_v3_tgt_midpoint	Paragon_v3_coverage	Paragon_v3_identity	segment
gene:TraesCS3A03G0000100	Chr3A	26146	30400	+	28273	Chr3A	967112	971348	+	969230	1.0	0.995	collinear
gene:TraesCS3A03G0000200	Chr3A	53676	57493	-	55584	Chr3A	994812	998637	-	996724	1.0	0.993	collinear
gene:TraesCS3A03G0000600	Chr3A	170523	170900	+	170711	Chr3A	1140825	1141202	+	1141013	1.0	0.994	collinear
gene:TraesCS3A03G0002400	Chr3A	721607	725654	-	723630	Chr3A	1656171	1660219	-	1658195	1.0	0.999	collinear
gene:TraesCS3A03G0002600	Chr3A	730535	733253	-	731894	Chr3A	1665018	1667736	-	1666377	1.0	0.998	collinear
gene:TraesCS3A03G0002700	Chr3A	747197	753779	+	750488	Chr3A	1702862	1709370	+	1706116	0.966	0.952	collinear
gene:TraesCS3A03G0002800	Chr3A	762529	765599	+	764064	Chr3A	1714977	1718139	+	1716558	1.0	0.982	collinear
gene:TraesCS3A03G0003000	Chr3A	954676	957962	+	956319	Chr3A	1874274	1877560	+	1875917	1.0	1.0	collinear
gene:TraesCS3A03G0003300	Chr3A	983733	985531	+	984632	Chr3A	1903351	1905149	+	1904250	1.0	0.999	collinear
gene:TraesCS3A03G0003600	Chr3A	1030844	1033134	+	1031989	Chr3A	1950484	1952774	+	1951629	1.0	1.0	collinear
gene:TraesCS3A03G0003900	Chr3A	1064790	1066982	+	1065886	Chr3A	1984427	1986619	+	1985523	1.0	1.0	collinear
gene:TraesCS3A03G0004000	Chr3A	1075288	1077959	+	1076623	Chr3A	1994962	1997633	+	1996297	1.0	1.0	collinear
gene:TraesCS3A03G0004300	Chr3A	1094785	1098146	+	1096465	Chr3A	2014482	2017843	+	2016162	1.0	0.999	collinear
gene:TraesCS3A03G0004600	Chr3A	1117240	1120441	+	1118840	Chr3A	2036598	2039799	+	2038198	1.0	1.0	collinear
gene:TraesCS3A03G0004700	Chr3A	1428190	1428489	-	1428339	Chr3A	2287350	2287649	-	2287499	1.0	1.0	collinear
gene:TraesCS3A03G0005300	Chr3A	1686660	1687091	+	1686875	Chr3A	2478504	2478935	+	2478719	1.0	1.0	collinear
gene:TraesCS3A03G0005500	Chr3A	1712162	1713083	+	1712622	Chr3A	2504003	2504924	+	2504463	1.0	0.998	collinear
gene:TraesCS3A03G0005900	Chr3A	1800445	1803196	-	1801820	Chr3A	2587175	2589927	-	2588551	1.0	1.0	collinear
gene:TraesCS3A03G0006000	Chr3A	1805228	1805714	-	1805471	Chr3A	2591959	2592445	-	2592202	1.0	1.0	collinear
gene:TraesCS3A03G0006600	Chr3A	1861996	1862403	+	1862199	Chr3A	2648731	2649138	+	2648934	1.0	1.0	collinear
gene:TraesCS3A03G0006800	Chr3A	1872412	1874269	+	1873340	Chr3A	2659160	2661017	+	2660088	1.0	1.0	collinear
gene:TraesCS3A03G0007300	Chr3A	1881511	1881988	+	1881749	Chr3A	2668282	2668759	+	2668520	1.0	1.0	collinear
gene:TraesCS3A03G0007400	Chr3A	1888827	1889429	+	1889128	Chr3A	2675573	2676175	+	2675874	1.0	1.0	collinear
gene:TraesCS3A03G0007800	Chr3A	1975660	1976366	+	1976013	Chr3A	2762455	2763161	+	2762808	1.0	1.0	collinear
gene:TraesCS3A03G0007900	Chr3A	1986188	1988425	-	1987306	Chr3A	2772969	2775206	-	2774087	1.0	1.0	collinear
gene:TraesCS3A03G0008000	Chr3A	1993217	1993959	+	1993588	Chr3A	2779996	2780738	+	2780367	1.0	1.0	collinear
gene:TraesCS3A03G0008400	Chr3A	2008922	2012376	+	2010649	Chr3A	2797766	2801221	+	2799493	1.0	0.999	collinear
gene:TraesCS3A03G0008700	Chr3A	2225872	2226467	+	2226169	Chr3A	2947928	2948520	-	2948224	0.993	0.968	collinear
gene:TraesCS3A03G0009000	Chr3A	2524157	2524527	+	2524342	Chr3A	4155588	4155958	+	4155773	1.0	0.963	collinear
gene:TraesCS3A03G0009100	Chr3A	2692803	2693503	+	2693153	Chr3A	4347218	4347920	+	4347569	0.998	0.957	collinear
gene:TraesCS3A03G0009500	Chr3A	2986222	2986840	+	2986531	Chr3A	4391813	4392416	+	4392114	1.0	0.969	collinear
gene:TraesCS3A03G0009600	Chr3A	3003041	3003623	+	3003332	Chr3A	2828943	2829525	+	2829234	1.0	0.973	collinear
gene:TraesCS3A03G0010200	Chr3A	3503928	3504623	+	3504275	Chr3A	3913116	3913809	+	3913462	0.996	0.975	collinear
