gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Chuanmai104_tgt_chr	Chuanmai104_tgt_start	Chuanmai104_tgt_end	Chuanmai104_tgt_strand	Chuanmai104_tgt_midpoint	Chuanmai104_coverage	Chuanmai104_identity
gene:TraesCS2A03G0004500	Chr2A	1228280	1229883	-	1229081	Chr2A	403107	404710	-	403908	1.0	1.0
gene:TraesCS2A03G0005600	Chr2A	1423029	1424057	-	1423543	Chr2A	575507	576544	-	576025	1.0	0.99
gene:TraesCS2A03G0005800	Chr2A	1428836	1440401	-	1434618	Chr2A	581354	592963	-	587158	0.999	0.988
gene:TraesCS2A03G0006300	Chr2A	1665722	1666219	+	1665970	Chr2A	960737	961234	+	960985	1.0	1.0
gene:TraesCS2A03G0006500	Chr2A	1751281	1752992	+	1752136	Chr2A	1063443	1065154	+	1064298	1.0	0.999
gene:TraesCS2A03G0006600	Chr2A	1841287	1843264	+	1842275	Chr2A	1153452	1155429	+	1154440	1.0	1.0
gene:TraesCS2A03G0006700	Chr2A	1848046	1849956	-	1849001	Chr2A	1160223	1162133	-	1161178	1.0	1.0
gene:TraesCS2A03G0006900	Chr2A	1921768	1927033	-	1924400	Chr2A	1233963	1239232	-	1236597	1.0	1.0
gene:TraesCS2A03G0007100	Chr2A	1935100	1941200	+	1938150	Chr2A	1247301	1253403	+	1250352	1.0	1.0
gene:TraesCS2A03G0008000	Chr2A	2289325	2293622	+	2291473	Chr2A	1468798	1473095	+	1470946	1.0	0.999
gene:TraesCS2A03G0008200	Chr2A	2335769	2337055	-	2336412	Chr2A	2405524	2406810	-	2406167	1.0	1.0
gene:TraesCS2A03G0008500	Chr2A	2383732	2387967	+	2385849	Chr2A	2450841	2455076	+	2452958	1.0	0.999
gene:TraesCS2A03G0008600	Chr2A	2393912	2399518	+	2396715	Chr2A	2461021	2466626	+	2463823	1.0	1.0
gene:TraesCS2A03G0008800	Chr2A	2414503	2415411	-	2414957	Chr2A	2481611	2482519	-	2482065	1.0	1.0
gene:TraesCS2A03G0009300	Chr2A	2428724	2429761	+	2429242	Chr2A	2496026	2497063	+	2496544	1.0	0.999
gene:TraesCS2A03G0008900	Chr2A	2418285	2444786	+	2431535	Chr2A	2485393	2512092	+	2498742	1.0	1.0
gene:TraesCS2A03G0009400	Chr2A	2435620	2439903	-	2437761	Chr2A	2502922	2507205	-	2505063	1.0	0.999
gene:TraesCS2A03G0009500	Chr2A	2440261	2441887	+	2441074	Chr2A	2507563	2509193	+	2508378	1.0	0.996
gene:TraesCS2A03G0009600	Chr2A	2465197	2465597	+	2465397	Chr2A	2532254	2532654	+	2532454	1.0	1.0
gene:TraesCS2A03G0009700	Chr2A	2468253	2470255	+	2469254	Chr2A	2535310	2537312	+	2536311	1.0	1.0
