cs_chr	cs_start	cs_end	Julius_tgt_chr	Julius_tgt_start	Julius_tgt_end	n_anchors	mean_identity
Chr5A	14293	654375	Chr5A	5292799	5908014	6	0.9804999999999998
Chr5A	4958101	60528080	Chr5A	6192706	64290296	476	0.9961953781512605
Chr5A	63377052	151734470	Chr5A	67551101	155341611	399	0.9989223057644111
Chr5A	155555039	159534199	Chr5A	159222394	163241781	13	0.9998461538461539
Chr5A	161914114	170848678	Chr5A	165621495	174595226	23	0.9999130434782609
Chr5A	173117926	180994113	Chr5A	176868489	184875858	13	0.999
Chr5A	183430057	185651119	Chr5A	187303097	189512558	4	1.0
Chr5A	191038029	199222973	Chr5A	194874630	203054060	16	0.998875
Chr5A	203479442	222599127	Chr5A	207354539	226602033	33	0.9979090909090909
Chr5A	224689467	237370335	Chr5A	228667632	240737504	28	0.998107142857143
Chr5A	246826194	248536470	Chr5A	248516508	254454419	6	1.0
Chr5A	258775970	388640539	Chr5A	263910481	393677367	635	0.9985496062992125
Chr5A	395001215	399457446	Chr5A	396908104	401401806	55	0.9987272727272727
Chr5A	402540994	423746112	Chr5A	407383425	428867808	111	0.995900900900901
Chr5A	427070310	709675600	Chr5A	429346091	708185705	3220	0.9949596273291925
