gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Kariega_tgt_chr	Kariega_tgt_start	Kariega_tgt_end	Kariega_tgt_strand	Kariega_tgt_midpoint	Kariega_coverage	Kariega_identity	segment
gene:TraesCS5D02G000100	Chr5D	93627	97954	+	95790	Chr5D	1032477	1036810	-	1034643	1.0	1.0	collinear
gene:TraesCS5D02G000200	Chr5D	145361	145693	+	145527	Chr5D	1024686	1025018	-	1024852	1.0	0.972	collinear
gene:TraesCS5D02G005000	Chr5D	3869802	3870474	+	3870138	Chr5D	7488131	7488803	-	7488467	1.0	1.0	collinear
gene:TraesCS5D02G005100	Chr5D	3875414	3875906	+	3875660	Chr5D	7482965	7483457	-	7483211	1.0	1.0	collinear
gene:TraesCS5D02G005200	Chr5D	3927655	3930733	-	3929194	Chr5D	7428767	7431845	+	7430306	1.0	1.0	collinear
gene:TraesCS5D02G005300	Chr5D	4040337	4056481	-	4048409	Chr5D	7305471	7320918	+	7313194	1.0	1.0	collinear
gene:TraesCS5D02G005400	Chr5D	4248045	4260277	-	4254161	Chr5D	7095801	7107724	+	7101762	0.992	0.992	collinear
gene:TraesCS5D02G005416	Chr5D	4263180	4269905	-	4266542	Chr5D	7086302	7092898	+	7089600	0.98	0.966	collinear
gene:TraesCS5D02G005500	Chr5D	4308644	4312615	-	4310629	Chr5D	7044881	7048852	+	7046866	1.0	1.0	collinear
gene:TraesCS5D02G005600	Chr5D	4324446	4339154	+	4331800	Chr5D	7018786	7033494	-	7026140	1.0	1.0	collinear
gene:TraesCS5D02G005700	Chr5D	5098667	5103878	-	5101272	Chr5D	6260395	6265606	+	6263000	1.0	1.0	collinear
gene:TraesCS5D02G005800	Chr5D	5116756	5119168	-	5117962	Chr5D	6245170	6247582	+	6246376	1.0	1.0	collinear
gene:TraesCS5D02G005900	Chr5D	5153833	5164389	-	5159111	Chr5D	6200815	6211282	+	6206048	1.0	1.0	collinear
gene:TraesCS5D02G006000	Chr5D	5170287	5174463	-	5172375	Chr5D	6190741	6194917	+	6192829	1.0	1.0	collinear
gene:TraesCS5D02G006100	Chr5D	5219358	5222946	-	5221152	Chr5D	6155134	6158722	+	6156928	1.0	1.0	collinear
gene:TraesCS5D02G006200	Chr5D	5273740	5276900	-	5275320	Chr5D	6102188	6105348	+	6103768	1.0	1.0	collinear
gene:TraesCS5D02G024000	Chr5D	20210242	20210907	+	20210574	Chr5D	22845246	22845911	+	22845578	1.0	1.0	collinear
gene:TraesCS5D02G024100	Chr5D	20957963	20964900	+	20961431	Chr5D	23594750	23601687	+	23598218	1.0	1.0	collinear
gene:TraesCS5D02G024200	Chr5D	21012481	21016068	+	21014274	Chr5D	23648036	23651623	+	23649829	1.0	1.0	collinear
