gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Chuanmai104_tgt_chr	Chuanmai104_tgt_start	Chuanmai104_tgt_end	Chuanmai104_tgt_strand	Chuanmai104_tgt_midpoint	Chuanmai104_coverage	Chuanmai104_identity
gene:TraesCS4B03G0000300	Chr4B	232361	233964	-	233162	Chr4B	254047	255613	-	254830	0.958	0.922
gene:TraesCS4B03G0000400	Chr4B	234311	235908	-	235109	Chr4B	255960	257557	-	256758	1.0	0.998
gene:TraesCS4B03G0000500	Chr4B	630437	634424	+	632430	Chr4B	656021	659959	+	657990	0.985	0.985
gene:TraesCS4B03G0000600	Chr4B	635301	639416	-	637358	Chr4B	660832	664967	-	662899	1.0	0.991
gene:TraesCS4B03G0000700	Chr4B	689726	690943	+	690334	Chr4B	715288	716502	+	715895	0.985	0.97
gene:TraesCS4B03G0000900	Chr4B	691894	697186	-	694540	Chr4B	717923	723253	-	720588	1.0	0.992
gene:TraesCS4B03G0001100	Chr4B	707693	710911	+	709302	Chr4B	736251	739496	+	737873	0.998	0.984
gene:TraesCS4B03G0001400	Chr4B	754576	755193	+	754884	Chr4B	770676	771305	+	770990	1.0	0.973
gene:TraesCS4B03G0001500	Chr4B	816760	817386	-	817073	Chr4B	820677	821303	-	820990	1.0	0.99
gene:TraesCS4B03G0001700	Chr4B	849504	850496	-	850000	Chr4B	852470	853486	-	852978	1.0	0.974
gene:TraesCS4B03G0001800	Chr4B	871710	872102	+	871906	Chr4B	874324	874713	+	874518	0.992	0.969
gene:TraesCS4B03G0001900	Chr4B	895192	896810	+	896001	Chr4B	897785	899409	+	898597	1.0	0.972
gene:TraesCS4B03G0002000	Chr4B	895341	896708	-	896024	Chr4B	897934	899307	-	898620	1.0	0.967
gene:TraesCS4B03G0002100	Chr4B	902508	905787	+	904147	Chr4B	913494	916775	+	915134	1.0	0.994
gene:TraesCS4B03G0002200	Chr4B	1124957	1126970	+	1125963	Chr4B	1109418	1111383	+	1110400	0.975	0.973
gene:TraesCS4B03G0002400	Chr4B	1138844	1139764	+	1139304	Chr4B	1123252	1124172	+	1123712	1.0	0.996
gene:TraesCS4B03G0002500	Chr4B	1141387	1143114	-	1142250	Chr4B	1125720	1127447	-	1126583	0.999	0.998
gene:TraesCS4B03G0002700	Chr4B	1144783	1145893	+	1145338	Chr4B	1129116	1130288	+	1129702	0.996	0.922
gene:TraesCS4B03G0002900	Chr4B	1291719	1293491	+	1292605	Chr4B	1245574	1247344	+	1246459	0.998	0.997
gene:TraesCS4B03G0003100	Chr4B	1304995	1306038	+	1305516	Chr4B	1258802	1259845	+	1259323	0.997	0.968
gene:TraesCS4B03G0003200	Chr4B	1322700	1324740	+	1323720	Chr4B	1276572	1278510	+	1277541	0.98	0.968
gene:TraesCS4B03G0003300	Chr4B	1336993	1338899	+	1337946	Chr4B	1372278	1374188	+	1373233	1.0	0.994
gene:TraesCS4B03G0003400	Chr4B	1351991	1352386	-	1352188	Chr4B	1378483	1378869	-	1378676	0.977	0.972
gene:TraesCS4B03G0003600	Chr4B	1386123	1388841	+	1387482	Chr4B	1421312	1424034	+	1422673	1.0	0.995
gene:TraesCS4B03G0003700	Chr4B	1405651	1408832	+	1407241	Chr4B	1431094	1434312	+	1432703	0.98	0.925
gene:TraesCS4B03G0003800	Chr4B	1685750	1687075	+	1686412	Chr4B	2045941	2047244	+	2046592	0.969	0.944
