cs_chr	cs_start	cs_end	MOV_tgt_chr	MOV_tgt_start	MOV_tgt_end	n_anchors	mean_identity
Chr3D	10347994	35366221	Chr3D	35332	46118479	415	0.9992698795180724
Chr3D	46019397	116955327	Chr3D	47442814	122050519	596	0.9994077181208052
Chr3D	119094314	145655212	Chr3D	124180544	150674069	160	0.9995625
Chr3D	147725835	194192900	Chr3D	152785737	199770297	262	0.9993358778625956
Chr3D	210223427	214535149	Chr3D	212821926	217137563	9	0.9998888888888888
Chr3D	216957444	220088873	Chr3D	219548627	222660234	6	0.9996666666666668
Chr3D	270385828	288123308	Chr3D	240440447	258166775	62	0.9976612903225806
Chr3D	292248863	299274585	Chr3D	258549262	265552472	37	0.999864864864865
Chr3D	314104899	465588541	Chr3D	270080686	421146900	1246	0.9993210272873194
Chr3D	476193290	492833467	Chr3D	421268506	437883906	153	0.9990130718954248
Chr3D	495347019	566370880	Chr3D	440858248	512081851	801	0.9995642946317104
Chr3D	572853543	586659497	Chr3D	512206267	525886874	201	0.9996766169154228
Chr3D	588934781	604373352	Chr3D	526047166	538781417	214	0.9995327102803738
Chr3D	614030473	619489515	Chr3D	538904492	544320404	91	0.9984395604395604
