gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Sumai3_tgt_chr	Sumai3_tgt_start	Sumai3_tgt_end	Sumai3_tgt_strand	Sumai3_tgt_midpoint	Sumai3_coverage	Sumai3_identity	segment
gene:TraesCS3B03G0001400	Chr3B	424653	427478	-	426065	Chr3B	4252616	4255441	+	4254028	1.0	1.0	collinear
gene:TraesCS3B03G0001500	Chr3B	475201	476475	-	475838	Chr3B	4203614	4204888	+	4204251	1.0	1.0	collinear
gene:TraesCS3B03G0001600	Chr3B	478359	479180	+	478769	Chr3B	4200910	4201731	-	4201320	1.0	0.998	collinear
gene:TraesCS3B03G0001700	Chr3B	491565	493664	-	492614	Chr3B	4185922	4188021	+	4186971	1.0	1.0	collinear
gene:TraesCS3B03G0002300	Chr3B	613726	615867	+	614796	Chr3B	4064200	4066341	-	4065270	1.0	1.0	collinear
gene:TraesCS3B03G0002800	Chr3B	855999	856555	+	856277	Chr3B	3824954	3825510	-	3825232	1.0	1.0	collinear
gene:TraesCS3B03G0003000	Chr3B	859122	864220	-	861671	Chr3B	3817293	3822387	+	3819840	1.0	1.0	collinear
gene:TraesCS3B03G0004000	Chr3B	1309880	1313738	-	1311809	Chr3B	3363512	3367391	+	3365451	1.0	1.0	collinear
gene:TraesCS3B03G0004300	Chr3B	1602640	1607005	+	1604822	Chr3B	3063447	3067814	-	3065630	1.0	1.0	collinear
gene:TraesCS3B03G0004400	Chr3B	1638604	1641896	-	1640250	Chr3B	3029109	3032401	+	3030755	1.0	0.999	collinear
gene:TraesCS3B03G0004600	Chr3B	1708407	1711540	-	1709973	Chr3B	2962165	2965298	+	2963731	1.0	1.0	collinear
gene:TraesCS3B03G0004800	Chr3B	1754066	1758349	-	1756207	Chr3B	2916051	2920334	+	2918192	1.0	1.0	collinear
gene:TraesCS3B03G0004900	Chr3B	1761903	1763502	+	1762702	Chr3B	2910860	2912459	-	2911659	1.0	1.0	collinear
gene:TraesCS3B03G0005100	Chr3B	2229591	2231019	+	2230305	Chr3B	2442065	2443493	-	2442779	1.0	1.0	collinear
gene:TraesCS3B03G0005600	Chr3B	2279997	2282921	-	2281459	Chr3B	2261999	2266188	-	2264093	0.992	0.973	collinear
gene:TraesCS3B03G0005700	Chr3B	2296800	2299629	-	2298214	Chr3B	2298092	2300919	-	2299505	0.998	0.971	collinear
gene:TraesCS3B03G0005800	Chr3B	2305509	2308573	-	2307041	Chr3B	2306342	2309414	-	2307878	1.0	0.964	collinear
gene:TraesCS3B03G0006200	Chr3B	2400732	2403083	-	2401907	Chr3B	2365759	2368096	-	2366927	1.0	0.992	collinear
gene:TraesCS3B03G0006400	Chr3B	2414282	2422889	+	2418585	Chr3B	2374931	2383416	+	2379173	0.995	0.986	collinear
gene:TraesCS3B03G0006500	Chr3B	2431101	2434170	+	2432635	Chr3B	2391240	2394309	+	2392774	1.0	0.995	collinear
gene:TraesCS3B03G0006600	Chr3B	2442622	2445483	+	2444052	Chr3B	2402635	2405491	+	2404063	0.993	0.99	collinear
gene:TraesCS3B03G0006700	Chr3B	2457176	2459341	+	2458258	Chr3B	2418833	2420993	+	2419913	1.0	0.995	collinear
gene:TraesCS3B03G0007000	Chr3B	2478261	2480528	+	2479394	Chr3B	2213884	2216118	-	2215001	0.99	0.96	collinear
gene:TraesCS3B03G0007400	Chr3B	2539959	2542446	+	2541202	Chr3B	2180708	2183159	-	2181933	0.979	0.973	collinear
gene:TraesCS3B03G0007600	Chr3B	2550258	2551285	-	2550771	Chr3B	2171845	2172872	+	2172358	1.0	0.994	collinear
gene:TraesCS3B03G0007800	Chr3B	2560091	2561590	+	2560840	Chr3B	2161564	2163062	-	2162313	0.999	0.996	collinear
gene:TraesCS3B03G0007900	Chr3B	2607986	2611253	+	2609619	Chr3B	2111945	2115212	-	2113578	1.0	1.0	collinear
gene:TraesCS3B03G0008000	Chr3B	2618273	2621910	+	2620091	Chr3B	2101288	2104925	-	2103106	1.0	1.0	collinear
gene:TraesCS3B03G0008200	Chr3B	2625685	2627229	+	2626457	Chr3B	2095969	2097513	-	2096741	1.0	1.0	collinear
gene:TraesCS3B03G0008300	Chr3B	2637952	2639202	+	2638577	Chr3B	2083995	2085245	-	2084620	1.0	1.0	collinear
gene:TraesCS3B03G0008400	Chr3B	2640962	2642991	+	2641976	Chr3B	2080206	2082235	-	2081220	1.0	0.999	collinear
gene:TraesCS3B03G0008500	Chr3B	2644992	2648624	+	2646808	Chr3B	2074573	2078205	-	2076389	1.0	1.0	collinear
gene:TraesCS3B03G0008700	Chr3B	2650047	2654817	+	2652432	Chr3B	2068542	2073312	-	2070927	1.0	1.0	collinear
gene:TraesCS3B03G0008900	Chr3B	3142976	3145283	+	3144129	Chr3B	1655487	1657794	-	1656640	1.0	1.0	collinear
