cs_chr	cs_start	cs_end	Chuanmai104_tgt_chr	Chuanmai104_tgt_start	Chuanmai104_tgt_end	n_anchors	mean_identity
Chr3D	1138485	21019663	Chr3D	6380636	27891914	439	0.9971685649202734
Chr3D	28972582	33389752	Chr3D	39993503	44901377	69	0.9900144927536231
Chr3D	45500604	116955327	Chr3D	57335741	132359239	605	0.9992561983471073
Chr3D	119094314	145655212	Chr3D	134481054	160959544	160	0.9996812500000001
Chr3D	147725835	194192900	Chr3D	163071269	210067819	262	0.9992519083969464
Chr3D	197544325	200969144	Chr3D	213424925	216864462	5	0.9998000000000001
Chr3D	203187169	203224239	Chr3D	219371350	219407403	4	1.0
Chr3D	207531742	214535149	Chr3D	223705131	230694886	11	0.999909090909091
Chr3D	216957444	220088873	Chr3D	233106002	236217632	6	0.9996666666666667
Chr3D	226016244	232933791	Chr3D	242285914	249165458	13	0.9999230769230769
Chr3D	235055553	258632836	Chr3D	253722175	279222216	42	0.9997857142857145
Chr3D	260879965	492833467	Chr3D	281465924	512906329	1670	0.9994041916167665
Chr3D	495347019	619489515	Chr3D	515900343	646345299	1574	0.9965756035578146
