cs_chr	cs_start	cs_end	CS_IAAS_tgt_chr	CS_IAAS_tgt_start	CS_IAAS_tgt_end	n_anchors	mean_identity
Chr3A	16208	128718501	Chr3A	103212	141386334	1423	0.9993548840477863
Chr3A	130835529	181088605	Chr3A	143484998	193863912	220	0.9998545454545456
Chr3A	184214632	251342423	Chr3A	196964210	264965808	205	1.0
Chr3A	259064196	267056348	Chr3A	272607233	280549233	12	0.9983333333333334
Chr3A	269215500	273159995	Chr3A	282706630	286642318	6	1.0
Chr3A	275284207	283103162	Chr3A	288749484	296518452	7	1.0
Chr3A	288539387	293589663	Chr3A	302593046	307619848	6	1.0
Chr3A	295949198	314620161	Chr3A	309949512	328426893	24	1.0
Chr3A	321109384	337881732	Chr3A	337570127	354592434	30	0.9998666666666668
Chr3A	340259729	343231466	Chr3A	357056932	359990932	8	0.996625
Chr3A	345871376	349014829	Chr3A	362625057	365745394	6	1.0
Chr3A	351126951	528599904	Chr3A	367848898	544884147	870	0.9997609195402298
Chr3A	534989814	545153837	Chr3A	545012413	555114144	60	0.9999666666666668
Chr3A	556260652	750741087	Chr3A	562102309	759246732	2191	0.9996439981743497
