cs_chr	cs_start	cs_end	CS_v2.1_tgt_chr	CS_v2.1_tgt_start	CS_v2.1_tgt_end	n_anchors	mean_identity
Chr3B	5583193	6679086	Chr3B	5709404	6805777	43	0.9999767441860465
Chr3B	367678075	369104850	Chr3B	386777911	388195888	14	0.9992857142857143
Chr3B	375173759	376633786	Chr3B	379265781	380724459	4	1.0
Chr3B	4662792	85340142	Chr3B	10987600	97070979	1013	0.9999200394866733
Chr3B	87718232	191189469	Chr3B	99457041	202823600	610	0.9996590163934427
Chr3B	193609697	195100861	Chr3B	205225044	206704475	11	1.0
Chr3B	197792489	207735313	Chr3B	209383926	219278363	90	0.9997777777777779
Chr3B	212297313	215613173	Chr3B	223825022	227125651	13	1.0
Chr3B	219342949	230195021	Chr3B	230843333	241641396	55	0.9999818181818182
Chr3B	235855911	277099960	Chr3B	247259756	288293953	198	0.9999292929292929
Chr3B	283596077	284678121	Chr3B	295003050	296080909	4	0.995
Chr3B	289595308	296187942	Chr3B	301146877	307711148	9	1.0
Chr3B	299132814	317625373	Chr3B	310640808	329207761	24	0.9966666666666667
Chr3B	322293448	338599491	Chr3B	333847811	350060262	24	0.9999583333333334
Chr3B	340796436	355438414	Chr3B	352247049	366914954	26	0.999
Chr3B	358584653	363324584	Chr3B	371069888	375781155	10	1.0
Chr3B	369285062	373875790	Chr3B	382017218	386598184	20	0.9979000000000001
Chr3B	377420901	467052960	Chr3B	388592738	480164325	500	0.999336
Chr3B	469640104	516001137	Chr3B	482733323	529649040	271	0.9992767527675278
Chr3B	518913010	822217332	Chr3B	534144519	843275578	2719	0.9996156675248252
Chr3B	825712161	830611341	Chr3B	843642857	848205253	62	0.9986612903225806
Chr3B	822668680	824392163	Chr3B	850163603	851872904	34	0.9995882352941178
