gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	CS_IAAS_tgt_chr	CS_IAAS_tgt_start	CS_IAAS_tgt_end	CS_IAAS_tgt_strand	CS_IAAS_tgt_midpoint	CS_IAAS_coverage	CS_IAAS_identity	segment
gene:TraesCS7B03G0518000	Chr7B	311558043	311585783	-	311571913	Chr7B	325132043	325159785	-	325145914	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B03G0519000	Chr7B	311593141	311594544	-	311593842	Chr7B	325167149	325168552	-	325167850	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B03G0519500	Chr7B	312737154	312737384	-	312737269	Chr7B	326307758	326307988	-	326307873	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B03G0519800	Chr7B	313702215	313705650	-	313703932	Chr7B	326922739	326926176	-	326924457	1.0	0.999	rearrangement:Chr7B_block1
gene:TraesCS7B03G0520000	Chr7B	313860011	313861552	-	313860781	Chr7B	327080396	327081937	-	327081166	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B03G0520100	Chr7B	314497838	314499270	+	314498554	Chr7B	327711311	327712743	+	327712027	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B03G0520300	Chr7B	314534816	314546797	+	314540806	Chr7B	327748313	327760359	+	327754336	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B03G0520500	Chr7B	314776158	314778541	+	314777349	Chr7B	327988917	327991300	+	327990108	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B03G0521000	Chr7B	316026156	316043559	-	316034857	Chr7B	329234120	329251376	-	329242748	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B03G0522000	Chr7B	316840876	316850199	+	316845537	Chr7B	330041520	330050844	+	330046182	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B03G0522400	Chr7B	317575969	317588485	-	317582227	Chr7B	330776599	330789115	-	330782857	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B03G0522900	Chr7B	318129029	318141157	-	318135093	Chr7B	331325332	331337469	-	331331400	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B03G0523400	Chr7B	318520041	318543409	+	318531725	Chr7B	331715877	331738852	+	331727364	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B03G0523600	Chr7B	318948579	318950355	+	318949467	Chr7B	332142544	332144320	+	332143432	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B03G0524300	Chr7B	319381931	319411592	-	319396761	Chr7B	332574910	332604568	-	332589739	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B03G0525700	Chr7B	319414554	319415687	-	319415120	Chr7B	332607530	332608663	-	332608096	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B03G0526100	Chr7B	319423495	319423917	+	319423706	Chr7B	332616471	332616893	+	332616682	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B03G0526800	Chr7B	321028370	321035929	+	321032149	Chr7B	334218857	334226416	+	334222636	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B03G0527100	Chr7B	321768810	321772649	-	321770729	Chr7B	334954465	334958304	-	334956384	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B03G0528900	Chr7B	324794650	324798929	-	324796789	Chr7B	322410385	322414666	-	322412525	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B03G0529300	Chr7B	325897058	325899504	-	325898281	Chr7B	323412383	323414829	-	323413606	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B03G0529600	Chr7B	326385433	326387956	+	326386694	Chr7B	323895281	323897804	+	323896542	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B03G0530100	Chr7B	326690312	326690605	+	326690458	Chr7B	324200185	324200478	+	324200331	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B03G0531400	Chr7B	326778262	326781046	-	326779654	Chr7B	324288142	324290924	-	324289533	1.0	0.999	rearrangement:Chr7B_block1
gene:TraesCS7B03G0548200	Chr7B	347844125	347850457	+	347847291	Chr7B	375991666	375997999	+	375994832	1.0	1.0	rearrangement:Chr7B_block3
gene:TraesCS7B03G0548300	Chr7B	348168370	348169252	+	348168811	Chr7B	376315382	376316264	+	376315823	1.0	1.0	rearrangement:Chr7B_block3
gene:TraesCS7B03G0548400	Chr7B	348251176	348263130	-	348257153	Chr7B	376398188	376410142	-	376404165	1.0	1.0	rearrangement:Chr7B_block3
gene:TraesCS7B03G0550300	Chr7B	349508115	349515891	+	349512003	Chr7B	377652952	377660728	+	377656840	1.0	1.0	rearrangement:Chr7B_block3
gene:TraesCS7B03G0550600	Chr7B	350194776	350199095	-	350196935	Chr7B	378345893	378350212	-	378348052	1.0	1.0	rearrangement:Chr7B_block3
gene:TraesCS7B03G0545900	Chr7B	343115449	343121328	+	343118388	Chr7B	363115934	363121813	+	363118873	1.0	1.0	rearrangement:Chr7B_block2
gene:TraesCS7B03G0546000	Chr7B	343123362	343127388	-	343125375	Chr7B	363123847	363127873	-	363125860	1.0	1.0	rearrangement:Chr7B_block2
gene:TraesCS7B03G0546200	Chr7B	343154920	343155997	-	343155458	Chr7B	363150812	363151889	-	363151350	1.0	1.0	rearrangement:Chr7B_block2
gene:TraesCS7B03G0546400	Chr7B	343175307	343176122	-	343175714	Chr7B	363171181	363171996	-	363171588	1.0	1.0	rearrangement:Chr7B_block2
