cs_chr	cs_start	cs_end	Landmark_tgt_chr	Landmark_tgt_start	Landmark_tgt_end	n_anchors	mean_identity
Chr7D	21697721	22040126	Chr7D	17623446	17965663	6	0.9993333333333333
Chr7D	210218	277735513	Chr7D	125106	280252380	2626	0.9980784463061689
Chr7D	282874482	285683864	Chr7D	285339438	288174614	5	0.9852000000000001
Chr7D	287902401	307163278	Chr7D	290408882	312632753	40	0.999075
Chr7D	309504249	313709460	Chr7D	314974160	319143137	11	0.9997272727272729
Chr7D	318812712	321972400	Chr7D	321322482	324443269	6	1.0
Chr7D	324339077	340299388	Chr7D	326804222	343101696	19	0.9997894736842107
Chr7D	342405820	638616383	Chr7D	345303980	642295519	2452	0.9983491027732464
Chr7D	573435235	574925174	Chr7D	583921509	585666583	23	0.9896086956521739
Chr7D	580004239	580853789	Chr7D	577948492	578804145	14	0.9931428571428571
