gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Julius_tgt_chr	Julius_tgt_start	Julius_tgt_end	Julius_tgt_strand	Julius_tgt_midpoint	Julius_coverage	Julius_identity	segment
gene:TraesCS2B02G000200	Chr2B	19907	22569	+	21238	Chr2B	6555218	6558228	-	6556723	1.0	0.983	collinear
gene:TraesCS2B02G000300	Chr2B	45037	61255	-	53146	Chr2B	6539571	6550220	+	6544895	0.972	0.965	collinear
gene:TraesCS2B02G000400	Chr2B	63870	65572	+	64721	Chr2B	5096564	5098242	+	5097403	0.977	0.906	collinear
gene:TraesCS2B02G000500	Chr2B	91679	92119	+	91899	Chr2B	6505248	6505688	-	6505468	1.0	1.0	collinear
gene:TraesCS2B02G000800	Chr2B	432358	433095	+	432726	Chr2B	6790721	6791458	+	6791089	1.0	0.991	collinear
gene:TraesCS2B02G000900	Chr2B	447781	453531	-	450656	Chr2B	6807482	6812959	-	6810220	0.999	0.996	collinear
gene:TraesCS2B02G001000	Chr2B	470641	473097	+	471869	Chr2B	6830277	6832733	+	6831505	1.0	0.998	collinear
gene:TraesCS2B02G001100	Chr2B	477194	478878	+	478036	Chr2B	6836832	6838513	+	6837672	0.998	0.994	collinear
gene:TraesCS2B02G001200	Chr2B	632838	633239	+	633038	Chr2B	7024384	7024786	+	7024585	1.0	1.0	collinear
gene:TraesCS2B02G001300	Chr2B	810865	811158	-	811011	Chr2B	7200176	7200469	-	7200322	1.0	1.0	collinear
gene:TraesCS2B02G001600	Chr2B	1248784	1252232	+	1250508	Chr2B	1237565	1241016	-	1239290	0.999	0.985	collinear
gene:TraesCS2B02G002000	Chr2B	1329861	1331574	+	1330717	Chr2B	8767267	8768980	-	8768123	1.0	1.0	collinear
gene:TraesCS2B02G002100	Chr2B	1348871	1362213	+	1355542	Chr2B	8749230	8762032	-	8755631	1.0	1.0	collinear
gene:TraesCS2B02G002600	Chr2B	1600469	1601449	-	1600959	Chr2B	8618848	8619831	+	8619339	1.0	0.968	collinear
gene:TraesCS2B02G002700	Chr2B	1706362	1707167	+	1706764	Chr2B	14352	15157	+	14754	1.0	0.988	collinear
gene:TraesCS2B02G002800	Chr2B	1749669	1750706	+	1750187	Chr2B	64229	65266	+	64747	1.0	0.992	collinear
gene:TraesCS2B02G002900	Chr2B	1752952	1755256	+	1754104	Chr2B	67354	69658	+	68506	1.0	0.997	collinear
gene:TraesCS2B02G003300	Chr2B	1773308	1774960	-	1774134	Chr2B	72443	74093	-	73268	0.998	0.992	collinear
gene:TraesCS2B02G003600	Chr2B	1831881	1833776	+	1832828	Chr2B	81990	83900	-	82945	1.0	0.962	collinear
gene:TraesCS2B02G003900	Chr2B	2107170	2108718	+	2107944	Chr2B	158560	160109	+	159334	1.0	0.994	collinear
gene:TraesCS2B02G004000	Chr2B	2109410	2113388	-	2111399	Chr2B	160801	164788	-	162794	1.0	0.999	collinear
gene:TraesCS2B02G004100	Chr2B	2116046	2116633	+	2116339	Chr2B	658357	658941	-	658649	0.994	0.948	collinear
