gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Cadenza_v2_tgt_chr	Cadenza_v2_tgt_start	Cadenza_v2_tgt_end	Cadenza_v2_tgt_strand	Cadenza_v2_tgt_midpoint	Cadenza_v2_coverage	Cadenza_v2_identity
gene:TraesCS3A03G0000100	Chr3A	26146	30400	+	28273	Chr3A	1057541	1061018	+	1059279	0.996	0.971
gene:TraesCS3A03G0002800	Chr3A	762529	765599	+	764064	Chr3A	1278459	1281924	+	1280191	1.0	0.985
gene:TraesCS3A03G0003000	Chr3A	954676	957962	+	956319	Chr3A	1395651	1398934	+	1397292	0.998	0.996
gene:TraesCS3A03G0003600	Chr3A	1030844	1033134	+	1031989	Chr3A	1423231	1425198	+	1424214	1.0	0.988
gene:TraesCS3A03G0004000	Chr3A	1075288	1077959	+	1076623	Chr3A	1462137	1464793	+	1463465	0.967	0.929
gene:TraesCS3A03G0004600	Chr3A	1117240	1120441	+	1118840	Chr3A	1482748	1486108	+	1484428	1.0	0.984
gene:TraesCS3A03G0004800	Chr3A	1608981	1609485	+	1609233	Chr3A	2101555	2102062	+	2101808	1.0	0.984
gene:TraesCS3A03G0004900	Chr3A	1614046	1614462	+	1614254	Chr3A	2107896	2108312	+	2108104	1.0	1.0
gene:TraesCS3A03G0005000	Chr3A	1668456	1668815	+	1668635	Chr3A	2153517	2153873	+	2153695	0.991	0.991
gene:TraesCS3A03G0005300	Chr3A	1686660	1687091	+	1686875	Chr3A	2170225	2170651	+	2170438	0.981	0.96
gene:TraesCS3A03G0005500	Chr3A	1712162	1713083	+	1712622	Chr3A	2180887	2181808	+	2181347	1.0	0.991
gene:TraesCS3A03G0006000	Chr3A	1805228	1805714	-	1805471	Chr3A	2329318	2329804	-	2329561	1.0	0.993
gene:TraesCS3A03G0006800	Chr3A	1872412	1874269	+	1873340	Chr3A	2465480	2467337	+	2466408	1.0	0.99
gene:TraesCS3A03G0007300	Chr3A	1881511	1881988	+	1881749	Chr3A	2475696	2476173	+	2475934	1.0	0.995
gene:TraesCS3A03G0007400	Chr3A	1888827	1889429	+	1889128	Chr3A	2482144	2482746	+	2482445	1.0	0.993
gene:TraesCS3A03G0007800	Chr3A	1975660	1976366	+	1976013	Chr3A	2661180	2661862	+	2661521	0.966	0.927
gene:TraesCS3A03G0007900	Chr3A	1986188	1988425	-	1987306	Chr3A	2679071	2681314	-	2680192	1.0	0.954
gene:TraesCS3A03G0008000	Chr3A	1993217	1993959	+	1993588	Chr3A	2694874	2695616	+	2695245	0.998	0.989
gene:TraesCS3A03G0008400	Chr3A	2008922	2012376	+	2010649	Chr3A	2701205	2704661	+	2702933	1.0	0.994
gene:TraesCS3A03G0008700	Chr3A	2225872	2226467	+	2226169	Chr3A	2851374	2851966	-	2851670	0.993	0.968
gene:TraesCS3A03G0009000	Chr3A	2524157	2524527	+	2524342	Chr3A	4044949	4045319	+	4045134	1.0	0.963
gene:TraesCS3A03G0009100	Chr3A	2692803	2693503	+	2693153	Chr3A	4236660	4237362	+	4237011	0.998	0.957
gene:TraesCS3A03G0009500	Chr3A	2986222	2986840	+	2986531	Chr3A	4281246	4281849	+	4281547	1.0	0.969
gene:TraesCS3A03G0009600	Chr3A	3003041	3003623	+	3003332	Chr3A	2732380	2732962	+	2732671	1.0	0.973
gene:TraesCS3A03G0010200	Chr3A	3503928	3504623	+	3504275	Chr3A	3802413	3803106	+	3802759	0.996	0.975
gene:TraesCS3A03G0010400	Chr3A	3528309	3528679	+	3528494	Chr3A	4115371	4115741	+	4115556	1.0	0.963
gene:TraesCS3A03G0010900	Chr3A	4550825	4551422	+	4551123	Chr3A	3091023	3091618	-	3091320	0.995	0.981
gene:TraesCS3A03G0012000	Chr3A	6071257	6073396	-	6072326	Chr3A	3205891	3208052	+	3206971	0.974	0.95
gene:TraesCS3A03G0012100	Chr3A	6164579	6164949	+	6164764	Chr3A	3474318	3474688	+	3474503	1.0	0.991
gene:TraesCS3A03G0014100	Chr3A	7195252	7195989	-	7195620	Chr3A	4642199	4642936	-	4642567	1.0	0.982
gene:TraesCS3A03G0014200	Chr3A	7201106	7201878	-	7201492	Chr3A	4651787	4652567	-	4652177	1.0	0.98
gene:TraesCS3A03G0014600	Chr3A	7271218	7272481	-	7271849	Chr3A	4688296	4689559	-	4688927	1.0	0.993
