gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Sumai3_tgt_chr	Sumai3_tgt_start	Sumai3_tgt_end	Sumai3_tgt_strand	Sumai3_tgt_midpoint	Sumai3_coverage	Sumai3_identity
gene:TraesCS5A03G0000100	Chr5A	10126	18461	-	14293	Chr5A	17149	25484	-	21316	1.0	1.0
gene:TraesCS5A03G0000200	Chr5A	20226	23967	+	22096	Chr5A	27415	31156	+	29285	1.0	1.0
gene:TraesCS5A03G0000400	Chr5A	215597	216821	+	216209	Chr5A	232147	233371	+	232759	1.0	1.0
gene:TraesCS5A03G0000600	Chr5A	292020	292347	-	292183	Chr5A	308737	309060	-	308898	0.987	0.978
gene:TraesCS5A03G0000800	Chr5A	622810	628759	+	625784	Chr5A	638097	644046	+	641071	1.0	0.999
gene:TraesCS5A03G0000900	Chr5A	628951	630466	+	629708	Chr5A	644238	645749	+	644993	0.997	0.997
gene:TraesCS5A03G0001000	Chr5A	637855	638799	+	638327	Chr5A	653146	654090	+	653618	1.0	1.0
gene:TraesCS5A03G0001300	Chr5A	1542470	1544254	+	1543362	Chr5A	3414457	3416241	+	3415349	1.0	1.0
gene:TraesCS5A03G0001500	Chr5A	1684670	1685023	+	1684846	Chr5A	3556257	3556610	+	3556433	1.0	1.0
gene:TraesCS5A03G0001700	Chr5A	1703882	1707094	-	1705488	Chr5A	3575491	3578703	-	3577097	1.0	1.0
gene:TraesCS5A03G0001900	Chr5A	1955095	1955460	-	1955277	Chr5A	3825755	3826120	-	3825937	1.0	1.0
gene:TraesCS5A03G0002000	Chr5A	2041391	2042111	-	2041751	Chr5A	3911425	3912145	-	3911785	1.0	1.0
gene:TraesCS5A03G0002100	Chr5A	2042895	2043377	+	2043136	Chr5A	3912929	3913411	+	3913170	1.0	1.0
gene:TraesCS5A03G0002500	Chr5A	2059447	2067895	+	2063671	Chr5A	3929200	3937648	+	3933424	1.0	1.0
gene:TraesCS5A03G0002700	Chr5A	2068880	2071814	+	2070347	Chr5A	3938633	3941567	+	3940100	1.0	1.0
gene:TraesCS5A03G0002900	Chr5A	2082542	2082888	+	2082715	Chr5A	3952297	3952643	+	3952470	1.0	1.0
gene:TraesCS5A03G0003200	Chr5A	2225824	2226003	+	2225913	Chr5A	4063094	4063273	+	4063183	1.0	1.0
gene:TraesCS5A03G0003300	Chr5A	2269703	2270692	-	2270197	Chr5A	4106865	4107854	-	4107359	1.0	1.0
gene:TraesCS5A03G0004000	Chr5A	2741825	2743021	-	2742423	Chr5A	4574885	4576081	-	4575483	1.0	1.0
gene:TraesCS5A03G0004500	Chr5A	2854750	2859673	-	2857211	Chr5A	4686760	4691676	-	4689218	1.0	1.0
gene:TraesCS5A03G0004900	Chr5A	2989002	2993252	-	2991127	Chr5A	4821672	4825921	-	4823796	1.0	1.0
gene:TraesCS5A03G0005200	Chr5A	3010374	3014596	+	3012485	Chr5A	4842998	4847220	+	4845109	1.0	1.0
gene:TraesCS5A03G0005300	Chr5A	3015603	3020596	+	3018099	Chr5A	4848227	4853220	+	4850723	1.0	1.0
gene:TraesCS5A03G0005400	Chr5A	3027435	3033237	-	3030336	Chr5A	4860058	4865860	-	4862959	1.0	1.0
gene:TraesCS5A03G0005500	Chr5A	3081377	3084416	-	3082896	Chr5A	4912358	4915397	-	4913877	1.0	1.0
gene:TraesCS5A03G0006300	Chr5A	3306994	3308561	-	3307777	Chr5A	5136546	5138113	-	5137329	1.0	0.999
gene:TraesCS5A03G0006400	Chr5A	3312509	3313435	+	3312972	Chr5A	5142061	5142987	+	5142524	1.0	1.0
gene:TraesCS5A03G0006600	Chr5A	3318157	3321929	-	3320043	Chr5A	5153239	5157025	-	5155132	0.991	0.972
gene:TraesCS5A03G0006700	Chr5A	3323908	3324402	+	3324155	Chr5A	5158994	5159488	+	5159241	1.0	0.997
gene:TraesCS5A03G0006800	Chr5A	3330540	3332847	+	3331693	Chr5A	5162918	5165221	+	5164069	1.0	0.998
gene:TraesCS5A03G0007000	Chr5A	3335666	3337315	-	3336490	Chr5A	5168029	5169665	-	5168847	0.992	0.986
gene:TraesCS5A03G0007500	Chr5A	3522415	3524184	-	3523299	Chr5A	5208076	5209843	-	5208959	0.998	0.988
gene:TraesCS5A03G0007700	Chr5A	3551523	3556494	-	3554008	Chr5A	5236063	5241034	-	5238548	1.0	1.0
gene:TraesCS5A03G0007900	Chr5A	3632961	3634579	+	3633770	Chr5A	5317500	5319118	+	5318309	1.0	1.0
gene:TraesCS5A03G0008000	Chr5A	3769384	3773677	+	3771530	Chr5A	5453954	5458247	+	5456100	1.0	1.0
gene:TraesCS5A03G0008100	Chr5A	3774296	3777820	-	3776058	Chr5A	5458866	5462403	-	5460634	1.0	1.0
gene:TraesCS5A03G0008300	Chr5A	3796488	3802877	-	3799682	Chr5A	5481076	5487418	-	5484247	0.986	0.985
gene:TraesCS5A03G0008600	Chr5A	3869700	3875455	-	3872577	Chr5A	5546017	5551805	-	5548911	1.0	0.999
gene:TraesCS5A03G0008900	Chr5A	3992185	3995626	+	3993905	Chr5A	5733085	5736532	+	5734808	1.0	0.997
gene:TraesCS5A03G0009200	Chr5A	4072714	4080157	+	4076435	Chr5A	5813645	5821085	+	5817365	1.0	1.0
gene:TraesCS5A03G0009300	Chr5A	4081207	4083626	+	4082416	Chr5A	5822137	5824552	+	5823344	1.0	1.0
gene:TraesCS5A03G0009400	Chr5A	4100653	4103564	-	4102108	Chr5A	5841597	5844506	-	5843051	1.0	1.0
gene:TraesCS5A03G0009500	Chr5A	4120412	4124180	-	4122296	Chr5A	5861357	5865125	-	5863241	1.0	1.0
gene:TraesCS5A03G0009700	Chr5A	4186460	4199135	+	4192797	Chr5A	5953909	5966584	+	5960246	1.0	1.0
gene:TraesCS5A03G0009900	Chr5A	4216771	4219824	+	4218297	Chr5A	5984219	5987272	+	5985745	1.0	1.0
gene:TraesCS5A03G0010100	Chr5A	4264649	4265629	-	4265139	Chr5A	6032142	6033122	-	6032632	1.0	0.998
gene:TraesCS5A03G0010300	Chr5A	4274826	4278699	-	4276762	Chr5A	6042319	6046257	-	6044288	1.0	0.971
gene:TraesCS5A03G0010400	Chr5A	4289135	4289901	+	4289518	Chr5A	6056693	6057459	+	6057076	1.0	1.0
gene:TraesCS5A03G0010500	Chr5A	4295044	4309997	+	4302520	Chr5A	6062602	6077572	+	6070087	1.0	1.0
gene:TraesCS5A03G0010600	Chr5A	4314200	4318047	-	4316123	Chr5A	6096696	6100564	-	6098630	1.0	0.993
gene:TraesCS5A03G0010800	Chr5A	4324864	4327830	-	4326347	Chr5A	6109383	6112349	-	6110866	1.0	1.0
gene:TraesCS5A03G0010900	Chr5A	4334824	4335825	-	4335324	Chr5A	6119343	6120344	-	6119843	1.0	1.0
gene:TraesCS5A03G0011000	Chr5A	4338873	4349382	+	4344127	Chr5A	6123402	6133911	+	6128656	1.0	1.0
gene:TraesCS5A03G0011200	Chr5A	4407568	4419230	+	4413399	Chr5A	6192099	6203761	+	6197930	1.0	1.0
gene:TraesCS5A03G0011300	Chr5A	4421557	4424972	+	4423264	Chr5A	6206088	6209503	+	6207795	1.0	1.0
gene:TraesCS5A03G0011400	Chr5A	4427274	4431603	+	4429438	Chr5A	6211607	6215936	+	6213771	1.0	1.0
gene:TraesCS5A03G0011500	Chr5A	4458508	4461918	+	4460213	Chr5A	6242845	6246255	+	6244550	1.0	1.0
gene:TraesCS5A03G0012100	Chr5A	4601170	4603965	+	4602567	Chr5A	6378281	6381074	+	6379677	0.997	0.991
gene:TraesCS5A03G0013100	Chr5A	4904676	4905811	+	4905243	Chr5A	6611785	6612920	+	6612352	1.0	1.0
gene:TraesCS5A03G0013200	Chr5A	4919883	4925344	+	4922613	Chr5A	6626992	6632453	+	6629722	1.0	1.0
gene:TraesCS5A03G0013300	Chr5A	4930158	4933157	-	4931657	Chr5A	6637265	6640264	-	6638764	1.0	1.0
