cs_chr	cs_start	cs_end	Mace_tgt_chr	Mace_tgt_start	Mace_tgt_end	n_anchors	mean_identity
Chr4A	82701	52611541	Chr4A	484719	52054608	558	0.9959677419354839
Chr4A	58111127	63012222	Chr4A	57349155	62339679	47	0.9948936170212765
Chr4A	70810849	75466580	Chr4A	69970603	74629621	37	0.9933513513513513
Chr4A	81276884	130504034	Chr4A	80509739	129164623	285	0.9965508771929824
Chr4A	132701921	192628546	Chr4A	131353618	190947523	262	0.9992022900763357
Chr4A	195313531	220022826	Chr4A	193612156	218131428	45	0.9979999999999999
Chr4A	222107768	222562036	Chr4A	220205370	220650893	3	1.0
Chr4A	225313869	227091476	Chr4A	223358905	225118515	4	0.99975
Chr4A	229493172	242884659	Chr4A	227626719	240931324	21	0.9997619047619049
Chr4A	329170186	334268011	Chr4A	324222215	329425552	6	1.0
Chr4A	338745706	350244063	Chr4A	333323064	344609045	23	0.9997826086956522
Chr4A	352270324	353874280	Chr4A	346723214	348319878	4	1.0
Chr4A	356554191	359638234	Chr4A	350976054	354040677	6	1.0
Chr4A	362089683	365639149	Chr4A	356475988	359983691	5	0.9892
Chr4A	373805571	387104269	Chr4A	368427715	381546523	15	0.9996666666666667
Chr4A	389242085	390892975	Chr4A	383673178	385297848	3	1.0
Chr4A	395027325	398506001	Chr4A	389348288	392750574	6	1.0
Chr4A	400757887	401303656	Chr4A	394984204	395536093	3	0.999
Chr4A	407610912	420517232	Chr4A	401768772	414704540	17	0.9997058823529412
Chr4A	422761993	508494353	Chr4A	416902000	501461217	410	0.997960975609756
Chr4A	510639254	641610833	Chr4A	503576362	632425121	1454	0.9969642365887208
Chr4A	662457527	667380784	Chr4A	651124455	656754390	50	0.9943000000000001
Chr4A	686530004	722415323	Chr4A	676479098	715460600	313	0.9932939297124599
Chr4A	726418885	726719216	Chr4A	719096029	719348572	6	0.9580000000000001
Chr4A	735319625	744537908	Chr4A	728050455	737112110	149	0.9879261744966441
