gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Kariega_tgt_chr	Kariega_tgt_start	Kariega_tgt_end	Kariega_tgt_strand	Kariega_tgt_midpoint	Kariega_coverage	Kariega_identity	segment
gene:TraesCS5D03G0000300	Chr5D	295745	301549	-	298647	Chr5D	565243	571043	-	568143	0.997	0.993	rearrangement:Chr5D_block1
gene:TraesCS5D03G0000400	Chr5D	306801	310996	+	308898	Chr5D	576295	580490	+	578392	1.0	0.999	rearrangement:Chr5D_block1
gene:TraesCS5D03G0000500	Chr5D	475881	477308	+	476594	Chr5D	744285	745712	+	744998	1.0	1.0	rearrangement:Chr5D_block1
gene:TraesCS5D03G0000900	Chr5D	716462	716794	-	716628	Chr5D	772602	772934	-	772768	1.0	1.0	rearrangement:Chr5D_block1
gene:TraesCS5D03G0001100	Chr5D	763156	767483	-	765319	Chr5D	1032477	1036810	-	1034643	1.0	1.0	rearrangement:Chr5D_block1
gene:TraesCS5D03G0001300	Chr5D	929486	932500	+	930993	Chr5D	1198946	1201960	+	1200453	1.0	1.0	rearrangement:Chr5D_block1
gene:TraesCS5D03G0001500	Chr5D	932731	938642	-	935686	Chr5D	1202191	1208102	-	1205146	1.0	1.0	rearrangement:Chr5D_block1
gene:TraesCS5D03G0001700	Chr5D	1529495	1530538	+	1530016	Chr5D	1796580	1797623	+	1797101	1.0	1.0	rearrangement:Chr5D_block1
gene:TraesCS5D03G0001900	Chr5D	1537103	1539147	-	1538125	Chr5D	1804188	1806232	-	1805210	1.0	0.992	rearrangement:Chr5D_block1
gene:TraesCS5D03G0002100	Chr5D	1605131	1610309	+	1607720	Chr5D	1872224	1877402	+	1874813	1.0	1.0	rearrangement:Chr5D_block1
gene:TraesCS5D03G0002300	Chr5D	1705168	1712206	-	1708687	Chr5D	1972043	1979081	-	1975562	1.0	1.0	rearrangement:Chr5D_block1
gene:TraesCS5D03G0002500	Chr5D	1803394	1806327	+	1804860	Chr5D	2070433	2073366	+	2071899	1.0	1.0	rearrangement:Chr5D_block1
gene:TraesCS5D03G0002700	Chr5D	1866423	1868501	+	1867462	Chr5D	2133470	2135171	+	2134320	1.0	1.0	rearrangement:Chr5D_block1
gene:TraesCS5D03G0002900	Chr5D	1887729	1890428	-	1889078	Chr5D	2153697	2156396	-	2155046	1.0	1.0	rearrangement:Chr5D_block1
gene:TraesCS5D03G0003000	Chr5D	2120086	2120451	-	2120268	Chr5D	2385976	2386341	-	2386158	1.0	1.0	rearrangement:Chr5D_block1
gene:TraesCS5D03G0003100	Chr5D	2121153	2121944	+	2121548	Chr5D	2387043	2387834	+	2387438	1.0	1.0	rearrangement:Chr5D_block1
gene:TraesCS5D03G0003200	Chr5D	2135387	2142134	+	2138760	Chr5D	2401292	2408039	+	2404665	1.0	1.0	rearrangement:Chr5D_block1
gene:TraesCS5D03G0003400	Chr5D	2251213	2252857	-	2252035	Chr5D	2517191	2518835	-	2518013	1.0	1.0	rearrangement:Chr5D_block1
gene:TraesCS5D03G0003500	Chr5D	2286363	2288714	+	2287538	Chr5D	2552361	2554714	+	2553537	1.0	1.0	rearrangement:Chr5D_block1
gene:TraesCS5D03G0003600	Chr5D	2291637	2302490	+	2297063	Chr5D	2557636	2568506	+	2563071	1.0	0.995	rearrangement:Chr5D_block1
gene:TraesCS5D03G0003700	Chr5D	2517220	2518242	-	2517731	Chr5D	2781348	2782370	-	2781859	1.0	0.999	rearrangement:Chr5D_block1
gene:TraesCS5D03G0004700	Chr5D	2665098	2671307	+	2668202	Chr5D	2927116	2933325	+	2930220	1.0	1.0	rearrangement:Chr5D_block1
gene:TraesCS5D03G0004800	Chr5D	2672766	2677982	-	2675374	Chr5D	2934784	2939984	-	2937384	0.991	0.987	rearrangement:Chr5D_block1
gene:TraesCS5D03G0004900	Chr5D	2679349	2683430	-	2681389	Chr5D	2941351	2945432	-	2943391	1.0	1.0	rearrangement:Chr5D_block1
gene:TraesCS5D03G0005100	Chr5D	2688714	2693084	+	2690899	Chr5D	2950716	2955086	+	2952901	1.0	1.0	rearrangement:Chr5D_block1
gene:TraesCS5D03G0005200	Chr5D	2696120	2701036	+	2698578	Chr5D	2958124	2963040	+	2960582	1.0	1.0	rearrangement:Chr5D_block1
