cs_chr	cs_start	cs_end	JIN50_tgt_chr	JIN50_tgt_start	JIN50_tgt_end	n_anchors	mean_identity
Chr1B	15658164	20060460	Chr1B	589908	4352263	62	0.9919677419354838
Chr1B	30395529	30881192	Chr1B	26086916	26586728	10	0.9988000000000001
Chr1B	170911	15579139	Chr1B	4584369	20053292	229	0.9910131004366812
Chr1B	20168099	29492353	Chr1B	20739255	32360564	79	0.9905189873417722
Chr1B	31968785	76138867	Chr1B	33276066	79635422	321	0.9947694704049843
Chr1B	80709308	85441230	Chr1B	88123213	92829965	17	0.9997647058823531
Chr1B	87732453	207269331	Chr1B	95115484	217007376	559	0.9979194991055456
Chr1B	212411798	218433567	Chr1B	222147142	227597740	15	0.9996000000000002
Chr1B	250417821	256912845	Chr1B	259740838	266324571	11	0.9991818181818182
Chr1B	307004229	309488673	Chr1B	321999508	324497341	12	0.99575
Chr1B	322108938	682025360	Chr1B	336653684	699493199	2736	0.9949875730994152
Chr1B	686756472	689555842	Chr1B	708873304	712970191	29	0.9862413793103448
Chr1B	683265033	684216222	Chr1B	707612517	708589674	15	0.9991333333333333
Chr1B	685364395	685825101	Chr1B	713220728	713677910	12	0.9945833333333333
