gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Spelt_tgt_chr	Spelt_tgt_start	Spelt_tgt_end	Spelt_tgt_strand	Spelt_tgt_midpoint	Spelt_coverage	Spelt_identity	segment
gene:TraesCS7B03G0528900	Chr7B	324794650	324798929	-	324796789	Chr7B	303822866	303827149	-	303825007	1.0	0.996	rearrangement:Chr7B_block1
gene:TraesCS7B03G0529300	Chr7B	325897058	325899504	-	325898281	Chr7B	304181935	304184381	-	304183158	1.0	0.993	rearrangement:Chr7B_block1
gene:TraesCS7B03G0529600	Chr7B	326385433	326387956	+	326386694	Chr7B	304851659	304854184	+	304852921	1.0	0.995	rearrangement:Chr7B_block1
gene:TraesCS7B03G0530100	Chr7B	326690312	326690605	+	326690458	Chr7B	305185012	305185305	+	305185158	1.0	0.996	rearrangement:Chr7B_block1
gene:TraesCS7B03G0531400	Chr7B	326778262	326781046	-	326779654	Chr7B	305251396	305254177	-	305252786	1.0	0.997	rearrangement:Chr7B_block1
gene:TraesCS7B03G0000100	Chr7B	32670	36534	-	34602	Chr7B	59250	63105	-	61177	0.995	0.985	collinear
gene:TraesCS7B03G0000200	Chr7B	43049	50894	-	46971	Chr7B	69426	77299	-	73362	0.989	0.981	collinear
gene:TraesCS7B03G0001000	Chr7B	112378	114411	+	113394	Chr7B	178710	180750	+	179730	0.994	0.982	collinear
gene:TraesCS7B03G0001100	Chr7B	114526	119198	-	116862	Chr7B	180865	185520	-	183192	1.0	0.995	collinear
gene:TraesCS7B03G0001200	Chr7B	120206	121471	+	120838	Chr7B	186510	187774	+	187142	0.999	0.992	collinear
gene:TraesCS7B03G0001400	Chr7B	220254	222718	+	221486	Chr7B	287228	289354	+	288291	1.0	0.995	collinear
gene:TraesCS7B03G0001700	Chr7B	226968	228067	+	227517	Chr7B	293578	294734	+	294156	0.999	0.938	collinear
gene:TraesCS7B03G0001800	Chr7B	228482	229120	+	228801	Chr7B	295209	295862	+	295535	1.0	0.974	collinear
gene:TraesCS7B03G0002000	Chr7B	255136	257184	+	256160	Chr7B	322218	324113	+	323165	0.918	0.903	collinear
gene:TraesCS7B03G0002100	Chr7B	259041	260824	+	259932	Chr7B	326011	327790	+	326900	1.0	0.997	collinear
gene:TraesCS7B03G0002200	Chr7B	261777	263347	+	262562	Chr7B	328761	330331	+	329546	1.0	0.999	collinear
gene:TraesCS7B03G0002400	Chr7B	265308	267721	-	266514	Chr7B	333607	336027	-	334817	1.0	0.995	collinear
gene:TraesCS7B03G0002500	Chr7B	285039	290255	+	287647	Chr7B	346211	351421	+	348816	0.998	0.997	collinear
gene:TraesCS7B03G0002600	Chr7B	419319	423404	+	421361	Chr7B	480132	484207	+	482169	0.997	0.996	collinear
gene:TraesCS7B03G0002900	Chr7B	423793	429194	-	426493	Chr7B	484596	490027	-	487311	1.0	0.99	collinear
gene:TraesCS7B03G0003100	Chr7B	600800	604303	+	602551	Chr7B	635211	638699	+	636955	0.978	0.958	collinear
gene:TraesCS7B03G0003300	Chr7B	637875	639698	+	638786	Chr7B	686328	688110	+	687219	0.976	0.971	collinear
gene:TraesCS7B03G0003800	Chr7B	778870	779724	-	779297	Chr7B	715808	716662	-	716235	1.0	0.976	collinear
gene:TraesCS7B03G0004600	Chr7B	844925	847126	+	846025	Chr7B	981738	983821	+	982779	0.945	0.943	collinear
gene:TraesCS7B03G0004700	Chr7B	900491	909163	-	904827	Chr7B	1019925	1024152	-	1022038	0.988	0.914	collinear
gene:TraesCS7B03G0005100	Chr7B	1038544	1039671	+	1039107	Chr7B	1176100	1177227	+	1176663	1.0	0.991	collinear
gene:TraesCS7B03G0005700	Chr7B	1213141	1218986	-	1216063	Chr7B	1180573	1186379	-	1183476	0.984	0.976	collinear
gene:TraesCS7B03G0006000	Chr7B	1264151	1272041	-	1268096	Chr7B	1231550	1239502	-	1235526	0.987	0.984	collinear
gene:TraesCS7B03G0006300	Chr7B	1279040	1286019	-	1282529	Chr7B	1246354	1253346	-	1249850	1.0	0.991	collinear
gene:TraesCS7B03G0006400	Chr7B	1286695	1293028	-	1289861	Chr7B	1254022	1260355	-	1257188	1.0	1.0	collinear
gene:TraesCS7B03G0007200	Chr7B	1360503	1361234	+	1360868	Chr7B	1284824	1285549	+	1285186	0.991	0.949	collinear
gene:TraesCS7B03G0007400	Chr7B	1373321	1373710	+	1373515	Chr7B	1297686	1298075	+	1297880	1.0	1.0	collinear
gene:TraesCS7B03G0008000	Chr7B	1436165	1437258	+	1436711	Chr7B	1366945	1368034	+	1367489	0.996	0.967	collinear
gene:TraesCS7B03G0008100	Chr7B	1480605	1481773	+	1481189	Chr7B	1387061	1388229	+	1387645	1.0	0.997	collinear
gene:TraesCS7B03G0008600	Chr7B	1693992	1694231	+	1694111	Chr7B	1600750	1600989	+	1600869	1.0	1.0	collinear
gene:TraesCS7B03G0010400	Chr7B	2097129	2100452	+	2098790	Chr7B	1945630	1948928	+	1947279	1.0	0.993	collinear
gene:TraesCS7B03G0010500	Chr7B	2662842	2663519	-	2663180	Chr7B	2318594	2319268	-	2318931	0.989	0.934	collinear
gene:TraesCS7B03G0010700	Chr7B	2668551	2670096	+	2669323	Chr7B	2499863	2501385	+	2500624	0.977	0.924	collinear
gene:TraesCS7B03G0011300	Chr7B	2894770	2896423	-	2895596	Chr7B	2757372	2759025	-	2758198	1.0	0.984	collinear
gene:TraesCS7B03G0011700	Chr7B	3081146	3082585	+	3081865	Chr7B	2943685	2945124	+	2944404	1.0	1.0	collinear
gene:TraesCS7B03G0011800	Chr7B	3116205	3118160	+	3117182	Chr7B	2978606	2980561	+	2979583	1.0	1.0	collinear
gene:TraesCS7B03G0011900	Chr7B	3118757	3122830	-	3120793	Chr7B	2981158	2985205	-	2983181	1.0	1.0	collinear
gene:TraesCS7B03G0012000	Chr7B	3221369	3227272	-	3224320	Chr7B	3085538	3091443	-	3088490	1.0	1.0	collinear
gene:TraesCS7B03G0012200	Chr7B	3242585	3251280	-	3246932	Chr7B	3106731	3115426	-	3111078	1.0	1.0	collinear
gene:TraesCS7B03G0012600	Chr7B	3264575	3273390	+	3268982	Chr7B	3128988	3137727	+	3133357	0.967	0.967	collinear
gene:TraesCS7B03G0012700	Chr7B	3275744	3280289	-	3278016	Chr7B	3140078	3144624	-	3142351	1.0	1.0	collinear
gene:TraesCS7B03G0013100	Chr7B	3425640	3425927	-	3425783	Chr7B	3289556	3289843	-	3289699	1.0	1.0	collinear
gene:TraesCS7B03G0013300	Chr7B	3473390	3482107	-	3477748	Chr7B	3337112	3345829	-	3341470	1.0	1.0	collinear
gene:TraesCS7B03G0013400	Chr7B	3502025	3506191	+	3504108	Chr7B	3365479	3369645	+	3367562	1.0	1.0	collinear
gene:TraesCS7B03G0013500	Chr7B	3510580	3514839	-	3512709	Chr7B	3374034	3378293	-	3376163	1.0	1.0	collinear
gene:TraesCS7B03G0013600	Chr7B	3660476	3664218	+	3662347	Chr7B	3523355	3527108	+	3525231	1.0	0.991	collinear
gene:TraesCS7B03G0013900	Chr7B	3671994	3673638	-	3672816	Chr7B	3534851	3536495	-	3535673	1.0	0.999	collinear
gene:TraesCS7B03G0014000	Chr7B	3694071	3695816	+	3694943	Chr7B	3557109	3558854	+	3557981	1.0	0.999	collinear
gene:TraesCS7B03G0014800	Chr7B	3869795	3871434	+	3870614	Chr7B	3734072	3735711	+	3734891	1.0	1.0	collinear
gene:TraesCS7B03G0014900	Chr7B	4012469	4017710	+	4015089	Chr7B	3877147	3882388	+	3879767	1.0	1.0	collinear
gene:TraesCS7B03G0015100	Chr7B	4023337	4024742	-	4024039	Chr7B	3888036	3889429	-	3888732	0.99	0.988	collinear
gene:TraesCS7B03G0015200	Chr7B	4028025	4030069	-	4029047	Chr7B	3892751	3894961	-	3893856	1.0	0.996	collinear
gene:TraesCS7B03G0016300	Chr7B	4116994	4122172	+	4119583	Chr7B	3981975	3987153	+	3984564	1.0	1.0	collinear
gene:TraesCS7B03G0016400	Chr7B	4122371	4124879	-	4123625	Chr7B	3987352	3989860	-	3988606	1.0	1.0	collinear
gene:TraesCS7B03G0016600	Chr7B	4173687	4176282	+	4174984	Chr7B	4038831	4041426	+	4040128	1.0	0.998	collinear
gene:TraesCS7B03G0017000	Chr7B	4217034	4218371	+	4217702	Chr7B	4075362	4076699	+	4076030	1.0	1.0	collinear
gene:TraesCS7B03G0017200	Chr7B	4228698	4230727	-	4229712	Chr7B	4086921	4088950	-	4087935	1.0	0.999	collinear
gene:TraesCS7B03G0017600	Chr7B	4338296	4345659	+	4341977	Chr7B	4196565	4203982	+	4200273	1.0	1.0	collinear
gene:TraesCS7B03G0017800	Chr7B	4425740	4431517	+	4428628	Chr7B	4284209	4289986	+	4287097	1.0	1.0	collinear
gene:TraesCS7B03G0017900	Chr7B	4469383	4469586	-	4469484	Chr7B	4327900	4328103	-	4328001	1.0	1.0	collinear
gene:TraesCS7B03G0018000	Chr7B	4477157	4481340	+	4479248	Chr7B	4335673	4339856	+	4337764	1.0	1.0	collinear
gene:TraesCS7B03G0018100	Chr7B	4533463	4533718	-	4533590	Chr7B	4391839	4392094	-	4391966	1.0	1.0	collinear
gene:TraesCS7B03G0018200	Chr7B	4646090	4652768	+	4649429	Chr7B	4507920	4514598	+	4511259	1.0	1.0	collinear
gene:TraesCS7B03G0018700	Chr7B	4939060	4939788	-	4939424	Chr7B	4798149	4798880	-	4798514	1.0	0.995	collinear
gene:TraesCS7B03G0018800	Chr7B	4949497	4950210	+	4949853	Chr7B	4808589	4809302	+	4808945	1.0	1.0	collinear
gene:TraesCS7B03G0019200	Chr7B	5228037	5231817	-	5229927	Chr7B	5087279	5091059	-	5089169	1.0	1.0	collinear
gene:TraesCS7B03G0019300	Chr7B	5234592	5237551	-	5236071	Chr7B	5093834	5096793	-	5095313	1.0	1.0	collinear
gene:TraesCS7B03G0019400	Chr7B	5241320	5245276	-	5243298	Chr7B	5100436	5104357	-	5102396	1.0	0.998	collinear
gene:TraesCS7B03G0019500	Chr7B	5387627	5391814	-	5389720	Chr7B	5256005	5260191	-	5258098	1.0	1.0	collinear
gene:TraesCS7B03G0019600	Chr7B	5391944	5395839	+	5393891	Chr7B	5260321	5264216	+	5262268	1.0	1.0	collinear
gene:TraesCS7B03G0020300	Chr7B	5526569	5531037	+	5528803	Chr7B	5427031	5431499	+	5429265	1.0	1.0	collinear
gene:TraesCS7B03G0020400	Chr7B	5547385	5551965	+	5549675	Chr7B	5447836	5452416	+	5450126	1.0	0.998	collinear
gene:TraesCS7B03G0020700	Chr7B	5597550	5600418	+	5598984	Chr7B	5498090	5500958	+	5499524	1.0	0.999	collinear
gene:TraesCS7B03G0020800	Chr7B	5611673	5616462	+	5614067	Chr7B	5512235	5517024	+	5514629	1.0	1.0	collinear
gene:TraesCS7B03G0020900	Chr7B	5647531	5653592	+	5650561	Chr7B	5547289	5553112	+	5550200	1.0	0.999	collinear
gene:TraesCS7B03G0021400	Chr7B	5832558	5833912	+	5833235	Chr7B	5731407	5732761	+	5732084	1.0	1.0	collinear
gene:TraesCS7B03G0021800	Chr7B	5837952	5842042	+	5839997	Chr7B	5736801	5740890	+	5738845	0.999	0.999	collinear
gene:TraesCS7B03G0022000	Chr7B	5843318	5850518	-	5846918	Chr7B	5742166	5749343	-	5745754	1.0	0.998	collinear
gene:TraesCS7B03G0022100	Chr7B	6242281	6249615	+	6245948	Chr7B	6170105	6176381	+	6173243	1.0	0.995	collinear
gene:TraesCS7B03G0022700	Chr7B	6307057	6325059	-	6316058	Chr7B	6234970	6253001	-	6243985	0.998	0.997	collinear
gene:TraesCS7B03G0022800	Chr7B	6328320	6328690	-	6328505	Chr7B	6256263	6256633	-	6256448	1.0	0.995	collinear
gene:TraesCS7B03G0022900	Chr7B	6357986	6359698	-	6358842	Chr7B	6285954	6287666	-	6286810	0.998	0.957	collinear
gene:TraesCS7B03G0023000	Chr7B	6390975	6402894	-	6396934	Chr7B	6318791	6330678	-	6324734	1.0	0.998	collinear
gene:TraesCS7B03G0023100	Chr7B	6405589	6412988	-	6409288	Chr7B	6333366	6340642	-	6337004	1.0	0.998	collinear
gene:TraesCS7B03G0023400	Chr7B	6489035	6493164	+	6491099	Chr7B	6381797	6385926	+	6383861	1.0	0.999	collinear
gene:TraesCS7B03G0023500	Chr7B	6515908	6519369	+	6517638	Chr7B	6428921	6432550	+	6430735	1.0	0.998	collinear
gene:TraesCS7B03G0023700	Chr7B	6572310	6576009	+	6574159	Chr7B	6484121	6487822	+	6485971	1.0	0.996	collinear
gene:TraesCS7B03G0024200	Chr7B	6708493	6711769	+	6710131	Chr7B	6617630	6620903	+	6619266	0.998	0.995	collinear
gene:TraesCS7B03G0024600	Chr7B	6730304	6734509	-	6732406	Chr7B	6639459	6643665	-	6641562	1.0	0.999	collinear
gene:TraesCS7B03G0025200	Chr7B	7084796	7090671	+	7087733	Chr7B	7009410	7015285	+	7012347	1.0	1.0	collinear
gene:TraesCS7B03G0025300	Chr7B	7133948	7134205	+	7134076	Chr7B	7058666	7058923	+	7058794	1.0	1.0	collinear
gene:TraesCS7B03G0025500	Chr7B	7170867	7171798	-	7171332	Chr7B	7095068	7095999	-	7095533	1.0	1.0	collinear
gene:TraesCS7B03G0025800	Chr7B	7253599	7253856	-	7253727	Chr7B	7177061	7177318	-	7177189	1.0	1.0	collinear
gene:TraesCS7B03G0026100	Chr7B	7284286	7310081	+	7297183	Chr7B	7207601	7233395	+	7220498	1.0	1.0	collinear
gene:TraesCS7B03G0027000	Chr7B	7363121	7364017	+	7363569	Chr7B	7286293	7287189	+	7286741	1.0	1.0	collinear
gene:TraesCS7B03G0027100	Chr7B	7369368	7370606	-	7369987	Chr7B	7292538	7293776	-	7293157	1.0	1.0	collinear
gene:TraesCS7B03G0028300	Chr7B	7634994	7640176	-	7637585	Chr7B	7564032	7569196	-	7566614	1.0	0.998	collinear
gene:TraesCS7B03G0028700	Chr7B	7848045	7848935	+	7848490	Chr7B	7633841	7634731	+	7634286	1.0	0.997	collinear
gene:TraesCS7B03G0028800	Chr7B	7854756	7856155	-	7855455	Chr7B	7640550	7641949	-	7641249	1.0	1.0	collinear
gene:TraesCS7B03G0029000	Chr7B	7863320	7865535	+	7864427	Chr7B	7645931	7648146	+	7647038	1.0	0.995	collinear
gene:TraesCS7B03G0029100	Chr7B	7939115	7939426	+	7939270	Chr7B	7721640	7721951	+	7721795	1.0	1.0	collinear
gene:TraesCS7B03G0029400	Chr7B	8239078	8241378	-	8240228	Chr7B	7893151	7895551	-	7894351	1.0	0.972	collinear
gene:TraesCS7B03G0029500	Chr7B	8396140	8398294	-	8397217	Chr7B	7975560	7977770	-	7976665	0.982	0.944	collinear
gene:TraesCS7B03G0029600	Chr7B	8408501	8408833	+	8408667	Chr7B	7995440	7995769	+	7995604	0.99	0.96	collinear
gene:TraesCS7B03G0030000	Chr7B	9040037	9043328	+	9041682	Chr7B	8180777	8181985	+	8181381	0.987	0.937	collinear
gene:TraesCS7B03G0030400	Chr7B	9194873	9201781	-	9198327	Chr7B	8381629	8388526	-	8385077	0.994	0.993	collinear
gene:TraesCS7B03G0030600	Chr7B	9532847	9537156	+	9535001	Chr7B	8825165	8829474	+	8827319	1.0	1.0	collinear
gene:TraesCS7B03G0030800	Chr7B	9538747	9541639	-	9540193	Chr7B	8830755	8833647	-	8832201	1.0	1.0	collinear
gene:TraesCS7B03G0030900	Chr7B	9554131	9562829	-	9558480	Chr7B	8846147	8855415	-	8850781	0.994	0.979	collinear
gene:TraesCS7B03G0031000	Chr7B	9590350	9590803	-	9590576	Chr7B	8906214	8906667	-	8906440	1.0	0.98	collinear
gene:TraesCS7B03G0031100	Chr7B	9601762	9602235	-	9601998	Chr7B	8917569	8918042	-	8917805	1.0	1.0	collinear
gene:TraesCS7B03G0031200	Chr7B	9605582	9607023	-	9606302	Chr7B	8921389	8922830	-	8922109	1.0	0.998	collinear
gene:TraesCS7B03G0031600	Chr7B	9661205	9661672	-	9661438	Chr7B	8976882	8977332	-	8977107	0.963	0.963	collinear
gene:TraesCS7B03G0031700	Chr7B	9666048	9666867	-	9666457	Chr7B	8981707	8982526	-	8982116	1.0	1.0	collinear
gene:TraesCS7B03G0031800	Chr7B	10072089	10074089	-	10073089	Chr7B	9377612	9379612	-	9378612	1.0	0.999	collinear
gene:TraesCS7B03G0032300	Chr7B	10544063	10546385	+	10545224	Chr7B	9825998	9828088	+	9827043	1.0	1.0	collinear
gene:TraesCS7B03G0032400	Chr7B	10547429	10553423	-	10550426	Chr7B	9829132	9835163	-	9832147	1.0	0.977	collinear
gene:TraesCS7B03G0032600	Chr7B	10604706	10607023	+	10605864	Chr7B	9886424	9888741	+	9887582	1.0	1.0	collinear
gene:TraesCS7B03G0032800	Chr7B	10893834	10895764	+	10894799	Chr7B	10176325	10178255	+	10177290	1.0	1.0	collinear
gene:TraesCS7B03G0033000	Chr7B	10948512	10952925	-	10950718	Chr7B	10230856	10235269	-	10233062	1.0	1.0	collinear
gene:TraesCS7B03G0033100	Chr7B	10966194	10966511	-	10966352	Chr7B	10248462	10248779	-	10248620	1.0	1.0	collinear
gene:TraesCS7B03G0033300	Chr7B	10999621	11001946	+	11000783	Chr7B	10282018	10284343	+	10283180	1.0	1.0	collinear
gene:TraesCS7B03G0033400	Chr7B	11031814	11032149	-	11031981	Chr7B	10314233	10314568	-	10314400	1.0	1.0	collinear
gene:TraesCS7B03G0033700	Chr7B	11347584	11349680	+	11348632	Chr7B	10622457	10624553	+	10623505	1.0	1.0	collinear
