cs_chr	cs_start	cs_end	Mace_tgt_chr	Mace_tgt_start	Mace_tgt_end	n_anchors	mean_identity
Chr6D	40779791	42565480	Chr6D	37586941	39363100	18	0.9998888888888889
Chr6D	46902857	49450861	Chr6D	58501901	61023934	31	0.9974838709677419
Chr6D	43783	31480900	Chr6D	29531	36610178	591	0.9988680203045688
Chr6D	38565372	40547609	Chr6D	39593391	41530761	13	1.0
Chr6D	42933120	46873994	Chr6D	49247272	53117491	31	0.9997741935483871
Chr6D	49849091	164765103	Chr6D	53783943	169895577	872	0.9988853211009174
Chr6D	166779487	214550301	Chr6D	171855755	218543860	75	0.9988266666666668
Chr6D	216846232	227401287	Chr6D	220019733	230523324	15	0.9988666666666667
Chr6D	232122220	239805311	Chr6D	235203046	242808166	11	0.999909090909091
Chr6D	242219199	280904417	Chr6D	245203477	284708728	144	0.9985694444444445
Chr6D	283156017	346074522	Chr6D	286936127	349314252	421	0.999771971496437
Chr6D	348652621	353356176	Chr6D	351239725	355923044	38	0.9995789473684211
Chr6D	355857046	415028218	Chr6D	359005403	417600183	534	0.9991516853932585
Chr6D	417690848	473516145	Chr6D	420125548	475214553	920	0.9956423913043478
Chr6D	346099970	348279719	Chr6D	356295059	358463877	25	0.9999600000000001
Chr6D	353635072	355242742	Chr6D	349369809	350964816	14	0.9994285714285714
