cs_chr	cs_start	cs_end	Fielder_tgt_chr	Fielder_tgt_start	Fielder_tgt_end	n_anchors	mean_identity
Chr3A	6969528	140281429	Chr3A	2617753	134462897	1351	0.9960296076980014
Chr3A	142385461	192745740	Chr3A	136562405	186454646	216	0.998449074074074
Chr3A	195861474	261606155	Chr3A	189556811	255613184	204	0.9994117647058824
Chr3A	270762150	278734659	Chr3A	264661223	272615892	12	0.9978333333333332
Chr3A	280899243	284859700	Chr3A	274783565	278682301	6	0.9995
Chr3A	286968946	294756278	Chr3A	280807127	288567309	7	0.9998571428571428
Chr3A	300173801	305236714	Chr3A	294658524	299670866	6	0.9991666666666666
Chr3A	307569651	328087198	Chr3A	302010403	322461924	26	0.9996153846153848
Chr3A	331805909	349096037	Chr3A	329676074	346870664	30	0.9990333333333332
Chr3A	351562540	354510700	Chr3A	349269770	352203941	8	0.9995
Chr3A	357146906	360275758	Chr3A	354837448	357959903	6	0.9998333333333336
Chr3A	362401176	717475572	Chr3A	360063458	718552166	2658	0.9977061700526711
Chr3A	730381682	730494295	Chr3A	735258226	735370500	4	1.0
Chr3A	752795354	754027567	Chr3A	757200225	758264404	16	0.9769375
