cs_chr	cs_start	cs_end	Paragon_v3_tgt_chr	Paragon_v3_tgt_start	Paragon_v3_tgt_end	n_anchors	mean_identity
Chr5B	2561439	2884239	Chr5B	3633834	3955032	6	1.0
Chr5B	3449499	4061276	Chr5B	2444650	3053808	7	1.0
Chr5B	4549237	5072165	Chr5B	5324589	5999534	9	1.0
Chr5B	184767951	188797874	Chr5B	189193134	193241139	9	0.9887777777777776
Chr5B	170601200	176601296	Chr5B	202183641	208400883	8	0.9981249999999999
Chr5B	210734983	218215007	Chr5B	210929720	218969986	29	0.9988275862068965
Chr5B	18796	1579566	Chr5B	9558160	10703502	11	0.9997272727272727
Chr5B	6219225	149330732	Chr5B	12039050	164494343	958	0.9958956158663883
Chr5B	152509380	167292122	Chr5B	166863792	186034868	26	0.9976923076923078
Chr5B	176792304	184295794	Chr5B	193703689	201993433	11	0.9977272727272727
Chr5B	191960322	192381573	Chr5B	209852690	210280712	3	0.9993333333333334
Chr5B	202891999	210167701	Chr5B	219529570	226731232	24	0.9969166666666668
Chr5B	219089253	236283952	Chr5B	244745747	262212960	69	0.9965652173913042
Chr5B	238316269	257532817	Chr5B	264012754	282813276	78	0.9991538461538462
Chr5B	259539413	341562322	Chr5B	284780121	367781313	500	0.997732
Chr5B	343826709	383208800	Chr5B	370003772	409216805	214	0.9975140186915888
Chr5B	386333053	412688052	Chr5B	409504765	437479127	200	0.9970349999999999
Chr5B	414828778	700232848	Chr5B	438772389	727042814	2820	0.9943390070921986
Chr5B	704074687	705320488	Chr5B	727284249	728523198	36	0.9998055555555556
Chr5B	700333219	701547412	Chr5B	714289459	715854512	18	0.9743333333333332
Chr5B	702478796	703858476	Chr5B	718010893	719203026	28	0.9820714285714285
