gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Chuanmai104_tgt_chr	Chuanmai104_tgt_start	Chuanmai104_tgt_end	Chuanmai104_tgt_strand	Chuanmai104_tgt_midpoint	Chuanmai104_coverage	Chuanmai104_identity	segment
gene:TraesCS6B02G000300	Chr6B	163680	173488	-	168584	Chr6B	9243652	9253599	-	9248625	0.994	0.967	collinear
gene:TraesCS6B02G000400	Chr6B	185379	185882	+	185630	Chr6B	9265381	9265884	+	9265632	1.0	0.971	collinear
gene:TraesCS6B02G000500	Chr6B	197644	198153	+	197898	Chr6B	9223872	9224381	-	9224126	1.0	0.968	collinear
gene:TraesCS6B02G000600	Chr6B	260456	260755	-	260605	Chr6B	9468379	9468679	-	9468529	1.0	0.996	collinear
gene:TraesCS6B02G000700	Chr6B	293059	296128	-	294593	Chr6B	9483087	9486156	-	9484621	1.0	0.999	collinear
gene:TraesCS6B02G000800	Chr6B	484200	485669	+	484934	Chr6B	9662561	9664030	+	9663295	1.0	0.973	collinear
gene:TraesCS6B02G000900	Chr6B	608571	610157	-	609364	Chr6B	9783705	9785291	-	9784498	1.0	0.997	collinear
gene:TraesCS6B02G001000	Chr6B	697792	700255	+	699023	Chr6B	10098777	10101242	+	10100009	1.0	0.996	collinear
gene:TraesCS6B02G001100	Chr6B	701374	702030	+	701702	Chr6B	10102361	10103017	+	10102689	1.0	1.0	collinear
gene:TraesCS6B02G001200	Chr6B	702076	702636	+	702356	Chr6B	10103063	10103623	+	10103343	1.0	0.996	collinear
gene:TraesCS6B02G001300	Chr6B	728447	731986	-	730216	Chr6B	10128326	10132182	-	10130254	1.0	0.999	collinear
gene:TraesCS6B02G005000	Chr6B	3870164	3871495	+	3870829	Chr6B	8418236	8419195	-	8418715	1.0	0.971	collinear
gene:TraesCS6B02G005200	Chr6B	3881179	3883043	-	3882111	Chr6B	8280051	8281872	+	8280961	0.963	0.937	collinear
gene:TraesCS6B02G005300	Chr6B	3886559	3890912	-	3888735	Chr6B	8272382	8276643	+	8274512	0.921	0.901	collinear
gene:TraesCS6B02G009800	Chr6B	6028752	6031069	+	6029910	Chr6B	10420705	10428364	+	10424534	0.953	0.927	collinear
gene:TraesCS6B02G009900	Chr6B	6040668	6042119	+	6041393	Chr6B	10438392	10439844	+	10439118	1.0	0.986	collinear
gene:TraesCS6B02G010000	Chr6B	6166197	6168942	-	6167569	Chr6B	10610925	10613726	-	10612325	0.983	0.937	collinear
gene:TraesCS6B02G010100	Chr6B	6193997	6195368	-	6194682	Chr6B	10715218	10716588	-	10715903	0.997	0.974	collinear
gene:TraesCS6B02G010400	Chr6B	6219689	6225495	-	6222592	Chr6B	10721111	10726894	-	10724002	0.999	0.993	collinear
gene:TraesCS6B02G010600	Chr6B	6337591	6344270	+	6340930	Chr6B	10846980	10853634	+	10850307	0.991	0.985	collinear
gene:TraesCS6B02G010700	Chr6B	6509869	6510250	+	6510059	Chr6B	11052404	11052785	+	11052594	1.0	1.0	collinear
gene:TraesCS6B02G010800	Chr6B	6511804	6516693	+	6514248	Chr6B	11054336	11059295	+	11056815	1.0	0.958	collinear
gene:TraesCS6B02G010900	Chr6B	6537247	6541509	+	6539378	Chr6B	11080106	11084434	+	11082270	0.995	0.959	collinear
gene:TraesCS6B02G011000	Chr6B	6602494	6606071	+	6604282	Chr6B	11176782	11180221	+	11178501	0.995	0.951	collinear
gene:TraesCS6B02G011100	Chr6B	6628271	6630588	-	6629429	Chr6B	11201443	11203741	-	11202592	0.999	0.965	collinear
gene:TraesCS6B02G011500	Chr6B	6801204	6802304	-	6801754	Chr6B	11232320	11233416	-	11232868	0.986	0.909	collinear
gene:TraesCS6B02G011700	Chr6B	6833607	6834239	-	6833923	Chr6B	11573186	11573833	-	11573509	1.0	0.932	collinear
gene:TraesCS6B02G012100	Chr6B	7151215	7156609	-	7153912	Chr6B	11594431	11599670	+	11597050	0.99	0.95	collinear
gene:TraesCS6B02G012500	Chr6B	7894377	7895312	-	7894844	Chr6B	13155951	13156885	-	13156418	1.0	0.993	collinear
gene:TraesCS6B02G012700	Chr6B	7937459	7944132	-	7940795	Chr6B	13405178	13411272	-	13408225	0.973	0.939	collinear
gene:TraesCS6B02G012800	Chr6B	8045847	8049871	-	8047859	Chr6B	13567921	13571886	-	13569903	0.992	0.989	collinear
gene:TraesCS6B02G013400	Chr6B	8399893	8410107	+	8405000	Chr6B	13676588	13686692	+	13681640	0.999	0.997	collinear
gene:TraesCS6B02G013500	Chr6B	8410503	8411114	-	8410808	Chr6B	13687088	13687699	-	13687393	1.0	0.991	collinear
gene:TraesCS6B02G013600	Chr6B	8411736	8412335	-	8412035	Chr6B	13688324	13688923	-	13688623	1.0	0.996	collinear
gene:TraesCS6B02G013700	Chr6B	8416766	8420620	+	8418693	Chr6B	13693277	13697121	+	13695199	0.991	0.986	collinear
gene:TraesCS6B02G013800	Chr6B	8428648	8429338	+	8428993	Chr6B	13704737	13705429	+	13705083	1.0	0.992	collinear
