cs_chr	cs_start	cs_end	CS_v1_tgt_chr	CS_v1_tgt_start	CS_v1_tgt_end	n_anchors	mean_identity
Chr6D	43783	27630303	Chr6D	43783	26255608	548	0.9999507299270072
Chr6D	32741204	38579793	Chr6D	26351226	31480900	94	0.9997234042553192
Chr6D	41537060	46120294	Chr6D	31725191	36327668	67	0.9994925373134328
Chr6D	49876700	56759409	Chr6D	36581551	42565480	59	0.9998474576271188
Chr6D	64544097	74172612	Chr6D	42933120	54267397	87	1.0
Chr6D	76708270	186375773	Chr6D	55105672	164765103	832	0.999653846153846
Chr6D	188380630	200393382	Chr6D	166779487	178853280	29	0.999896551724138
Chr6D	203260384	235958205	Chr6D	181704846	214550301	45	0.9999333333333332
Chr6D	238222872	248745870	Chr6D	216846232	227401287	14	0.9994285714285714
Chr6D	253451229	261093398	Chr6D	232122220	239805311	12	1.0
Chr6D	263489417	302615547	Chr6D	242219199	280904417	145	0.9992344827586208
Chr6D	304859324	436495956	Chr6D	283156017	415028218	1034	0.9998404255319148
Chr6D	439160889	495303957	Chr6D	417690848	473516145	986	0.9996987829614604
