gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Paragon_v3_tgt_chr	Paragon_v3_tgt_start	Paragon_v3_tgt_end	Paragon_v3_tgt_strand	Paragon_v3_tgt_midpoint	Paragon_v3_coverage	Paragon_v3_identity	segment
gene:TraesCS6D02G000100	Chr6D	43457	44110	-	43783	Chr6D	1147141	1147794	+	1147467	1.0	1.0	rearrangement:Chr6D_block1
gene:TraesCS6D02G000200	Chr6D	52444	52899	+	52671	Chr6D	1138352	1138807	-	1138579	1.0	1.0	rearrangement:Chr6D_block1
gene:TraesCS6D02G000300	Chr6D	88938	95787	-	92362	Chr6D	1096046	1102896	+	1099471	1.0	0.999	rearrangement:Chr6D_block1
gene:TraesCS6D02G000400	Chr6D	208151	209686	+	208918	Chr6D	982884	984419	-	983651	1.0	1.0	rearrangement:Chr6D_block1
gene:TraesCS6D02G000500	Chr6D	220528	222200	-	221364	Chr6D	970546	972218	+	971382	1.0	1.0	rearrangement:Chr6D_block1
gene:TraesCS6D02G000600	Chr6D	287899	289936	+	288917	Chr6D	902881	904918	-	903899	1.0	1.0	rearrangement:Chr6D_block1
gene:TraesCS6D02G000700	Chr6D	347456	347876	-	347666	Chr6D	845573	845993	+	845783	1.0	1.0	rearrangement:Chr6D_block1
gene:TraesCS6D02G000800	Chr6D	387724	390437	+	389080	Chr6D	803365	806078	-	804721	1.0	1.0	rearrangement:Chr6D_block1
gene:TraesCS6D02G000900	Chr6D	397372	400574	-	398973	Chr6D	793228	796430	+	794829	1.0	1.0	rearrangement:Chr6D_block1
gene:TraesCS6D02G001000	Chr6D	421451	422985	-	422218	Chr6D	770966	772500	+	771733	1.0	1.0	rearrangement:Chr6D_block1
gene:TraesCS6D02G001100	Chr6D	423498	424658	-	424078	Chr6D	769293	770453	+	769873	1.0	1.0	rearrangement:Chr6D_block1
gene:TraesCS6D02G001200	Chr6D	490375	493875	-	492125	Chr6D	701467	704967	+	703217	1.0	1.0	rearrangement:Chr6D_block1
gene:TraesCS6D02G001300	Chr6D	500582	502814	-	501698	Chr6D	692528	694760	+	693644	1.0	1.0	rearrangement:Chr6D_block1
gene:TraesCS6D02G001400	Chr6D	602989	606229	-	604609	Chr6D	590476	593718	+	592097	1.0	0.998	rearrangement:Chr6D_block1
gene:TraesCS6D02G001500	Chr6D	680571	680993	-	680782	Chr6D	516866	517288	+	517077	1.0	1.0	rearrangement:Chr6D_block1
gene:TraesCS6D02G001600	Chr6D	803603	804859	+	804231	Chr6D	393968	395224	-	394596	1.0	1.0	rearrangement:Chr6D_block1
gene:TraesCS6D02G001700	Chr6D	805537	807932	+	806734	Chr6D	390895	393290	-	392092	1.0	1.0	rearrangement:Chr6D_block1
gene:TraesCS6D02G001900	Chr6D	966786	967049	+	966917	Chr6D	232518	232781	-	232649	1.0	1.0	rearrangement:Chr6D_block1
gene:TraesCS6D02G002000	Chr6D	1068894	1071067	+	1069980	Chr6D	129606	131779	-	130692	1.0	1.0	rearrangement:Chr6D_block1
gene:TraesCS6D02G002100	Chr6D	1372775	1374424	+	1373599	Chr6D	1764484	1766133	+	1765308	1.0	1.0	rearrangement:Chr6D_block1
gene:TraesCS6D02G002200	Chr6D	1411739	1415945	-	1413842	Chr6D	1803445	1807651	-	1805548	1.0	0.999	rearrangement:Chr6D_block1
gene:TraesCS6D02G002223	Chr6D	1419679	1430162	-	1424920	Chr6D	1811385	1821649	-	1816517	1.0	1.0	rearrangement:Chr6D_block1
gene:TraesCS6D02G002300	Chr6D	1444647	1449631	+	1447139	Chr6D	1835858	1840842	+	1838350	1.0	1.0	rearrangement:Chr6D_block1
gene:TraesCS6D02G002400	Chr6D	1488713	1491897	+	1490305	Chr6D	1879319	1882503	+	1880911	1.0	1.0	rearrangement:Chr6D_block1
gene:TraesCS6D02G002500	Chr6D	1508029	1517724	-	1512876	Chr6D	1898427	1908122	-	1903274	1.0	1.0	rearrangement:Chr6D_block1
gene:TraesCS6D02G002600	Chr6D	1538495	1539831	-	1539163	Chr6D	1928893	1930229	-	1929561	1.0	1.0	rearrangement:Chr6D_block1
gene:TraesCS6D02G002700	Chr6D	1571901	1572329	-	1572115	Chr6D	1961808	1962236	-	1962022	1.0	1.0	rearrangement:Chr6D_block1
gene:TraesCS6D02G002800	Chr6D	1586179	1588895	+	1587537	Chr6D	1975760	1978476	+	1977118	1.0	1.0	rearrangement:Chr6D_block1
gene:TraesCS6D02G002900	Chr6D	1627607	1628562	+	1628084	Chr6D	2016839	2017794	+	2017316	1.0	1.0	rearrangement:Chr6D_block1
gene:TraesCS6D02G003000	Chr6D	1635743	1636654	+	1636198	Chr6D	2024975	2025886	+	2025430	1.0	1.0	rearrangement:Chr6D_block1
gene:TraesCS6D02G003100	Chr6D	1760637	1761722	+	1761179	Chr6D	2148419	2149504	+	2148961	1.0	1.0	rearrangement:Chr6D_block1
gene:TraesCS6D02G003200	Chr6D	1769875	1774534	-	1772204	Chr6D	2157660	2162319	-	2159989	1.0	1.0	rearrangement:Chr6D_block1
gene:TraesCS6D02G003300	Chr6D	1779697	1784071	+	1781884	Chr6D	2167518	2171202	+	2169360	0.911	0.911	rearrangement:Chr6D_block1
gene:TraesCS6D02G003400	Chr6D	1799042	1799976	-	1799509	Chr6D	2186175	2187109	-	2186642	1.0	0.998	rearrangement:Chr6D_block1
gene:TraesCS6D02G003500	Chr6D	1902475	1903404	-	1902939	Chr6D	2287829	2288758	-	2288293	1.0	1.0	rearrangement:Chr6D_block1
gene:TraesCS6D02G003600	Chr6D	1978190	1980764	+	1979477	Chr6D	2363213	2365787	+	2364500	1.0	1.0	rearrangement:Chr6D_block1
gene:TraesCS6D02G003700	Chr6D	1996894	1997988	-	1997441	Chr6D	2381920	2383014	-	2382467	1.0	1.0	rearrangement:Chr6D_block1
gene:TraesCS6D02G003800	Chr6D	2029651	2037184	+	2033417	Chr6D	2413554	2420764	+	2417159	1.0	1.0	rearrangement:Chr6D_block1
gene:TraesCS6D02G003900	Chr6D	2047133	2051430	-	2049281	Chr6D	2430713	2435010	-	2432861	1.0	1.0	rearrangement:Chr6D_block1
gene:TraesCS6D02G004000	Chr6D	2067031	2074191	+	2070611	Chr6D	2450235	2457395	+	2453815	1.0	1.0	rearrangement:Chr6D_block1
gene:TraesCS6D02G004100	Chr6D	2080210	2081880	+	2081045	Chr6D	2463414	2465084	+	2464249	1.0	1.0	rearrangement:Chr6D_block1
gene:TraesCS6D02G004200	Chr6D	2097244	2103560	+	2100402	Chr6D	2479831	2486147	+	2482989	1.0	1.0	rearrangement:Chr6D_block1
gene:TraesCS6D02G004300	Chr6D	2106676	2108293	-	2107484	Chr6D	2489263	2490880	-	2490071	1.0	1.0	rearrangement:Chr6D_block1
