cs_chr	cs_start	cs_end	Sumai3_tgt_chr	Sumai3_tgt_start	Sumai3_tgt_end	n_anchors	mean_identity
Chr1A	55218	159522669	Chr1A	48973	161673959	1216	0.9976340460526314
Chr1A	161671479	177484497	Chr1A	163844871	179587789	31	0.9994193548387098
Chr1A	179530042	182122609	Chr1A	181684563	184258760	6	0.9996666666666667
Chr1A	184934985	193518233	Chr1A	187048702	195633295	12	0.99975
Chr1A	200578799	202086777	Chr1A	202808370	204297601	5	1.0
Chr1A	204319371	209358469	Chr1A	206516612	211499985	7	0.9998571428571429
Chr1A	212017564	410154980	Chr1A	214009155	416103207	918	0.9964967320261438
Chr1A	412459137	420515127	Chr1A	418474249	427186360	23	0.9965652173913043
Chr1A	423163477	547507742	Chr1A	428995644	552552143	1260	0.9973753968253968
Chr1A	557139133	562042967	Chr1A	564050260	569076442	70	0.9935428571428572
Chr1A	571987978	593997588	Chr1A	579183504	603774058	311	0.9942379421221864
Chr1A	547864454	557118537	Chr1A	569107866	578899246	157	0.9951719745222929
Chr1A	562118438	571894847	Chr1A	552718585	563978762	132	0.9943484848484848
