cs_chr	cs_start	cs_end	Attraktion_tgt_chr	Attraktion_tgt_start	Attraktion_tgt_end	n_anchors	mean_identity
Chr6D	43783	26255608	Chr6D	39657	26807097	498	0.9986104417670683
Chr6D	46902857	49450861	Chr6D	70210035	72720409	31	0.9973870967741935
Chr6D	49849091	50179900	Chr6D	69488856	69814168	5	0.9997999999999999
Chr6D	26351226	46873994	Chr6D	31045121	64800124	246	0.9994268292682926
Chr6D	50605266	164765103	Chr6D	65461285	180712087	859	0.9991164144353901
Chr6D	166779487	214550301	Chr6D	182692162	229257480	72	0.9988472222222222
Chr6D	216846232	227401287	Chr6D	231730376	242224548	15	0.9988
Chr6D	232122220	239805311	Chr6D	246927180	254552488	12	0.99375
Chr6D	242219199	280904417	Chr6D	256946977	297782591	144	0.9984999999999999
Chr6D	283156017	415028218	Chr6D	300010377	431431461	1022	0.9995440313111545
Chr6D	417690848	473516145	Chr6D	434090353	490541404	890	0.9945438202247191
Chr6D	346099970	346837483	Chr6D	370924697	371659974	10	0.9998000000000001
