gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Kariega_tgt_chr	Kariega_tgt_start	Kariega_tgt_end	Kariega_tgt_strand	Kariega_tgt_midpoint	Kariega_coverage	Kariega_identity	segment
gene:TraesCS6A02G032800	Chr6A	16357746	16359603	+	16358674	Chr6A	93312	95165	+	94238	0.997	0.98	rearrangement:Chr6A_block1
gene:TraesCS6A02G032900	Chr6A	16374353	16376212	-	16375282	Chr6A	110244	112103	-	111173	1.0	0.984	rearrangement:Chr6A_block1
gene:TraesCS6A02G033000	Chr6A	16386427	16388254	-	16387340	Chr6A	140115	141942	-	141028	1.0	0.988	rearrangement:Chr6A_block1
gene:TraesCS6A02G033100	Chr6A	16398961	16400795	-	16399878	Chr6A	166973	168807	-	167890	1.0	0.949	rearrangement:Chr6A_block1
gene:TraesCS6A02G033200	Chr6A	16408185	16410137	-	16409161	Chr6A	176159	178126	-	177142	0.999	0.97	rearrangement:Chr6A_block1
gene:TraesCS6A02G033400	Chr6A	16443279	16444499	-	16443889	Chr6A	225139	226340	-	225739	0.984	0.95	rearrangement:Chr6A_block1
gene:TraesCS6A02G033500	Chr6A	16448568	16449328	-	16448948	Chr6A	229958	230718	-	230338	1.0	0.966	rearrangement:Chr6A_block1
gene:TraesCS6A02G033600	Chr6A	16452160	16453810	-	16452985	Chr6A	231645	233286	-	232465	0.994	0.964	rearrangement:Chr6A_block1
gene:TraesCS6A02G033700	Chr6A	16456712	16460780	-	16458746	Chr6A	386807	390723	-	388765	0.995	0.951	rearrangement:Chr6A_block1
gene:TraesCS6A02G033800	Chr6A	16462020	16463079	+	16462549	Chr6A	391946	393016	+	392481	0.997	0.958	rearrangement:Chr6A_block1
gene:TraesCS6A02G033900	Chr6A	16468421	16470748	+	16469584	Chr6A	397623	399948	+	398785	0.999	0.985	rearrangement:Chr6A_block1
gene:TraesCS6A02G034000	Chr6A	16531258	16532436	+	16531847	Chr6A	503421	504598	+	504009	0.999	0.974	rearrangement:Chr6A_block1
gene:TraesCS6A02G034200	Chr6A	16562153	16573593	-	16567873	Chr6A	525927	537477	-	531702	0.997	0.988	rearrangement:Chr6A_block1
gene:TraesCS6A02G034300	Chr6A	16593009	16593873	-	16593441	Chr6A	557723	558614	-	558168	0.998	0.931	rearrangement:Chr6A_block1
gene:TraesCS6A02G034500	Chr6A	16655031	16655791	-	16655411	Chr6A	588474	589235	-	588854	0.99	0.941	rearrangement:Chr6A_block1
gene:TraesCS6A02G034800	Chr6A	16683311	16684237	+	16683774	Chr6A	759220	760076	+	759648	0.987	0.964	rearrangement:Chr6A_block1
gene:TraesCS6A02G034900	Chr6A	16700898	16701729	+	16701313	Chr6A	767043	767873	+	767458	1.0	0.97	rearrangement:Chr6A_block1
gene:TraesCS6A02G035000	Chr6A	16705368	16705802	+	16705585	Chr6A	771547	771981	+	771764	1.0	0.972	rearrangement:Chr6A_block1
gene:TraesCS6A02G000100	Chr6A	56821	58390	+	57605	Chr6A	2591291	2592860	-	2592075	1.0	0.997	collinear
gene:TraesCS6A02G000200	Chr6A	103455	110107	+	106781	Chr6A	2541021	2547682	-	2544351	1.0	0.994	collinear
gene:TraesCS6A02G000300	Chr6A	286171	288047	+	287109	Chr6A	2352042	2353917	-	2352979	0.999	0.996	collinear
gene:TraesCS6A02G000400	Chr6A	288059	291030	+	289544	Chr6A	2349062	2352030	-	2350546	0.998	0.994	collinear
gene:TraesCS6A02G000600	Chr6A	610042	615530	+	612786	Chr6A	4605342	4611028	-	4608185	0.999	0.983	collinear
gene:TraesCS6A02G000700	Chr6A	616773	620979	-	618876	Chr6A	4600097	4604300	+	4602198	1.0	0.996	collinear
gene:TraesCS6A02G000800	Chr6A	629428	634290	+	631859	Chr6A	4568326	4573177	-	4570751	0.996	0.991	collinear
gene:TraesCS6A02G000900	Chr6A	634738	636233	+	635485	Chr6A	4566304	4567841	-	4567072	1.0	0.991	collinear
gene:TraesCS6A02G001000	Chr6A	637025	639371	+	638198	Chr6A	4563145	4565483	-	4564314	0.978	0.949	collinear
gene:TraesCS6A02G001100	Chr6A	637766	644465	-	641115	Chr6A	4558170	4564757	+	4561463	0.995	0.978	collinear
gene:TraesCS6A02G001200	Chr6A	734214	735473	-	734843	Chr6A	4434855	4435754	+	4435304	0.996	0.993	collinear
gene:TraesCS6A02G001400	Chr6A	771942	774641	-	773291	Chr6A	4393362	4396294	+	4394828	1.0	0.998	collinear
gene:TraesCS6A02G001500	Chr6A	786731	788315	+	787523	Chr6A	4380228	4381812	-	4381020	1.0	0.998	collinear
gene:TraesCS6A02G001600	Chr6A	795316	801602	-	798459	Chr6A	4366816	4373094	+	4369955	0.997	0.979	collinear
