gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Julius_tgt_chr	Julius_tgt_start	Julius_tgt_end	Julius_tgt_strand	Julius_tgt_midpoint	Julius_coverage	Julius_identity	segment
gene:TraesCS6D02G012100	Chr6D	4720370	4722721	-	4721545	Chr6D	14714470	14716821	+	14715645	1.0	1.0	collinear
gene:TraesCS6D02G012200	Chr6D	4773457	4775769	-	4774613	Chr6D	14662131	14664443	+	14663287	1.0	1.0	collinear
gene:TraesCS6D02G012300	Chr6D	4778237	4779343	-	4778790	Chr6D	14658428	14659534	+	14658981	1.0	1.0	collinear
gene:TraesCS6D02G012400	Chr6D	4838653	4840305	+	4839479	Chr6D	14593063	14594715	-	14593889	1.0	1.0	collinear
gene:TraesCS6D02G012500	Chr6D	4937161	4939465	+	4938313	Chr6D	14495224	14497528	-	14496376	1.0	1.0	collinear
gene:TraesCS6D02G012600	Chr6D	5058868	5066947	+	5062907	Chr6D	14369789	14377847	-	14373818	0.991	0.938	collinear
gene:TraesCS6D02G012700	Chr6D	5078407	5084396	+	5081401	Chr6D	14352216	14358205	-	14355210	1.0	1.0	collinear
gene:TraesCS6D02G012800	Chr6D	5090832	5094788	-	5092810	Chr6D	14341952	14345678	+	14343815	1.0	1.0	collinear
gene:TraesCS6D02G012900	Chr6D	5149646	5153289	-	5151467	Chr6D	11904743	11908443	-	11906593	0.998	0.944	collinear
gene:TraesCS6D02G013200	Chr6D	5278714	5279206	-	5278960	Chr6D	11985958	11986450	-	11986204	1.0	1.0	collinear
gene:TraesCS6D02G013300	Chr6D	5446476	5447036	-	5446756	Chr6D	12149314	12149874	-	12149594	1.0	0.997	collinear
gene:TraesCS6D02G013400	Chr6D	5477924	5481671	-	5479797	Chr6D	12184242	12187989	-	12186115	1.0	1.0	collinear
gene:TraesCS6D02G013500	Chr6D	5493565	5495912	+	5494738	Chr6D	12199882	12202229	+	12201055	1.0	1.0	collinear
gene:TraesCS6D02G013600	Chr6D	5562123	5566425	+	5564274	Chr6D	12266842	12271144	+	12268993	1.0	1.0	collinear
gene:TraesCS6D02G013700	Chr6D	5723637	5726189	+	5724913	Chr6D	12646448	12649000	+	12647724	1.0	1.0	collinear
gene:TraesCS6D02G013800	Chr6D	5838587	5839309	+	5838948	Chr6D	12759160	12759882	+	12759521	1.0	1.0	collinear
gene:TraesCS6D02G013900	Chr6D	5844543	5845856	-	5845199	Chr6D	12765226	12766539	-	12765882	1.0	1.0	collinear
gene:TraesCS6D02G014000	Chr6D	5909964	5912742	-	5911353	Chr6D	12829035	12831813	-	12830424	1.0	1.0	collinear
gene:TraesCS6D02G014100	Chr6D	5940883	5942499	-	5941691	Chr6D	12859000	12860616	-	12859808	1.0	1.0	collinear
gene:TraesCS6D02G014200	Chr6D	5976319	5979473	-	5977896	Chr6D	12916258	12919412	-	12917835	1.0	1.0	collinear
