gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	SY_Mattis_tgt_chr	SY_Mattis_tgt_start	SY_Mattis_tgt_end	SY_Mattis_tgt_strand	SY_Mattis_tgt_midpoint	SY_Mattis_coverage	SY_Mattis_identity	segment
gene:TraesCS3B02G230700	Chr3B	347799297	347803036	-	347801166	Chr3B	366738151	366741875	+	366740013	1.0	0.997	rearrangement:Chr3B_block1
gene:TraesCS3B02G230800	Chr3B	348104863	348109583	+	348107223	Chr3B	366443206	366447930	-	366445568	1.0	0.995	rearrangement:Chr3B_block1
gene:TraesCS3B02G230900	Chr3B	348487392	348491361	-	348489376	Chr3B	366049524	366053493	+	366051508	1.0	0.997	rearrangement:Chr3B_block1
gene:TraesCS3B02G231100	Chr3B	349269258	349305543	-	349287400	Chr3B	365802978	365839042	+	365821010	1.0	0.999	rearrangement:Chr3B_block1
gene:TraesCS3B02G231300	Chr3B	349746653	349746799	+	349746726	Chr3B	365402225	365402371	-	365402298	1.0	0.993	rearrangement:Chr3B_block1
gene:TraesCS3B02G231400	Chr3B	349934463	349949455	-	349941959	Chr3B	365199489	365214239	+	365206864	1.0	0.999	rearrangement:Chr3B_block1
gene:TraesCS3B02G231600	Chr3B	350421337	350433725	+	350427531	Chr3B	364778130	364797409	-	364787769	0.981	0.975	rearrangement:Chr3B_block1
gene:TraesCS3B02G235000	Chr3B	367675660	367680490	+	367678075	Chr3B	385986701	385991541	-	385989121	1.0	0.998	rearrangement:Chr3B_block2
gene:TraesCS3B02G235100	Chr3B	367835721	367844295	-	367840008	Chr3B	385828300	385836893	+	385832596	1.0	0.993	rearrangement:Chr3B_block2
gene:TraesCS3B02G235200	Chr3B	368089992	368103621	+	368096806	Chr3B	385567210	385580812	-	385574011	1.0	0.997	rearrangement:Chr3B_block2
gene:TraesCS3B02G235400	Chr3B	368115717	368116106	-	368115911	Chr3B	385555008	385555397	+	385555202	1.0	0.996	rearrangement:Chr3B_block2
gene:TraesCS3B02G235500	Chr3B	368539168	368546919	-	368543043	Chr3B	385039115	385046866	-	385042990	1.0	1.0	rearrangement:Chr3B_block2
gene:TraesCS3B02G235600	Chr3B	368591767	368616468	-	368604117	Chr3B	385091537	385114423	-	385102980	0.961	0.959	rearrangement:Chr3B_block2
gene:TraesCS3B02G235700	Chr3B	368726297	368726617	+	368726457	Chr3B	384873332	384873652	-	384873492	1.0	0.99	rearrangement:Chr3B_block2
gene:TraesCS3B02G235800	Chr3B	368727829	368728518	+	368728173	Chr3B	384871431	384872120	-	384871775	1.0	0.992	rearrangement:Chr3B_block2
gene:TraesCS3B02G235900	Chr3B	368743273	368743494	+	368743383	Chr3B	384856452	384856673	-	384856562	1.0	0.995	rearrangement:Chr3B_block2
gene:TraesCS3B02G236000	Chr3B	368846565	368846798	+	368846681	Chr3B	384765490	384765722	-	384765606	0.995	0.991	rearrangement:Chr3B_block2
gene:TraesCS3B02G236100	Chr3B	368852960	368853328	-	368853144	Chr3B	384758967	384759335	+	384759151	1.0	0.989	rearrangement:Chr3B_block2
gene:TraesCS3B02G236200	Chr3B	368866208	368866462	-	368866335	Chr3B	384745841	384746095	+	384745968	1.0	0.988	rearrangement:Chr3B_block2
gene:TraesCS3B02G236300	Chr3B	368882364	368883062	-	368882713	Chr3B	384723098	384723796	+	384723447	1.0	0.997	rearrangement:Chr3B_block2
gene:TraesCS3B02G236600	Chr3B	369284103	369286021	+	369285062	Chr3B	384283378	384285296	-	384284337	1.0	1.0	rearrangement:Chr3B_block2
gene:TraesCS3B02G236700	Chr3B	370135701	370166028	+	370150864	Chr3B	383417035	383447297	-	383432166	0.999	0.997	rearrangement:Chr3B_block2
gene:TraesCS3B02G236800	Chr3B	370213420	370214832	+	370214126	Chr3B	383379897	383381311	-	383380604	1.0	0.996	rearrangement:Chr3B_block2
gene:TraesCS3B02G000100	Chr3B	212892	214491	-	213691	Chr3B	1777195	1778794	+	1777994	1.0	1.0	collinear
gene:TraesCS3B02G000200	Chr3B	218045	222328	+	220186	Chr3B	1769326	1773609	-	1771467	1.0	1.0	collinear
gene:TraesCS3B02G000300	Chr3B	264854	267987	+	266420	Chr3B	1724275	1727408	-	1725841	1.0	0.999	collinear
gene:TraesCS3B02G000400	Chr3B	334498	337790	+	336144	Chr3B	1650062	1653357	-	1651709	0.998	0.994	collinear
gene:TraesCS3B02G000500	Chr3B	369389	373754	-	371571	Chr3B	1577613	1581983	+	1579798	0.994	0.99	collinear
gene:TraesCS3B02G000600	Chr3B	662656	666514	+	664585	Chr3B	1332815	1336745	-	1334780	0.999	0.982	collinear
gene:TraesCS3B02G000700	Chr3B	981835	986933	+	984384	Chr3B	1017716	1022666	-	1020191	0.977	0.925	collinear
gene:TraesCS3B02G000800	Chr3B	987268	990056	-	988662	Chr3B	1014562	1017379	+	1015970	0.984	0.924	collinear
gene:TraesCS3B02G001400	Chr3B	1462802	1463784	-	1463293	Chr3B	355839	356824	+	356331	1.0	0.991	collinear
gene:TraesCS3B02G001500	Chr3B	1480388	1481723	-	1481055	Chr3B	351819	353150	+	352484	0.997	0.994	collinear
gene:TraesCS3B02G002100	Chr3B	2092828	2094256	+	2093542	Chr3B	2237420	2238848	+	2238134	1.0	0.999	collinear
gene:TraesCS3B02G002200	Chr3B	2101991	2104344	-	2103167	Chr3B	2246583	2248936	-	2247759	1.0	1.0	collinear
gene:TraesCS3B02G002300	Chr3B	2115065	2116840	-	2115952	Chr3B	2259551	2261326	-	2260438	1.0	0.997	collinear
gene:TraesCS3B02G002500	Chr3B	2143432	2146356	-	2144894	Chr3B	2476458	2479382	+	2477920	1.0	0.971	collinear
gene:TraesCS3B02G002600	Chr3B	2160595	2163424	-	2162009	Chr3B	2443810	2446642	+	2445226	1.0	0.969	collinear
