cs_chr	cs_start	cs_end	Fielder_tgt_chr	Fielder_tgt_start	Fielder_tgt_end	n_anchors	mean_identity
Chr3D	1602713	1890031	Chr3D	6945870	7555631	9	0.9393333333333332
Chr3D	3988959	21005427	Chr3D	9060262	26984307	345	0.9969072463768116
Chr3D	299594493	309084975	Chr3D	340984536	350440597	78	0.9998205128205129
Chr3D	318573493	324312558	Chr3D	325849485	331531217	25	0.9998400000000001
Chr3D	325803	1280423	Chr3D	7741916	8839565	9	0.9266666666666666
Chr3D	21204309	116408326	Chr3D	31134624	137522797	966	0.9994875776397517
Chr3D	118542402	193596645	Chr3D	139652877	215344425	421	0.9993372921615202
Chr3D	197994205	200390459	Chr3D	219726512	222126542	4	0.99975
Chr3D	202614073	202651143	Chr3D	224633454	224669509	4	1.0
Chr3D	206979095	213997235	Chr3D	228966688	235484001	11	0.9990909090909091
Chr3D	216425033	219568689	Chr3D	237895129	241006802	6	0.9996666666666667
Chr3D	225525420	232470513	Chr3D	247075157	253954787	13	0.9996153846153846
Chr3D	234603090	244292283	Chr3D	258511581	271137669	13	0.9997692307692309
Chr3D	246327705	257173258	Chr3D	271990731	284008831	29	0.9998275862068966
Chr3D	259434941	298593191	Chr3D	286252578	325258245	140	0.9979571428571429
Chr3D	309654306	318508603	Chr3D	331595375	340418309	44	0.9999545454545455
Chr3D	324387385	439680335	Chr3D	351124523	465618537	897	0.9992229654403567
Chr3D	470488626	479450442	Chr3D	496077380	505000177	73	0.9967260273972602
Chr3D	509685688	615474754	Chr3D	535680285	642177895	1415	0.9977349823321555
Chr3D	439839762	469487961	Chr3D	505995168	535515798	290	0.9993862068965518
Chr3D	479609820	492131921	Chr3D	483494221	495920160	119	0.9993865546218487
Chr3D	494653889	509254522	Chr3D	465992116	480497082	165	0.9989454545454547
