gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Fielder_tgt_chr	Fielder_tgt_start	Fielder_tgt_end	Fielder_tgt_strand	Fielder_tgt_midpoint	Fielder_coverage	Fielder_identity	segment
gene:TraesCS6A03G0000400	Chr6A	117718	120689	-	119203	Chr6A	15408073	15410923	+	15409498	0.981	0.932	rearrangement:Chr6A_block2
gene:TraesCS6A03G0001400	Chr6A	1270594	1272612	-	1271603	Chr6A	13678410	13680458	+	13679434	1.0	0.98	rearrangement:Chr6A_block2
gene:TraesCS6A03G0001500	Chr6A	1298952	1300428	-	1299690	Chr6A	13650603	13652079	+	13651341	1.0	0.998	rearrangement:Chr6A_block2
gene:TraesCS6A03G0001600	Chr6A	1304914	1305519	-	1305216	Chr6A	13645514	13646119	+	13645816	1.0	0.998	rearrangement:Chr6A_block2
gene:TraesCS6A03G0001800	Chr6A	1330327	1332348	+	1331337	Chr6A	13622728	13624728	-	13623728	0.987	0.975	rearrangement:Chr6A_block2
gene:TraesCS6A03G0002000	Chr6A	1392825	1393762	+	1393293	Chr6A	13259205	13260112	-	13259658	0.961	0.958	rearrangement:Chr6A_block2
gene:TraesCS6A03G0002100	Chr6A	1401147	1405507	-	1403327	Chr6A	13247420	13251780	+	13249600	1.0	0.998	rearrangement:Chr6A_block2
gene:TraesCS6A03G0002200	Chr6A	1413772	1418469	+	1416120	Chr6A	13227583	13232229	-	13229906	1.0	0.998	rearrangement:Chr6A_block2
gene:TraesCS6A03G0002300	Chr6A	1427419	1428465	-	1427942	Chr6A	13217579	13218625	+	13218102	1.0	0.996	rearrangement:Chr6A_block2
gene:TraesCS6A03G0002400	Chr6A	1434457	1434844	+	1434650	Chr6A	13207755	13208142	-	13207948	1.0	1.0	rearrangement:Chr6A_block2
gene:TraesCS6A03G0002600	Chr6A	1442347	1442844	-	1442595	Chr6A	13199785	13200282	+	13200033	1.0	0.993	rearrangement:Chr6A_block2
gene:TraesCS6A03G0002700	Chr6A	1444853	1445827	+	1445340	Chr6A	13196772	13197743	-	13197257	0.987	0.976	rearrangement:Chr6A_block2
gene:TraesCS6A03G0003000	Chr6A	1535307	1542220	+	1538763	Chr6A	13142539	13149455	-	13145997	0.998	0.994	rearrangement:Chr6A_block2
gene:TraesCS6A03G0003100	Chr6A	1544392	1548820	-	1546606	Chr6A	13130845	13135270	+	13133057	1.0	0.996	rearrangement:Chr6A_block2
gene:TraesCS6A03G0003300	Chr6A	1558341	1564627	+	1561484	Chr6A	13115222	13121539	-	13118380	0.999	0.986	rearrangement:Chr6A_block2
gene:TraesCS6A03G0003500	Chr6A	1571628	1573212	-	1572420	Chr6A	13106666	13108249	+	13107457	0.999	0.994	rearrangement:Chr6A_block2
gene:TraesCS6A03G0003600	Chr6A	1584804	1587503	+	1586153	Chr6A	13092809	13095742	-	13094275	1.0	0.998	rearrangement:Chr6A_block2
gene:TraesCS6A03G0003700	Chr6A	1590243	1592797	-	1591520	Chr6A	13087752	13090073	+	13088912	0.908	0.9	rearrangement:Chr6A_block2
gene:TraesCS6A03G0004300	Chr6A	1712278	1718977	+	1715627	Chr6A	12927998	12934660	-	12931329	0.995	0.976	rearrangement:Chr6A_block2
gene:TraesCS6A03G0004400	Chr6A	1717372	1719718	-	1718545	Chr6A	12927296	12929601	+	12928448	0.962	0.934	rearrangement:Chr6A_block2
gene:TraesCS6A03G0004500	Chr6A	1720510	1722005	-	1721257	Chr6A	12924970	12926509	+	12925739	1.0	0.985	rearrangement:Chr6A_block2
gene:TraesCS6A03G0004800	Chr6A	1722453	1727315	-	1724884	Chr6A	12919819	12924506	+	12922162	0.951	0.947	rearrangement:Chr6A_block2
gene:TraesCS6A03G0004900	Chr6A	1735764	1739970	+	1737867	Chr6A	12903198	12907490	-	12905344	1.0	0.974	rearrangement:Chr6A_block2
gene:TraesCS6A03G0005000	Chr6A	1741213	1746701	-	1743957	Chr6A	12896422	12901945	+	12899183	0.989	0.979	rearrangement:Chr6A_block2
gene:TraesCS6A03G0006500	Chr6A	2049229	2059125	-	2054177	Chr6A	12792240	12802154	+	12797197	0.999	0.995	rearrangement:Chr6A_block2
gene:TraesCS6A03G0007100	Chr6A	2203802	2204371	+	2204086	Chr6A	12678914	12679483	-	12679198	1.0	0.997	rearrangement:Chr6A_block2
gene:TraesCS6A03G0007500	Chr6A	2212597	2221548	-	2217072	Chr6A	12659271	12668218	+	12663744	0.997	0.993	rearrangement:Chr6A_block2
gene:TraesCS6A03G0007900	Chr6A	2282496	2284138	-	2283317	Chr6A	12590327	12591966	+	12591146	0.998	0.99	rearrangement:Chr6A_block2
gene:TraesCS6A03G0008200	Chr6A	2360136	2366375	+	2363255	Chr6A	12576025	12577311	-	12576668	0.986	0.98	rearrangement:Chr6A_block2
gene:TraesCS6A03G0009100	Chr6A	2436943	2441208	+	2439075	Chr6A	12541376	12545631	-	12543503	0.994	0.985	rearrangement:Chr6A_block2
gene:TraesCS6A03G0009300	Chr6A	2445174	2450370	+	2447772	Chr6A	12532274	12537407	-	12534840	0.994	0.981	rearrangement:Chr6A_block2
gene:TraesCS6A03G0009400	Chr6A	2451784	2453964	+	2452874	Chr6A	12528759	12530918	-	12529838	0.985	0.958	rearrangement:Chr6A_block2
gene:TraesCS6A03G0009500	Chr6A	2472064	2474776	+	2473420	Chr6A	12521916	12524600	-	12523258	0.989	0.986	rearrangement:Chr6A_block2
gene:TraesCS6A03G0010100	Chr6A	2492564	2499034	+	2495799	Chr6A	12408470	12414939	-	12411704	1.0	0.998	rearrangement:Chr6A_block2
gene:TraesCS6A03G0010200	Chr6A	2510567	2511779	+	2511173	Chr6A	12395736	12396939	-	12396337	0.99	0.986	rearrangement:Chr6A_block2
gene:TraesCS6A03G0010300	Chr6A	2522326	2525232	+	2523779	Chr6A	12382743	12385631	-	12384187	0.983	0.977	rearrangement:Chr6A_block2
gene:TraesCS6A03G0010400	Chr6A	2534695	2537409	+	2536052	Chr6A	12343590	12346455	-	12345022	0.988	0.98	rearrangement:Chr6A_block2
gene:TraesCS6A03G0010800	Chr6A	2677756	2680999	+	2679377	Chr6A	12094371	12097596	-	12095983	1.0	0.993	rearrangement:Chr6A_block2
gene:TraesCS6A03G0010900	Chr6A	2692132	2692392	-	2692262	Chr6A	12082918	12083178	+	12083048	1.0	1.0	rearrangement:Chr6A_block2
gene:TraesCS6A03G0011100	Chr6A	2724971	2727654	-	2726312	Chr6A	12017553	12020047	+	12018800	0.996	0.977	rearrangement:Chr6A_block2
gene:TraesCS6A03G0011500	Chr6A	2767759	2769038	-	2768398	Chr6A	11966709	11967989	+	11967349	1.0	0.995	rearrangement:Chr6A_block2
gene:TraesCS6A03G0011700	Chr6A	2780187	2780928	-	2780557	Chr6A	11958117	11958859	+	11958488	1.0	0.998	rearrangement:Chr6A_block2
gene:TraesCS6A03G0011900	Chr6A	2793785	2794712	-	2794248	Chr6A	11951308	11952235	+	11951771	1.0	0.996	rearrangement:Chr6A_block2
gene:TraesCS6A03G0012000	Chr6A	2809641	2810003	-	2809822	Chr6A	11936146	11936509	+	11936327	1.0	0.981	rearrangement:Chr6A_block2
gene:TraesCS6A03G0012100	Chr6A	2811038	2811415	-	2811226	Chr6A	11934732	11935109	+	11934920	1.0	1.0	rearrangement:Chr6A_block2
gene:TraesCS6A03G0012200	Chr6A	2819892	2823290	-	2821591	Chr6A	11911245	11914635	+	11912940	0.988	0.984	rearrangement:Chr6A_block2
gene:TraesCS6A03G0012600	Chr6A	2942228	2947777	+	2945002	Chr6A	11806777	11812227	-	11809502	0.956	0.953	rearrangement:Chr6A_block2
gene:TraesCS6A03G0012800	Chr6A	2952615	2956528	-	2954571	Chr6A	11792101	11796009	+	11794055	1.0	0.996	rearrangement:Chr6A_block2
gene:TraesCS6A03G0029200	Chr6A	7851077	7857869	+	7854473	Chr6A	6084118	6090987	-	6087552	1.0	1.0	rearrangement:Chr6A_block1
gene:TraesCS6A03G0029300	Chr6A	7884487	7896338	-	7890412	Chr6A	6045667	6057516	+	6051591	1.0	1.0	rearrangement:Chr6A_block1
