cs_chr	cs_start	cs_end	SY_Mattis_tgt_chr	SY_Mattis_tgt_start	SY_Mattis_tgt_end	n_anchors	mean_identity
Chr1A	9151024	9682077	Chr1A	6528987	7044603	17	0.9952941176470589
Chr1A	1143626	161541694	Chr1A	1112835	163240908	1121	0.9951373773416592
Chr1A	163678239	179324135	Chr1A	165405595	180956951	28	0.9983928571428572
Chr1A	181647298	184244993	Chr1A	183028509	185601218	5	0.9996
Chr1A	187212146	195578524	Chr1A	188571281	196932369	11	0.999909090909091
Chr1A	202719482	204217307	Chr1A	203992670	205479814	5	0.9987999999999999
Chr1A	206439950	211446295	Chr1A	207676529	212657591	8	0.999125
Chr1A	214015968	411777219	Chr1A	215219881	416547757	912	0.9958629385964911
Chr1A	414061309	422384517	Chr1A	418937625	427475622	23	0.9965652173913043
Chr1A	425019660	549266979	Chr1A	429281551	552441033	1239	0.9951953188054883
Chr1A	559407333	564322974	Chr1A	563698609	568401932	67	0.9940895522388059
Chr1A	575981164	598556974	Chr1A	578625101	600544249	315	0.9945555555555556
Chr1A	549620859	559176174	Chr1A	568686424	578206386	157	0.9951337579617834
Chr1A	564520690	575669407	Chr1A	552612027	563499292	133	0.9941654135338345
