cs_chr	cs_start	cs_end	MOV_tgt_chr	MOV_tgt_start	MOV_tgt_end	n_anchors	mean_identity
Chr2A	254644	95499538	Chr2A	247844	95435561	1355	0.9963261992619926
Chr2A	104486831	119152635	Chr2A	96329136	110926429	102	0.9995588235294118
Chr2A	141284601	178940690	Chr2A	110972096	148649757	238	0.9986764705882352
Chr2A	182811321	236370510	Chr2A	149439677	202608649	225	0.9995955555555556
Chr2A	242668612	245450318	Chr2A	233497833	236264541	8	1.0
Chr2A	253743190	256655987	Chr2A	222305930	225215142	6	0.9996666666666668
Chr2A	265047681	267066623	Chr2A	217825670	219832062	7	0.9998571428571428
Chr2A	333879690	336183568	Chr2A	272456561	274697595	4	1.0
Chr2A	364470539	366697851	Chr2A	297425939	299632993	6	1.0
Chr2A	368718225	399870506	Chr2A	301650552	332687801	100	0.99838
Chr2A	404353227	404860525	Chr2A	337134817	337636631	4	0.9995
Chr2A	409607272	439696913	Chr2A	342328456	372329396	111	0.9997207207207208
Chr2A	442754537	490304153	Chr2A	372871125	419922275	159	0.9997861635220128
Chr2A	492634434	496284015	Chr2A	422247920	425891562	11	0.9995454545454546
Chr2A	498717935	551591979	Chr2A	428842627	481152453	302	0.9976026490066224
Chr2A	553651491	566699746	Chr2A	483202662	496165322	97	0.9997731958762888
Chr2A	574008174	787142100	Chr2A	497004283	707383726	2307	0.9954091894234935
