cs_chr	Stanley_tgt_chr	n_anchors	Stanley_mean_anchor_gap_Mb	Stanley_interp_type	n_segments	Stanley_mean_anchor_fraction
Chr1A	Chr1A	3909	0.15	linear	1	0.93
Chr1B	Chr1B	4160	0.164	linear	1	0.906
Chr1D	Chr1D	4276	0.116	linear	1	0.963
Chr2A	Chr2A	4545	0.17	linear	1	0.791
Chr2B	Chr2B	5222	0.152	linear	1	0.863
Chr2D	Chr2D	5509	0.117	linear	1	0.965
Chr3A	Chr3A	4811	0.156	linear	1	0.938
Chr3B	Chr3B	5193	0.16	linear	1	0.899
Chr3D	Chr3D	4059	0.15	linear	1	0.817
Chr4A	Chr4A	3112	0.239	linear	1	0.704
Chr4B	Chr4B	3461	0.195	linear	1	0.763
Chr4D	Chr4D	3303	0.151	linear	1	0.964
Chr5A	Chr5A	5083	0.14	linear	1	0.929
Chr5B	Chr5B	4935	0.144	linear	1	0.886
Chr5D	Chr5D	5397	0.105	linear	1	0.977
Chr6A	Chr6A	3671	0.168	linear	1	0.91
Chr6B	Chr6B	3786	0.19	linear	1	0.771
Chr6D	Chr6D	3228	0.147	linear	1	0.882
Chr7A	Chr7A	4494	0.164	linear	1	0.857
Chr7B	Chr7B	4165	0.18	linear	1	0.868
Chr7D	Chr7D	5160	0.124	linear	1	0.967
