gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	MOV_tgt_chr	MOV_tgt_start	MOV_tgt_end	MOV_tgt_strand	MOV_tgt_midpoint	MOV_coverage	MOV_identity
gene:TraesCS2B03G0000100	Chr2B	28743	34135	+	31439	Chr2B	220774	226171	+	223472	1.0	1.0
gene:TraesCS2B03G0000200	Chr2B	39467	43757	-	41612	Chr2B	231503	235793	-	233648	1.0	0.999
gene:TraesCS2B03G0000300	Chr2B	99450	99932	-	99691	Chr2B	291493	291975	-	291734	1.0	0.997
gene:TraesCS2B03G0000400	Chr2B	106822	111948	+	109385	Chr2B	298868	303998	+	301433	1.0	0.998
gene:TraesCS2B03G0000700	Chr2B	125470	127186	+	126328	Chr2B	317524	319240	+	318382	1.0	1.0
gene:TraesCS2B03G0000800	Chr2B	129516	134301	-	131908	Chr2B	321731	326518	-	324124	1.0	0.999
gene:TraesCS2B03G0000900	Chr2B	248523	249650	-	249086	Chr2B	441480	442607	-	442043	1.0	1.0
gene:TraesCS2B03G0001000	Chr2B	255128	258501	+	256814	Chr2B	447834	451207	+	449520	1.0	1.0
gene:TraesCS2B03G0001100	Chr2B	277481	281508	+	279494	Chr2B	470016	474043	+	472029	1.0	1.0
gene:TraesCS2B03G0001900	Chr2B	359414	360259	+	359836	Chr2B	474487	475332	+	474909	1.0	0.992
gene:TraesCS2B03G0002000	Chr2B	374883	385010	+	379946	Chr2B	489956	500082	+	495019	1.0	1.0
gene:TraesCS2B03G0002400	Chr2B	401647	403609	+	402628	Chr2B	516718	518680	+	517699	1.0	1.0
gene:TraesCS2B03G0002500	Chr2B	404319	408371	-	406345	Chr2B	519390	523442	-	521416	1.0	1.0
gene:TraesCS2B03G0002600	Chr2B	410883	413197	+	412040	Chr2B	525954	528266	+	527110	1.0	1.0
gene:TraesCS2B03G0002800	Chr2B	416211	435790	-	426000	Chr2B	531278	550853	-	541065	1.0	0.999
gene:TraesCS2B03G0002900	Chr2B	459671	461718	-	460694	Chr2B	574804	576851	-	575827	1.0	1.0
