gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Jagger_tgt_chr	Jagger_tgt_start	Jagger_tgt_end	Jagger_tgt_strand	Jagger_tgt_midpoint	Jagger_coverage	Jagger_identity
gene:TraesCS4D03G0005800	Chr4D	1630996	1636148	-	1633572	Chr4D	707265	712492	+	709878	1.0	0.999
gene:TraesCS4D03G0006100	Chr4D	1655892	1658459	+	1657175	Chr4D	684648	687215	-	685931	1.0	1.0
gene:TraesCS4D03G0006500	Chr4D	1693854	1698641	-	1696247	Chr4D	644208	648995	+	646601	1.0	1.0
gene:TraesCS4D03G0006900	Chr4D	1857162	1864002	+	1860582	Chr4D	523932	530772	-	527352	1.0	0.999
gene:TraesCS4D03G0007200	Chr4D	2118829	2121262	-	2120045	Chr4D	1278475	1280908	+	1279691	1.0	0.999
gene:TraesCS4D03G0007300	Chr4D	2157319	2157750	+	2157534	Chr4D	1245638	1246069	-	1245853	1.0	1.0
gene:TraesCS4D03G0007400	Chr4D	2159778	2160428	-	2160103	Chr4D	1242960	1243610	+	1243285	1.0	1.0
gene:TraesCS4D03G0007500	Chr4D	2210061	2211185	+	2210623	Chr4D	1193351	1194475	-	1193913	1.0	1.0
gene:TraesCS4D03G0007600	Chr4D	2233090	2237239	-	2235164	Chr4D	1167516	1171665	+	1169590	1.0	0.999
gene:TraesCS4D03G0007700	Chr4D	2275324	2285972	-	2280648	Chr4D	1104634	1115815	+	1110224	1.0	1.0
gene:TraesCS4D03G0008000	Chr4D	2317575	2321028	-	2319301	Chr4D	1069817	1073270	+	1071543	1.0	1.0
gene:TraesCS4D03G0008300	Chr4D	2468842	2469594	-	2469218	Chr4D	1383939	1384691	-	1384315	1.0	1.0
gene:TraesCS4D03G0008500	Chr4D	2503854	2504613	+	2504233	Chr4D	1419405	1420164	+	1419784	1.0	1.0
gene:TraesCS4D03G0010200	Chr4D	3319664	3323787	+	3321725	Chr4D	1953249	1957372	+	1955310	1.0	1.0
gene:TraesCS4D03G0010300	Chr4D	3327946	3335748	-	3331847	Chr4D	1961531	1969333	-	1965432	1.0	0.999
gene:TraesCS4D03G0010800	Chr4D	3382908	3386957	-	3384932	Chr4D	2011003	2015020	-	2013011	1.0	0.992
gene:TraesCS4D03G0011000	Chr4D	3390244	3391395	-	3390819	Chr4D	2018036	2019187	-	2018611	1.0	0.998
