gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Fielder_tgt_chr	Fielder_tgt_start	Fielder_tgt_end	Fielder_tgt_strand	Fielder_tgt_midpoint	Fielder_coverage	Fielder_identity
gene:TraesCS4D03G0001700	Chr4D	734129	734515	+	734322	Chr4D	73821	74207	+	74014	1.0	1.0
gene:TraesCS4D03G0001800	Chr4D	757227	759482	-	758354	Chr4D	95947	98202	-	97074	1.0	1.0
gene:TraesCS4D03G0002200	Chr4D	1179628	1183031	+	1181329	Chr4D	521203	524606	+	522904	1.0	1.0
gene:TraesCS4D03G0002300	Chr4D	1192267	1194439	+	1193353	Chr4D	533837	536009	+	534923	1.0	1.0
gene:TraesCS4D03G0002500	Chr4D	1196998	1198699	-	1197848	Chr4D	538568	540269	-	539418	1.0	1.0
gene:TraesCS4D03G0002600	Chr4D	1200365	1201407	+	1200886	Chr4D	541935	542977	+	542456	1.0	1.0
gene:TraesCS4D03G0002700	Chr4D	1224901	1226574	+	1225737	Chr4D	566367	568040	+	567203	1.0	1.0
gene:TraesCS4D03G0002800	Chr4D	1233656	1234699	+	1234177	Chr4D	575122	576153	+	575637	0.987	0.987
gene:TraesCS4D03G0002900	Chr4D	1235849	1238078	+	1236963	Chr4D	577303	579532	+	578417	1.0	1.0
gene:TraesCS4D03G0003000	Chr4D	1239892	1242834	+	1241363	Chr4D	581346	584289	+	582817	1.0	1.0
gene:TraesCS4D03G0003100	Chr4D	1245411	1245824	-	1245617	Chr4D	586860	587273	-	587066	1.0	1.0
gene:TraesCS4D03G0003500	Chr4D	1279798	1281379	+	1280588	Chr4D	621267	622848	+	622057	1.0	1.0
gene:TraesCS4D03G0003700	Chr4D	1281940	1284304	+	1283122	Chr4D	623409	625773	+	624591	1.0	1.0
gene:TraesCS4D03G0003800	Chr4D	1291459	1294621	+	1293040	Chr4D	632928	636090	+	634509	1.0	1.0
gene:TraesCS4D03G0004000	Chr4D	1304418	1305152	-	1304785	Chr4D	646049	646783	-	646416	1.0	0.998
gene:TraesCS4D03G0004100	Chr4D	1318992	1323052	+	1321022	Chr4D	660640	664700	+	662670	1.0	1.0
gene:TraesCS4D03G0004300	Chr4D	1341017	1345302	-	1343159	Chr4D	682685	686972	-	684828	1.0	1.0
gene:TraesCS4D03G0004400	Chr4D	1357145	1360998	-	1359071	Chr4D	698805	702658	-	700731	1.0	1.0
gene:TraesCS4D03G0004500	Chr4D	1362318	1367013	-	1364665	Chr4D	703978	708673	-	706325	1.0	1.0
gene:TraesCS4D03G0004600	Chr4D	1368870	1373554	-	1371212	Chr4D	710527	715212	-	712869	1.0	1.0
gene:TraesCS4D03G0004700	Chr4D	1374679	1379306	-	1376992	Chr4D	716337	720670	-	718503	1.0	1.0
gene:TraesCS4D03G0004800	Chr4D	1390139	1393851	+	1391995	Chr4D	731350	735062	+	733206	1.0	1.0
gene:TraesCS4D03G0004900	Chr4D	1397353	1399554	-	1398453	Chr4D	738564	740765	-	739664	1.0	1.0
gene:TraesCS4D03G0005000	Chr4D	1400675	1404459	-	1402567	Chr4D	741886	745670	-	743778	1.0	1.0
gene:TraesCS4D03G0005100	Chr4D	1406011	1408464	+	1407237	Chr4D	747222	749675	+	748448	1.0	0.999
gene:TraesCS4D03G0005800	Chr4D	1630996	1636148	-	1633572	Chr4D	1776451	1781607	-	1779029	1.0	1.0
gene:TraesCS4D03G0006100	Chr4D	1655892	1658459	+	1657175	Chr4D	1801431	1803998	+	1802714	1.0	1.0
gene:TraesCS4D03G0006500	Chr4D	1693854	1698641	-	1696247	Chr4D	1839400	1844187	-	1841793	1.0	1.0
gene:TraesCS4D03G0006600	Chr4D	1808058	1813801	+	1810929	Chr4D	1953640	1959383	+	1956511	1.0	1.0
gene:TraesCS4D03G0006900	Chr4D	1857162	1864002	+	1860582	Chr4D	2002754	2009594	+	2006174	1.0	1.0
gene:TraesCS4D03G0007200	Chr4D	2118829	2121262	-	2120045	Chr4D	2678328	2680761	-	2679544	1.0	0.999
gene:TraesCS4D03G0007300	Chr4D	2157319	2157750	+	2157534	Chr4D	2712370	2712801	+	2712585	1.0	1.0
gene:TraesCS4D03G0007400	Chr4D	2159778	2160428	-	2160103	Chr4D	2714829	2715479	-	2715154	1.0	1.0
gene:TraesCS4D03G0007500	Chr4D	2210061	2211185	+	2210623	Chr4D	2762990	2764114	+	2763552	1.0	1.0
gene:TraesCS4D03G0007600	Chr4D	2233090	2237239	-	2235164	Chr4D	2785427	2789576	-	2787501	1.0	0.999
gene:TraesCS4D03G0007700	Chr4D	2275324	2285972	-	2280648	Chr4D	2827287	2838169	-	2832728	1.0	1.0
gene:TraesCS4D03G0008000	Chr4D	2317575	2321028	-	2319301	Chr4D	2869289	2872742	-	2871015	1.0	1.0
gene:TraesCS4D03G0008300	Chr4D	2468842	2469594	-	2469218	Chr4D	3101388	3102140	-	3101764	1.0	1.0
gene:TraesCS4D03G0008500	Chr4D	2503854	2504613	+	2504233	Chr4D	3136399	3137158	+	3136778	1.0	1.0
gene:TraesCS4D03G0008800	Chr4D	3210895	3212125	-	3211510	Chr4D	4010517	4011747	-	4011132	1.0	1.0
gene:TraesCS4D03G0008900	Chr4D	3228396	3230243	+	3229319	Chr4D	4028018	4029865	+	4028941	1.0	1.0
gene:TraesCS4D03G0009000	Chr4D	3236033	3237648	-	3236840	Chr4D	4035367	4036982	-	4036174	1.0	1.0
gene:TraesCS4D03G0009100	Chr4D	3238133	3240692	+	3239412	Chr4D	4037467	4040026	+	4038746	1.0	1.0
gene:TraesCS4D03G0009200	Chr4D	3243144	3247724	-	3245434	Chr4D	4042478	4047058	-	4044768	1.0	0.999
gene:TraesCS4D03G0009500	Chr4D	3271809	3274267	-	3273038	Chr4D	4069889	4072345	-	4071117	0.998	0.998
gene:TraesCS4D03G0010200	Chr4D	3319664	3323787	+	3321725	Chr4D	4206810	4210932	+	4208871	1.0	1.0
gene:TraesCS4D03G0010300	Chr4D	3327946	3335748	-	3331847	Chr4D	4215091	4222893	-	4218992	1.0	0.999
gene:TraesCS4D03G0010800	Chr4D	3382908	3386957	-	3384932	Chr4D	4263819	4267836	-	4265827	1.0	0.992
gene:TraesCS4D03G0011000	Chr4D	3390244	3391395	-	3390819	Chr4D	4270852	4272003	-	4271427	1.0	0.998
gene:TraesCS4D03G0011200	Chr4D	3405419	3408689	-	3407054	Chr4D	4282453	4285867	-	4284160	1.0	0.951
gene:TraesCS4D03G0011300	Chr4D	3413225	3414072	-	3413648	Chr4D	4289735	4290582	-	4290158	1.0	0.989
gene:TraesCS4D03G0011400	Chr4D	3414641	3415376	-	3415008	Chr4D	4295676	4296448	-	4296062	0.98	0.904
gene:TraesCS4D03G0011500	Chr4D	3416613	3417647	-	3417130	Chr4D	4298444	4299478	-	4298961	1.0	0.989
gene:TraesCS4D03G0011700	Chr4D	3421045	3424717	-	3422881	Chr4D	4302906	4306742	-	4304824	0.98	0.977
gene:TraesCS4D03G0011900	Chr4D	3667854	3673399	-	3670626	Chr4D	4520740	4526285	-	4523512	1.0	1.0
gene:TraesCS4D03G0012000	Chr4D	3685507	3688331	-	3686919	Chr4D	4538493	4541315	-	4539904	1.0	0.996
gene:TraesCS4D03G0012200	Chr4D	3695617	3698195	+	3696906	Chr4D	4548495	4550987	+	4549741	0.922	0.913
gene:TraesCS4D03G0012300	Chr4D	3698965	3700563	-	3699764	Chr4D	4551755	4553351	-	4552553	0.992	0.976
gene:TraesCS4D03G0012400	Chr4D	3708608	3712645	-	3710626	Chr4D	4561155	4564985	-	4563070	1.0	0.993
gene:TraesCS4D03G0012600	Chr4D	3811236	3815371	+	3813303	Chr4D	4648092	4652203	+	4650147	0.994	0.976
gene:TraesCS4D03G0012700	Chr4D	3819990	3822163	-	3821076	Chr4D	4656610	4658783	-	4657696	1.0	1.0
gene:TraesCS4D03G0012800	Chr4D	3823587	3827946	-	3825766	Chr4D	4660207	4664571	-	4662389	1.0	0.996
gene:TraesCS4D03G0012900	Chr4D	3851419	3851796	-	3851607	Chr4D	4688028	4688405	-	4688216	1.0	1.0
gene:TraesCS4D03G0013200	Chr4D	3889549	3889926	-	3889737	Chr4D	4726158	4726535	-	4726346	1.0	1.0
gene:TraesCS4D03G0013400	Chr4D	3935959	3939231	-	3937595	Chr4D	4772917	4776189	-	4774553	1.0	1.0
gene:TraesCS4D03G0013500	Chr4D	3953221	3956936	+	3955078	Chr4D	4790187	4793902	+	4792044	1.0	1.0
gene:TraesCS4D03G0013600	Chr4D	3973325	3974731	-	3974028	Chr4D	4810284	4811690	-	4810987	1.0	1.0
