cs_chr	cs_start	cs_end	CS_IAAS_tgt_chr	CS_IAAS_tgt_start	CS_IAAS_tgt_end	n_anchors	mean_identity
Chr4A	81328	130332624	Chr4A	95942	129992426	1058	0.9998119092627599
Chr4A	132517055	192330869	Chr4A	132178706	191928523	262	0.999824427480916
Chr4A	194997349	219652885	Chr4A	194590224	219178311	45	0.9995777777777778
Chr4A	221731546	222175913	Chr4A	221251388	221695712	3	1.0
Chr4A	224910983	226677182	Chr4A	224418072	226178829	4	1.0
Chr4A	229114346	242431315	Chr4A	228601855	241903795	21	0.999952380952381
Chr4A	328283933	333487928	Chr4A	328849153	334042667	6	1.0
Chr4A	337968373	349413639	Chr4A	338520949	349779004	23	1.0
Chr4A	351426691	353020297	Chr4A	351861606	353454898	4	1.0
Chr4A	355676988	358739297	Chr4A	356110269	359166506	6	0.9998333333333332
Chr4A	361169426	364704441	Chr4A	361596895	365119365	5	1.0
Chr4A	372955440	386206032	Chr4A	374980660	388187261	15	1.0
Chr4A	388345576	389986218	Chr4A	390311801	391935456	3	1.0
Chr4A	394095303	397542408	Chr4A	396024496	399468800	6	1.0
Chr4A	399782828	400323386	Chr4A	401703129	402243123	3	1.0
Chr4A	406605144	419576751	Chr4A	408477646	421428710	17	0.9998823529411766
Chr4A	421807811	507495678	Chr4A	423652877	509103286	420	0.9998119047619047
Chr4A	509609425	754177262	Chr4A	511214117	765305329	2805	0.9997290552584671
