gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Kariega_tgt_chr	Kariega_tgt_start	Kariega_tgt_end	Kariega_tgt_strand	Kariega_tgt_midpoint	Kariega_coverage	Kariega_identity
gene:TraesCS3D03G0000500	Chr3D	162008	165953	-	163980	Chr3D	4806085	4809915	+	4808000	0.98	0.937
gene:TraesCS3D03G0001100	Chr3D	351113	355413	+	353263	Chr3D	4658357	4662569	-	4660463	1.0	0.968
gene:TraesCS3D03G0011500	Chr3D	2010145	2011606	-	2010875	Chr3D	6891693	6893154	-	6892423	0.998	0.979
gene:TraesCS3D03G0011600	Chr3D	2017247	2017954	-	2017600	Chr3D	6898108	6898814	-	6898461	0.998	0.956
gene:TraesCS3D03G0012400	Chr3D	2149067	2150912	-	2149989	Chr3D	7443268	7445108	-	7444188	0.991	0.936
gene:TraesCS3D03G0012600	Chr3D	2162896	2166424	+	2164660	Chr3D	7453688	7457480	+	7455584	0.97	0.922
gene:TraesCS3D03G0013200	Chr3D	2238841	2242333	-	2240587	Chr3D	7465535	7469078	-	7467306	0.988	0.907
gene:TraesCS3D03G0013300	Chr3D	2257630	2259555	+	2258592	Chr3D	7527786	7529649	+	7528717	0.937	0.912
gene:TraesCS3D03G0013600	Chr3D	2262089	2264237	+	2263163	Chr3D	7532240	7534385	+	7533312	0.998	0.956
gene:TraesCS3D03G0013700	Chr3D	2288946	2291244	+	2290095	Chr3D	7549398	7551702	+	7550550	0.988	0.947
gene:TraesCS3D03G0013800	Chr3D	2294788	2295291	+	2295039	Chr3D	7554914	7555426	+	7555170	1.0	0.939
gene:TraesCS3D03G0016900	Chr3D	2965361	2969762	+	2967561	Chr3D	8331744	8336255	+	8333999	0.993	0.936
gene:TraesCS3D03G0017100	Chr3D	3024974	3029545	+	3027259	Chr3D	8396099	8401106	+	8398602	0.989	0.91
gene:TraesCS3D03G0017400	Chr3D	3116522	3120868	+	3118695	Chr3D	8435419	8439691	+	8437555	0.977	0.94
gene:TraesCS3D03G0017500	Chr3D	3124047	3124545	-	3124296	Chr3D	8442996	8443438	-	8443217	0.996	0.9
gene:TraesCS3D03G0017900	Chr3D	3185368	3186843	-	3186105	Chr3D	8465053	8466519	-	8465786	0.993	0.945
gene:TraesCS3D03G0020000	Chr3D	3546869	3547792	+	3547330	Chr3D	8751485	8752423	+	8751954	1.0	0.96
gene:TraesCS3D03G0020300	Chr3D	3575256	3575879	-	3575567	Chr3D	8834654	8835274	+	8834964	0.995	0.939
gene:TraesCS3D03G0020400	Chr3D	3578221	3578589	+	3578405	Chr3D	8832359	8832721	-	8832540	0.98	0.9
