gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	ArinaLrFor_tgt_chr	ArinaLrFor_tgt_start	ArinaLrFor_tgt_end	ArinaLrFor_tgt_strand	ArinaLrFor_tgt_midpoint	ArinaLrFor_coverage	ArinaLrFor_identity	segment
gene:TraesCS5A02G008100	Chr5A	5700716	5719719	+	5710217	Chr5A	1056408	1075815	+	1066111	1.0	0.997	rearrangement:Chr5A_block1
gene:TraesCS5A02G008200	Chr5A	5969479	5972725	-	5971102	Chr5A	1308959	1312220	-	1310589	1.0	0.991	rearrangement:Chr5A_block1
gene:TraesCS5A02G008300	Chr5A	5989148	5999236	+	5994192	Chr5A	1328638	1338832	+	1333735	0.993	0.97	rearrangement:Chr5A_block1
gene:TraesCS5A02G008400	Chr5A	6144261	6146054	+	6145157	Chr5A	1528312	1530105	+	1529208	1.0	0.995	rearrangement:Chr5A_block1
gene:TraesCS5A02G008500	Chr5A	6146679	6165534	+	6156106	Chr5A	1530730	1544424	+	1537577	0.997	0.995	rearrangement:Chr5A_block1
gene:TraesCS5A02G008600	Chr5A	6253185	6256500	+	6254842	Chr5A	1681074	1684335	+	1682704	0.964	0.954	rearrangement:Chr5A_block1
gene:TraesCS5A02G008700	Chr5A	6287359	6290472	-	6288915	Chr5A	1714766	1717760	-	1716263	1.0	0.995	rearrangement:Chr5A_block1
gene:TraesCS5A02G008800	Chr5A	6411078	6413189	+	6412133	Chr5A	1847298	1849409	+	1848353	1.0	0.997	rearrangement:Chr5A_block1
gene:TraesCS5A02G008900	Chr5A	6422019	6424272	+	6423145	Chr5A	1858176	1860429	+	1859302	1.0	0.998	rearrangement:Chr5A_block1
gene:TraesCS5A02G009000	Chr5A	6438667	6440111	-	6439389	Chr5A	1876929	1878373	-	1877651	1.0	0.991	rearrangement:Chr5A_block1
gene:TraesCS5A02G009300	Chr5A	6489601	6493759	-	6491680	Chr5A	1906889	1911046	-	1908967	1.0	0.997	rearrangement:Chr5A_block1
gene:TraesCS5A02G009400	Chr5A	6522776	6523576	+	6523176	Chr5A	1924585	1925385	+	1924985	1.0	0.996	rearrangement:Chr5A_block1
gene:TraesCS5A02G009500	Chr5A	6566567	6570070	+	6568318	Chr5A	1977009	1980520	+	1978764	0.999	0.989	rearrangement:Chr5A_block1
gene:TraesCS5A02G009600	Chr5A	6599471	6611564	+	6605517	Chr5A	2018225	2030158	+	2024191	0.995	0.983	rearrangement:Chr5A_block1
gene:TraesCS5A02G009700	Chr5A	6614883	6620347	+	6617615	Chr5A	2033288	2038750	+	2036019	0.994	0.987	rearrangement:Chr5A_block1
gene:TraesCS5A02G010200	Chr5A	6702856	6715117	-	6708986	Chr5A	2120663	2132691	-	2126677	0.995	0.994	rearrangement:Chr5A_block1
gene:TraesCS5A02G010400	Chr5A	6773230	6774222	-	6773726	Chr5A	2184167	2185159	-	2184663	1.0	0.986	rearrangement:Chr5A_block1
gene:TraesCS5A02G010500	Chr5A	6797997	6799208	-	6798602	Chr5A	2371664	2372865	-	2372264	0.991	0.986	rearrangement:Chr5A_block1
gene:TraesCS5A02G010600	Chr5A	6982513	6983531	+	6983022	Chr5A	2544994	2545988	+	2545491	1.0	0.986	rearrangement:Chr5A_block1
gene:TraesCS5A02G010800	Chr5A	7105701	7107932	-	7106816	Chr5A	2670384	2672615	-	2671499	1.0	0.994	rearrangement:Chr5A_block1
gene:TraesCS5A02G010900	Chr5A	7167643	7168403	+	7168023	Chr5A	2722923	2723685	+	2723304	1.0	0.994	rearrangement:Chr5A_block1
gene:TraesCS5A02G011000	Chr5A	7189904	7195842	+	7192873	Chr5A	2754456	2760392	+	2757424	1.0	0.996	rearrangement:Chr5A_block1
gene:TraesCS5A02G011100	Chr5A	7360180	7362343	+	7361261	Chr5A	2896117	2898281	+	2897199	1.0	0.999	rearrangement:Chr5A_block1
