cs_chr	JIN50_tgt_chr	n_anchors	JIN50_mean_anchor_gap_Mb	JIN50_interp_type	n_segments	JIN50_mean_anchor_fraction
Chr1A	Chr1A	4018	0.148	linear	1	0.952
Chr1B	Chr1B+Chr1B+Chr1B+Chr1B+Chr1B+Chr1B	4357	0.261	linear+linear+pchip_inverted+linear+linear+linear	6	0.942
Chr1D	Chr1D	4356	0.114	linear	1	0.973
Chr2A	Chr2A+Chr2A+Chr2A+Chr2A+Chr2A+Chr2A	5266	0.258	linear+linear+linear+linear+linear+linear	6	0.933
Chr2B	Chr2B+Chr2B+Chr2B	5614	0.986	linear+linear+linear	3	0.935
Chr2D	Chr2D	5743	0.114	linear	1	0.978
Chr3A	Chr3A	4990	0.15	linear	1	0.971
Chr3B	Chr3B+Chr3B+Chr3B+Chr3B	5502	0.135	linear+linear+linear+linear	4	0.937
Chr3D	Chr3D+Chr3D+Chr3D	5100	0.114	linear+linear+linear	3	0.981
Chr4A	Chr4A+Chr4A+Chr4A+Chr4A	3601	0.399	linear+linear+pchip_inverted+linear	4	0.847
Chr4B	Chr4B+Chr4B+Chr4B	3685	0.564	linear+linear+linear	3	0.891
Chr4D	Chr4D	3547	0.145	linear	1	0.989
Chr5A	Chr5A+Chr5A	5245	0.237	linear+linear	2	0.966
Chr5B	Chr5B+Chr5B+Chr5B+Chr5B+Chr5B+Chr5B+Chr5B+Chr5B	5254	0.139	linear+linear+linear+linear+linear+linear+linear+linear	8	0.936
Chr5D	Chr5D+Chr5D+Chr5D	5496	0.103	linear+linear+pchip	3	0.987
Chr6A	Chr6A+Chr6A+Chr6A	3860	0.091	linear+pchip_inverted+linear	3	0.966
Chr6B	Chr6B+Chr6B+Chr6B+Chr6B+Chr6B+Chr6B	3758	0.151	linear+linear+linear+linear+pchip_inverted+pchip_inverted	6	0.759
Chr6D	Chr6D	3732	0.132	linear	1	0.967
Chr7A	Chr7A+Chr7A+Chr7A+Chr7A	5148	0.148	linear+linear+linear+linear	4	0.953
Chr7B	Chr7B+Chr7B+Chr7B+Chr7B+Chr7B	4466	0.561	linear+linear+pchip_inverted+linear+linear	5	0.934
Chr7D	Chr7D+Chr7D	5350	0.085	linear+pchip	2	0.985
