gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	CS_v2.1_tgt_chr	CS_v2.1_tgt_start	CS_v2.1_tgt_end	CS_v2.1_tgt_strand	CS_v2.1_tgt_midpoint	CS_v2.1_coverage	CS_v2.1_identity	segment
gene:TraesCS5A02G000100	Chr5A	10126	18461	-	14293	Chr5A	10126	18461	-	14293	1.0	1.0	collinear
gene:TraesCS5A02G000200	Chr5A	20226	23967	+	22096	Chr5A	20226	23967	+	22096	1.0	1.0	collinear
gene:TraesCS5A02G000300	Chr5A	28171	30032	-	29101	Chr5A	28171	30032	-	29101	1.0	0.997	collinear
gene:TraesCS5A02G000400	Chr5A	228101	229326	+	228713	Chr5A	215597	216821	+	216209	1.0	1.0	collinear
gene:TraesCS5A02G000600	Chr5A	638578	644527	+	641552	Chr5A	622810	628759	+	625784	1.0	1.0	collinear
gene:TraesCS5A02G000700	Chr5A	644719	646234	+	645476	Chr5A	628951	630466	+	629708	1.0	1.0	collinear
gene:TraesCS5A02G000800	Chr5A	653903	654847	+	654375	Chr5A	637855	638799	+	638327	1.0	1.0	collinear
gene:TraesCS5A02G000900	Chr5A	692543	694327	+	693435	Chr5A	1542470	1544254	+	1543362	1.0	1.0	collinear
gene:TraesCS5A02G001000	Chr5A	835966	836319	+	836142	Chr5A	1684670	1685023	+	1684846	1.0	1.0	collinear
gene:TraesCS5A02G001100	Chr5A	855353	858565	-	856959	Chr5A	1703882	1707094	-	1705488	1.0	1.0	collinear
gene:TraesCS5A02G001200	Chr5A	1114075	1114440	-	1114257	Chr5A	1955095	1955460	-	1955277	1.0	1.0	collinear
gene:TraesCS5A02G001300	Chr5A	1200615	1201335	-	1200975	Chr5A	2041391	2042111	-	2041751	1.0	1.0	collinear
gene:TraesCS5A02G001400	Chr5A	1202119	1202601	+	1202360	Chr5A	2042895	2043377	+	2043136	1.0	1.0	collinear
gene:TraesCS5A02G001500	Chr5A	1218671	1227119	+	1222895	Chr5A	2059447	2067895	+	2063671	1.0	1.0	collinear
gene:TraesCS5A02G001600	Chr5A	1228104	1231038	+	1229571	Chr5A	2068880	2071814	+	2070347	1.0	1.0	collinear
gene:TraesCS5A02G001700	Chr5A	1241766	1242112	+	1241939	Chr5A	2082542	2082888	+	2082715	1.0	1.0	collinear
gene:TraesCS5A02G001800	Chr5A	1302643	1302822	+	1302732	Chr5A	2225824	2226003	+	2225913	1.0	1.0	collinear
gene:TraesCS5A02G001900	Chr5A	1346522	1347511	-	1347016	Chr5A	2269703	2270692	-	2270197	1.0	1.0	collinear
gene:TraesCS5A02G002000	Chr5A	1758066	1759570	-	1758818	Chr5A	2671848	2673352	-	2672600	1.0	1.0	collinear
gene:TraesCS5A02G002100	Chr5A	1833619	1834815	-	1834217	Chr5A	2741825	2743021	-	2742423	1.0	1.0	collinear
gene:TraesCS5A02G002200	Chr5A	1947285	1952551	-	1949918	Chr5A	2854750	2859673	-	2857211	1.0	1.0	collinear
gene:TraesCS5A02G002400	Chr5A	2081880	2086130	-	2084005	Chr5A	2989002	2993252	-	2991127	1.0	1.0	collinear
gene:TraesCS5A02G002500	Chr5A	2103640	2107862	+	2105751	Chr5A	3010374	3014596	+	3012485	1.0	1.0	collinear
gene:TraesCS5A02G002600	Chr5A	2108869	2113862	+	2111365	Chr5A	3015603	3020596	+	3018099	1.0	1.0	collinear
gene:TraesCS5A02G002700	Chr5A	2120701	2126503	-	2123602	Chr5A	3027435	3033237	-	3030336	1.0	1.0	collinear
gene:TraesCS5A02G002800	Chr5A	2174649	2177688	-	2176168	Chr5A	3081377	3084416	-	3082896	1.0	1.0	collinear
gene:TraesCS5A02G002900	Chr5A	2397627	2399194	-	2398410	Chr5A	3306994	3308561	-	3307777	1.0	1.0	collinear
gene:TraesCS5A02G003000	Chr5A	2403142	2404068	+	2403605	Chr5A	3312509	3313435	+	3312972	1.0	1.0	collinear
gene:TraesCS5A02G003100	Chr5A	2406435	2408514	-	2407474	Chr5A	3315802	3317881	-	3316841	1.0	1.0	collinear
gene:TraesCS5A02G003200	Chr5A	2408790	2412563	-	2410676	Chr5A	3318157	3321929	-	3320043	0.999	0.999	collinear
gene:TraesCS5A02G003300	Chr5A	2414730	2415224	+	2414977	Chr5A	3323908	3324402	+	3324155	1.0	1.0	collinear
gene:TraesCS5A02G003400	Chr5A	2421362	2423669	+	2422515	Chr5A	3330540	3332847	+	3331693	1.0	1.0	collinear
gene:TraesCS5A02G003500	Chr5A	2426488	2428137	-	2427312	Chr5A	3335666	3337315	-	3336490	1.0	1.0	collinear
gene:TraesCS5A02G003600	Chr5A	2428700	2430235	-	2429467	Chr5A	3337878	3339413	-	3338645	1.0	1.0	collinear
gene:TraesCS5A02G003700	Chr5A	2615782	2617551	-	2616666	Chr5A	3522415	3524184	-	3523299	1.0	1.0	collinear
gene:TraesCS5A02G003800	Chr5A	2645238	2650209	-	2647723	Chr5A	3551523	3556494	-	3554008	1.0	1.0	collinear
gene:TraesCS5A02G003900	Chr5A	2727177	2728795	+	2727986	Chr5A	3632961	3634579	+	3633770	1.0	1.0	collinear
gene:TraesCS5A02G004000	Chr5A	2865722	2870015	+	2867868	Chr5A	3769384	3773677	+	3771530	1.0	1.0	collinear
gene:TraesCS5A02G004100	Chr5A	2870634	2874348	-	2872491	Chr5A	3774296	3777820	-	3776058	0.995	0.995	collinear
gene:TraesCS5A02G004200	Chr5A	2893332	2899721	-	2896526	Chr5A	3796488	3802877	-	3799682	1.0	1.0	collinear
gene:TraesCS5A02G004300	Chr5A	2970570	2976325	-	2973447	Chr5A	3869700	3875455	-	3872577	1.0	1.0	collinear
gene:TraesCS5A02G004400	Chr5A	3085412	3088853	+	3087132	Chr5A	3992185	3995626	+	3993905	1.0	1.0	collinear
gene:TraesCS5A02G004500	Chr5A	3166841	3174284	+	3170562	Chr5A	4072714	4080157	+	4076435	1.0	1.0	collinear
gene:TraesCS5A02G004600	Chr5A	3175334	3177753	+	3176543	Chr5A	4081207	4083626	+	4082416	1.0	1.0	collinear
gene:TraesCS5A02G004700	Chr5A	3194780	3197691	-	3196235	Chr5A	4100653	4103564	-	4102108	1.0	1.0	collinear
gene:TraesCS5A02G004800	Chr5A	3215100	3218868	-	3216984	Chr5A	4120412	4124180	-	4122296	1.0	1.0	collinear
gene:TraesCS5A02G004900	Chr5A	3281861	3294536	+	3288198	Chr5A	4186460	4199135	+	4192797	1.0	1.0	collinear
gene:TraesCS5A02G005000	Chr5A	3312172	3315225	+	3313698	Chr5A	4216771	4219824	+	4218297	1.0	1.0	collinear
gene:TraesCS5A02G005100	Chr5A	3360527	3361507	-	3361017	Chr5A	4264649	4265629	-	4265139	1.0	1.0	collinear
gene:TraesCS5A02G005300	Chr5A	3370704	3374577	-	3372640	Chr5A	4274826	4278699	-	4276762	1.0	1.0	collinear
gene:TraesCS5A02G005400	Chr5A	3385013	3385779	+	3385396	Chr5A	4289135	4289901	+	4289518	1.0	1.0	collinear
gene:TraesCS5A02G005500	Chr5A	3390922	3406014	+	3398468	Chr5A	4295044	4309997	+	4302520	1.0	1.0	collinear
gene:TraesCS5A02G005600	Chr5A	3410396	3414243	-	3412319	Chr5A	4314200	4318047	-	4316123	1.0	1.0	collinear
gene:TraesCS5A02G005700	Chr5A	3421438	3424404	-	3422921	Chr5A	4324864	4327830	-	4326347	1.0	1.0	collinear
gene:TraesCS5A02G005800	Chr5A	3431398	3432399	-	3431898	Chr5A	4334824	4335825	-	4335324	1.0	1.0	collinear
gene:TraesCS5A02G005900	Chr5A	3435395	3445904	+	3440649	Chr5A	4338873	4349382	+	4344127	1.0	1.0	collinear
gene:TraesCS5A02G006000	Chr5A	3504754	3516416	+	3510585	Chr5A	4407568	4419230	+	4413399	1.0	1.0	collinear
gene:TraesCS5A02G006100	Chr5A	3518743	3522158	+	3520450	Chr5A	4421557	4424972	+	4423264	1.0	1.0	collinear
gene:TraesCS5A02G006200	Chr5A	3524460	3528789	+	3526624	Chr5A	4427274	4431603	+	4429438	1.0	1.0	collinear
gene:TraesCS5A02G006300	Chr5A	3555694	3559104	+	3557399	Chr5A	4458508	4461918	+	4460213	1.0	1.0	collinear
gene:TraesCS5A02G006400	Chr5A	3699014	3701809	+	3700411	Chr5A	4601170	4603965	+	4602567	1.0	1.0	collinear
gene:TraesCS5A02G006500	Chr5A	3769294	3773304	+	3771299	Chr5A	4671465	4675475	+	4673470	1.0	1.0	collinear
gene:TraesCS5A02G006600	Chr5A	3991976	3993111	+	3992543	Chr5A	4904676	4905811	+	4905243	1.0	1.0	collinear
gene:TraesCS5A02G006700	Chr5A	4007183	4012644	+	4009913	Chr5A	4919883	4925344	+	4922613	1.0	1.0	collinear
gene:TraesCS5A02G006800	Chr5A	4017458	4020457	-	4018957	Chr5A	4930158	4933157	-	4931657	1.0	1.0	collinear
gene:TraesCS5A02G006900	Chr5A	4043173	4045153	+	4044163	Chr5A	4955513	4957493	+	4956503	1.0	1.0	collinear
gene:TraesCS5A02G007000	Chr5A	4073230	4073873	-	4073551	Chr5A	4985496	4986139	-	4985817	1.0	1.0	collinear
gene:TraesCS5A02G007100	Chr5A	4080763	4081368	+	4081065	Chr5A	4993029	4993634	+	4993331	1.0	1.0	collinear
gene:TraesCS5A02G007200	Chr5A	4292805	4295051	+	4293928	Chr5A	5201460	5203706	+	5202583	1.0	1.0	collinear
gene:TraesCS5A02G007300	Chr5A	4607991	4611930	+	4609960	Chr5A	5513746	5517685	+	5515715	1.0	1.0	collinear
gene:TraesCS5A02G007400	Chr5A	4691284	4697125	+	4694204	Chr5A	5595617	5601458	+	5598537	1.0	1.0	collinear
gene:TraesCS5A02G007600	Chr5A	4790243	4790864	-	4790553	Chr5A	5963526	5964147	-	5963836	1.0	1.0	collinear
gene:TraesCS5A02G007700	Chr5A	4795839	4796504	-	4796171	Chr5A	5969124	5969789	-	5969456	1.0	1.0	collinear
gene:TraesCS5A02G007800	Chr5A	4847805	4852706	-	4850255	Chr5A	6014157	6019058	-	6016607	1.0	1.0	collinear
gene:TraesCS5A02G007900	Chr5A	4956291	4959912	-	4958101	Chr5A	6121420	6125041	-	6123230	1.0	1.0	collinear
gene:TraesCS5A02G008000	Chr5A	5286347	5298937	+	5292642	Chr5A	6449947	6462537	+	6456242	1.0	1.0	collinear
gene:TraesCS5A02G008100	Chr5A	5700716	5719719	+	5710217	Chr5A	6859842	6878845	+	6869343	1.0	1.0	collinear
