gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Lancer_tgt_chr	Lancer_tgt_start	Lancer_tgt_end	Lancer_tgt_strand	Lancer_tgt_midpoint	Lancer_coverage	Lancer_identity	segment
gene:TraesCS7D02G000100	Chr7D	207994	212443	-	210218	Chr7D	376817	381256	-	379036	0.997	0.997	collinear
gene:TraesCS7D02G000200	Chr7D	242065	245782	+	243923	Chr7D	410878	414595	+	412736	1.0	1.0	collinear
gene:TraesCS7D02G000300	Chr7D	337014	337852	+	337433	Chr7D	505724	506562	+	506143	1.0	1.0	collinear
gene:TraesCS7D02G000400	Chr7D	365927	369790	-	367858	Chr7D	534739	538603	-	536671	1.0	0.996	collinear
gene:TraesCS7D02G000500	Chr7D	371892	373182	-	372537	Chr7D	540705	541995	-	541350	1.0	1.0	collinear
gene:TraesCS7D02G000600	Chr7D	478788	482688	-	480738	Chr7D	647094	650994	-	649044	1.0	1.0	collinear
gene:TraesCS7D02G000700	Chr7D	708561	711512	-	710036	Chr7D	877852	880803	-	879327	1.0	1.0	collinear
gene:TraesCS7D02G000800	Chr7D	981342	987541	-	984441	Chr7D	1165069	1171268	-	1168168	1.0	1.0	collinear
gene:TraesCS7D02G000900	Chr7D	1014669	1018126	-	1016397	Chr7D	1198453	1201910	-	1200181	1.0	0.999	collinear
gene:TraesCS7D02G001000	Chr7D	1076583	1077770	-	1077176	Chr7D	1259577	1260764	-	1260170	1.0	1.0	collinear
gene:TraesCS7D02G001100	Chr7D	1088627	1091627	-	1090127	Chr7D	1271475	1274451	-	1272963	0.992	0.99	collinear
gene:TraesCS7D02G001200	Chr7D	1125501	1138472	-	1131986	Chr7D	1308252	1321223	-	1314737	1.0	0.999	collinear
gene:TraesCS7D02G001300	Chr7D	1185845	1187461	-	1186653	Chr7D	1367312	1368928	-	1368120	1.0	1.0	collinear
gene:TraesCS7D02G001400	Chr7D	1257398	1258902	-	1258150	Chr7D	1438096	1439600	-	1438848	1.0	1.0	collinear
gene:TraesCS7D02G001500	Chr7D	1259904	1265300	-	1262602	Chr7D	1440602	1445629	-	1443115	1.0	1.0	collinear
gene:TraesCS7D02G001600	Chr7D	1307798	1322611	+	1315204	Chr7D	1488145	1502310	+	1495227	1.0	1.0	collinear
gene:TraesCS7D02G001700	Chr7D	1325206	1326414	+	1325810	Chr7D	1504905	1506113	+	1505509	1.0	1.0	collinear
